날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-06,1,0.0%,1,0%,624,0.0%,80.0%,6986000,6986000 ( 100.0% ),499,499 ( 100.0% ),6986000,499,18
2018-03-07,5,0.1%,5,0%,640,0.0%,70.6%,3416000,-3570000 ( -51.1% ),452,-47 ( -9.4% ),10402000,951,19
2018-03-08,758,14.5%,3732,21.6%,736711,26.3%,8.1%,460361800,456945800 ( 13376.6% ),59418,58966 ( 13045.6% ),470763800,60369,2
2018-03-09,782,14.5%,3773,21.2%,745780,25.9%,8.1%,517025048,56663248 ( 12.3% ),60062,644 ( 1.1% ),987788848,120431,2
2018-03-10,806,13.4%,3849,20.1%,745049,24.2%,18.6%,1197739856,680714808 ( 131.7% ),138253,78191 ( 130.2% ),2185528704,258684,2
2018-03-11,795,13.3%,3653,19.7%,712427,23.8%,16.3%,996885000,-200854856 ( -16.8% ),116283,-21970 ( -15.9% ),3182413704,374967,2
2018-03-12,710,13.7%,3255,19.6%,640782,23.6%,4.4%,215581900,-781303100 ( -78.4% ),27976,-88307 ( -75.9% ),3397995604,402943,3
2018-03-13,715,13.3%,3147,19%,617328,22.9%,3.9%,183640100,-31941800 ( -14.8% ),23955,-4021 ( -14.4% ),3581635704,426898,3
2018-03-14,494,9.5%,1480,8.6%,225871,8.2%,6.1%,106086400,-77553700 ( -42.2% ),13774,-10181 ( -42.5% ),3687722104,440672,6
2018-03-15,499,9.1%,1398,8.2%,213480,7.8%,6.1%,99103600,-6982800 ( -6.6% ),13022,-752 ( -5.5% ),3786825704,453694,6
2018-03-16,497,9.0%,1347,7.7%,202887,7.2%,6.3%,107618682,8515082 ( 8.6% ),12786,-236 ( -1.8% ),3894444386,466480,6
2018-03-17,511,8.2%,1255,6.7%,179531,6.0%,14.8%,225410276,117791594 ( 109.5% ),26552,13766 ( 107.7% ),4119854662,493032,6
2018-03-18,508,8.2%,1194,6.5%,169837,5.9%,13.6%,196711000,-28699276 ( -12.7% ),23013,-3539 ( -13.3% ),4316565662,516045,6
2018-03-19,462,8.7%,1128,6.9%,166820,6.3%,4.7%,60368400,-136342600 ( -69.3% ),7919,-15094 ( -65.6% ),4376934062,523964,6
2018-03-20,446,8.3%,1068,6.6%,158142,6.1%,4.1%,48337900,-12030500 ( -19.9% ),6429,-1490 ( -18.8% ),4425271962,530393,6
2018-03-21,204,4.0%,346,2.2%,46524,1.8%,4.3%,14357200,-33980700 ( -70.3% ),1986,-4443 ( -69.1% ),4439629162,532379,11
2018-03-22,128,2.4%,198,1.2%,29278,1.1%,3.6%,7893500,-6463700 ( -45.0% ),1061,-925 ( -46.6% ),4447522662,533440,17
2018-03-23,120,2.2%,203,1.2%,28301,1.0%,3.6%,8224400,330900 ( 4.2% ),1023,-38 ( -3.6% ),4455747062,534463,16
2018-03-24,113,1.8%,184,1%,25822,0.9%,7.1%,14564000,6339600 ( 77.1% ),1844,821 ( 80.3% ),4470311062,536307,15
2018-03-25,112,1.9%,176,1%,25396,0.9%,8.0%,16223200,1659200 ( 11.4% ),2027,183 ( 9.9% ),4486534262,538334,14
2018-03-26,130,2.5%,193,1.2%,29336,1.1%,2.3%,4626200,-11597000 ( -71.5% ),681,-1346 ( -66.4% ),4491160462,539015,17
2018-03-27,127,2.4%,191,1.2%,28801,1.1%,2.8%,5541800,915600 ( 19.8% ),807,126 ( 18.5% ),4496702262,539822,19
2018-03-28,12,0.2%,13,0.1%,1591,0.1%,4.3%,358000,-5183800 ( -93.5% ),68,-739 ( -91.6% ),4497060262,539890,52
2018-03-29,11,0.2%,11,0.1%,1405,0.1%,2.9%,227000,-131000 ( -36.6% ),41,-27 ( -39.7% ),4497287262,539931,56
2018-03-30,11,0.2%,11,0.1%,1418,0.1%,2.5%,183000,-44000 ( -19.4% ),36,-5 ( -12.2% ),4497470262,539967,58
2018-03-31,3,0.1%,3,0%,311,0.0%,8.7%,139000,-44000 ( -24.0% ),27,-9 ( -25.0% ),4497609262,539994,68
2018-04-01,2,0.0%,2,0%,252,0.0%,1.2%,15000,-124000 ( -89.2% ),3,-24 ( -88.9% ),4497624262,539997,83
2018-04-02,3,0.1%,3,0%,564,0.0%,1.8%,59500,44500 ( 296.7% ),10,7 ( 233.3% ),4497683762,540007,57
2018-04-03,1,0.0%,1,0%,191,0.0%,2.6%,40000,-19500 ( -32.8% ),5,-5 ( -50.0% ),4497723762,540012,71
2018-04-04,2,0.0%,2,0%,234,0.0%,5.6%,102000,62000 ( 155.0% ),13,8 ( 160.0% ),4497825762,540025,62
2018-04-19,1,0.0%,1,0%,389,0.0%,99.0%,3080000,3080000 ( 100.0% ),385,385 ( 100.0% ),4500905762,540410,31
