날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-08,5,0.1%,5,0%,1011,0.0%,100.0%,8088000,8088000 ( 100.0% ),1011,1011 ( 100.0% ),8088000,1011,15
2017-02-09,2,0.0%,2,0%,364,0.0%,100.0%,2912000,-5176000 ( -64.0% ),364,-647 ( -64.0% ),11000000,1375,30
2017-02-10,3,0.0%,3,0%,603,0.0%,100.0%,4824000,1912000 ( 65.7% ),603,239 ( 65.7% ),15824000,1978,20
2017-02-16,507,8.4%,985,5.8%,139468,4.9%,21.2%,194536300,194536300 ( 100.0% ),29500,29500 ( 100.0% ),210360300,31478,5
2017-02-17,529,8.6%,1032,5.9%,143217,5.0%,21.9%,228837200,34300900 ( 17.6% ),31417,1917 ( 6.5% ),439197500,62895,5
2017-02-18,592,9.2%,1319,7.2%,192345,6.4%,39.9%,597592900,368755700 ( 161.1% ),76759,45342 ( 144.3% ),1036790400,139654,5
2017-02-19,622,9.7%,1382,7.8%,202682,6.9%,37.5%,599620900,2028000 ( 0.3% ),76052,-707 ( -0.9% ),1636411300,215706,4
2017-02-20,518,8.9%,1109,6.6%,159511,5.8%,15.9%,169652100,-429968800 ( -71.7% ),25368,-50684 ( -66.6% ),1806063400,241074,5
2017-02-21,520,8.7%,1096,6.5%,159126,5.8%,19.9%,211935700,42283600 ( 24.9% ),31739,6371 ( 25.1% ),2017999100,272813,3
2017-02-22,415,6.8%,728,4.1%,99647,3.5%,28.8%,185754400,-26181300 ( -12.4% ),28695,-3044 ( -9.6% ),2203753500,301508,6
2017-02-23,406,6.6%,746,4.2%,102636,3.6%,32.2%,223615900,37861500 ( 20.4% ),33028,4333 ( 15.1% ),2427369400,334536,5
2017-02-24,443,6.9%,824,4.6%,114851,3.9%,29.1%,251044200,27428300 ( 12.3% ),33390,362 ( 1.1% ),2678413600,367926,5
2017-02-25,536,7.8%,1122,6%,164270,5.4%,30.9%,394101900,143057700 ( 57.0% ),50733,17343 ( 51.9% ),3072515500,418659,5
2017-02-26,519,7.6%,1120,6.1%,163558,5.5%,29.6%,382840600,-11261300 ( -2.9% ),48393,-2340 ( -4.6% ),3455356100,467052,5
2017-02-27,426,6.9%,897,5.2%,131116,4.6%,23.9%,214347400,-168493200 ( -44.0% ),31281,-17112 ( -35.4% ),3669703500,498333,3
2017-02-28,411,5.8%,847,4.8%,124551,4.4%,28.3%,238610000,24262600 ( 11.3% ),35276,3995 ( 12.8% ),3908313500,533609,4
2017-03-01,383,6.2%,714,4.1%,97351,3.4%,57.2%,429686700,191076700 ( 80.1% ),55644,20368 ( 57.7% ),4338000200,589253,5
2017-03-02,250,4.4%,372,2.3%,48304,1.8%,11.1%,38250100,-391436600 ( -91.1% ),5369,-50275 ( -90.4% ),4376250300,594622,7
