날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-03,3,0.1%,3,0%,1010,0.0%,100.0%,11318000,11318000 ( 100.0% ),1010,1010 ( 100.0% ),11318000,1010,18
2017-02-08,581,11.5%,2943,17.7%,512816,18.7%,13.4%,536597600,536597600 ( 100.0% ),68598,68598 ( 100.0% ),547915600,69608,2
2017-02-09,541,9.0%,2469,14.6%,417169,15.0%,10.5%,343727300,-192870300 ( -35.9% ),43816,-24782 ( -36.1% ),891642900,113424,3
2017-02-10,554,9.1%,2492,14.4%,418796,14.8%,11.8%,432633449,88906149 ( 25.9% ),49555,5739 ( 13.1% ),1324276349,162979,3
2017-02-11,590,8.9%,2420,13.4%,389825,13.2%,26.7%,910730146,478096697 ( 110.5% ),104170,54615 ( 110.2% ),2235006495,267149,3
2017-02-12,580,8.7%,2305,13%,369701,12.7%,27.4%,882426100,-28304046 ( -3.1% ),101190,-2980 ( -2.9% ),3117432595,368339,3
2017-02-13,542,9.1%,2227,13.4%,372684,13.6%,7.9%,227658100,-654768000 ( -74.2% ),29366,-71824 ( -71.0% ),3345090695,397705,3
2017-02-14,546,8.8%,2200,13%,366266,13.3%,8.3%,237228500,9570400 ( 4.2% ),30333,967 ( 3.3% ),3582319195,428038,3
2017-02-15,311,5.6%,640,3.8%,91546,3.3%,7.4%,51332000,-185896500 ( -78.4% ),6815,-23518 ( -77.5% ),3633651195,434853,8
2017-02-16,275,4.6%,525,3.1%,76442,2.7%,6.8%,39208200,-12123800 ( -23.6% ),5193,-1622 ( -23.8% ),3672859395,440046,9
2017-02-17,285,4.7%,552,3.2%,78205,2.7%,7.7%,51954100,12745900 ( 32.5% ),6054,861 ( 16.6% ),3724813495,446100,9
2017-02-18,272,4.2%,475,2.6%,62775,2.1%,16.6%,91178900,39224800 ( 75.5% ),10425,4371 ( 72.2% ),3815992395,456525,9
2017-02-19,275,4.3%,448,2.5%,59525,2.0%,14.7%,76093200,-15085700 ( -16.5% ),8748,-1677 ( -16.1% ),3892085595,465273,9
2017-02-20,259,4.5%,436,2.6%,61670,2.2%,6.1%,28340400,-47752800 ( -62.8% ),3770,-4978 ( -56.9% ),3920425995,469043,9
2017-02-21,250,4.2%,429,2.6%,59564,2.2%,5.8%,25856600,-2483800 ( -8.8% ),3432,-338 ( -9.0% ),3946282595,472475,13
2017-02-22,16,0.3%,23,0.1%,2515,0.1%,19.8%,2462000,-23394600 ( -90.5% ),498,-2934 ( -85.5% ),3948744595,472973,28
2017-02-23,10,0.2%,12,0.1%,1511,0.1%,6.9%,837000,-1625000 ( -66.0% ),104,-394 ( -79.1% ),3949581595,473077,50
2017-02-24,10,0.2%,13,0.1%,1491,0.1%,11.7%,1519000,682000 ( 81.5% ),175,71 ( 68.3% ),3951100595,473252,41
2017-02-25,9,0.1%,13,0.1%,1725,0.1%,14.4%,2309500,790500 ( 52.0% ),249,74 ( 42.3% ),3953410095,473501,38
2017-02-26,10,0.1%,13,0.1%,1638,0.1%,8.5%,1388500,-921000 ( -39.9% ),139,-110 ( -44.2% ),3954798595,473640,45
2017-02-27,9,0.1%,11,0.1%,1476,0.1%,4.9%,555500,-833000 ( -60.0% ),72,-67 ( -48.2% ),3955354095,473712,56
2017-02-28,6,0.1%,8,0%,1079,0.0%,7.3%,595500,40000 ( 7.2% ),79,7 ( 9.7% ),3955949595,473791,57
2017-03-09,5,0.1%,5,0%,919,0.0%,17.1%,1168000,1168000 ( 100.0% ),157,157 ( 100.0% ),3957117595,473948,40
2017-03-10,5,0.1%,5,0%,1147,0.0%,31.8%,2753500,1585500 ( 135.7% ),365,208 ( 132.5% ),3959871095,474313,27
2017-03-11,2,0.0%,2,0%,586,0.0%,24.7%,1093000,-1660500 ( -60.3% ),145,-220 ( -60.3% ),3960964095,474458,48
2017-03-12,2,0.0%,2,0%,557,0.0%,11.7%,487000,-606000 ( -55.4% ),65,-80 ( -55.2% ),3961451095,474523,53
2017-03-13,2,0.0%,2,0%,586,0.0%,10.4%,457000,-30000 ( -6.2% ),61,-4 ( -6.2% ),3961908095,474584,46
2017-03-14,2,0.0%,2,0%,586,0.0%,10.2%,450000,-7000 ( -1.5% ),60,-1 ( -1.6% ),3962358095,474644,62
2017-03-15,2,0.0%,2,0%,586,0.0%,10.9%,476000,26000 ( 5.8% ),64,4 ( 6.7% ),3962834095,474708,57
2017-03-16,2,0.0%,2,0%,423,0.0%,14.2%,450000,-26000 ( -5.5% ),60,-4 ( -6.3% ),3963284095,474768,48
2017-03-17,2,0.0%,2,0%,423,0.0%,33.6%,1064000,614000 ( 136.4% ),142,82 ( 136.7% ),3964348095,474910,35
2017-03-18,2,0.0%,2,0%,423,0.0%,35.0%,1105000,41000 ( 3.9% ),148,6 ( 4.2% ),3965453095,475058,40
2017-03-19,2,0.0%,2,0%,394,0.0%,15.7%,466000,-639000 ( -57.8% ),62,-86 ( -58.1% ),3965919095,475120,52
2017-03-20,2,0.0%,2,0%,423,0.0%,14.7%,464000,-2000 ( -0.4% ),62,0 ( 0.0% ),3966383095,475182,46
2017-03-21,2,0.0%,2,0%,423,0.0%,14.4%,457000,-7000 ( -1.5% ),61,-1 ( -1.6% ),3966840095,475243,62
2017-03-22,2,0.0%,2,0%,289,0.0%,22.1%,480000,23000 ( 5.0% ),64,3 ( 4.9% ),3967320095,475307,50
2017-03-31,1,0.0%,1,0%,167,0.0%,1.2%,15000,15000 ( 100.0% ),2,2 ( 100.0% ),3967335095,475309,102
