날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-16,1,0.0%,1,0%,107,0.0%,100.0%,642000,642000 ( 100.0% ),107,107 ( 100.0% ),642000,107,40
2016-07-07,2,0.0%,3,0%,386,0.0%,96.1%,2597000,2597000 ( 100.0% ),371,371 ( 100.0% ),3239000,478,29
2016-07-11,7,0.1%,9,0.1%,1454,0.1%,99.4%,11322000,11322000 ( 100.0% ),1446,1446 ( 100.0% ),14561000,1924,16
2016-07-13,390,8.1%,1321,8.3%,182240,6.9%,4.7%,64448900,64448900 ( 100.0% ),8589,8589 ( 100.0% ),79009900,10513,6
2016-07-14,389,7.7%,1153,7.2%,157952,6.0%,3.6%,41754100,-22694800 ( -35.2% ),5719,-2870 ( -33.4% ),120764000,16232,6
2016-07-15,373,6.3%,916,5.6%,125884,4.6%,3.7%,37649500,-4104600 ( -9.8% ),4608,-1111 ( -19.4% ),158413500,20840,7
2016-07-16,354,5.6%,598,3.4%,78783,2.8%,6.6%,43212000,5562500 ( 14.8% ),5189,581 ( 12.6% ),201625500,26029,8
2016-07-17,340,5.4%,539,3.2%,71767,2.6%,6.4%,37668000,-5544000 ( -12.8% ),4593,-596 ( -11.5% ),239293500,30622,8
2016-07-18,322,6.6%,676,4.3%,91226,3.5%,3.4%,23408900,-14259100 ( -37.9% ),3108,-1485 ( -32.3% ),262702400,33730,7
2016-07-19,335,6.6%,681,4.3%,91017,3.5%,4.2%,29482900,6074000 ( 25.9% ),3854,746 ( 24.0% ),292185300,37584,7
2016-07-20,11,0.2%,15,0.1%,1961,0.1%,2.5%,321000,-29161900 ( -98.9% ),50,-3804 ( -98.7% ),292506300,37634,50
2016-07-21,3,0.1%,4,0%,394,0.0%,4.6%,142000,-179000 ( -55.8% ),18,-32 ( -64.0% ),292648300,37652,55
2016-07-22,5,0.1%,5,0%,821,0.0%,5.0%,308000,166000 ( 116.9% ),41,23 ( 127.8% ),292956300,37693,48
2016-07-23,3,0.1%,3,0%,1095,0.0%,4.1%,395000,87000 ( 28.2% ),45,4 ( 9.8% ),293351300,37738,66
2016-07-24,2,0.0%,2,0%,254,0.0%,9.8%,223000,-172000 ( -43.5% ),25,-20 ( -44.4% ),293574300,37763,63
2016-07-25,6,0.1%,6,0%,1263,0.0%,36.7%,4138000,3915000 ( 1755.6% ),463,438 ( 1752.0% ),297712300,38226,18
2016-07-26,2,0.0%,2,0%,467,0.0%,3.9%,126000,-4012000 ( -97.0% ),18,-445 ( -96.1% ),297838300,38244,74
2016-07-28,1,0.0%,1,0%,200,0.0%,2.0%,28000,28000 ( 100.0% ),4,4 ( 100.0% ),297866300,38248,76
2016-07-29,1,0.0%,1,0%,200,0.0%,0.5%,4000,-24000 ( -85.7% ),1,-3 ( -75.0% ),297870300,38249,87
2016-07-30,1,0.0%,2,0%,400,0.0%,2.8%,73000,69000 ( 1725.0% ),11,10 ( 1000.0% ),297943300,38260,67
2016-07-31,1,0.0%,1,0%,200,0.0%,1.0%,14000,-59000 ( -80.8% ),2,-9 ( -81.8% ),297957300,38262,82
