날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-17,80,1.4%,89,0.5%,11098,0.4%,11.0%,8594600,8594600 ( 100.0% ),1220,1220 ( 100.0% ),8594600,1220,19
2016-08-18,148,2.5%,160,0.9%,20345,0.7%,9.7%,13856000,5261400 ( 61.2% ),1977,757 ( 62.0% ),22450600,3197,17
2016-08-19,151,2.6%,165,1%,21283,0.8%,9.4%,15582400,1726400 ( 12.5% ),2006,29 ( 1.5% ),38033000,5203,16
2016-08-20,170,2.8%,191,1.1%,24344,0.8%,31.9%,61011000,45428600 ( 291.5% ),7760,5754 ( 286.8% ),99044000,12963,12
2016-08-21,170,2.8%,195,1.1%,25485,0.9%,32.6%,66405000,5394000 ( 8.8% ),8317,557 ( 7.2% ),165449000,21280,10
2016-08-22,138,2.5%,149,0.9%,18890,0.7%,6.7%,8775700,-57629300 ( -86.8% ),1261,-7056 ( -84.8% ),174224700,22541,17
2016-08-23,139,2.5%,149,0.9%,20027,0.8%,6.9%,9643700,868000 ( 9.9% ),1379,118 ( 9.4% ),183868400,23920,17
2016-08-24,71,1.3%,75,0.5%,9777,0.4%,5.8%,3846200,-5797500 ( -60.1% ),566,-813 ( -59.0% ),187714600,24486,23
2016-08-25,37,0.6%,38,0.2%,4760,0.2%,5.9%,1884000,-1962200 ( -51.0% ),280,-286 ( -50.5% ),189598600,24766,37
2016-08-26,37,0.6%,39,0.2%,4862,0.2%,8.6%,2739500,855500 ( 45.4% ),416,136 ( 48.6% ),192338100,25182,33
2016-08-27,80,1.2%,99,0.6%,12574,0.4%,26.6%,26427700,23688200 ( 864.7% ),3345,2929 ( 704.1% ),218765800,28527,15
2016-08-28,86,1.3%,107,0.6%,13557,0.5%,28.1%,30575120,4147420 ( 15.7% ),3814,469 ( 14.0% ),249340920,32341,15
2016-08-29,38,0.7%,41,0.3%,4801,0.2%,4.7%,1452500,-29122620 ( -95.2% ),225,-3589 ( -94.1% ),250793420,32566,35
2016-08-30,30,0.5%,34,0.2%,4138,0.2%,4.0%,1132500,-320000 ( -22.0% ),166,-59 ( -26.2% ),251925920,32732,39
2016-08-31,10,0.2%,12,0.1%,1168,0.0%,6.4%,442000,-690500 ( -61.0% ),75,-91 ( -54.8% ),252367920,32807,60
2016-09-01,9,0.2%,11,0.1%,978,0.0%,5.3%,327000,-115000 ( -26.0% ),52,-23 ( -30.7% ),252694920,32859,64
2016-09-02,6,0.1%,9,0.1%,556,0.0%,10.3%,407000,80000 ( 24.5% ),57,5 ( 9.6% ),253101920,32916,60
