날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-20,3,0.0%,3,0%,680,0.0%,100.0%,6800000,6800000 ( 100.0% ),680,680 ( 100.0% ),6800000,680,20
2017-05-23,1,0.0%,1,0%,107,0.0%,100.0%,856000,856000 ( 100.0% ),107,107 ( 100.0% ),7656000,787,41
2017-05-25,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),9848000,1061,22
2017-05-28,2,0.0%,2,0%,421,0.0%,71.3%,1800000,1800000 ( 100.0% ),300,300 ( 100.0% ),11648000,1361,27
2017-05-31,1,0.0%,1,0%,95,0.0%,42.1%,280000,280000 ( 100.0% ),40,40 ( 100.0% ),11928000,1401,60
2017-06-01,112,2.2%,123,0.8%,13624,0.5%,4.0%,3552500,3272500 ( 1168.8% ),546,506 ( 1265.0% ),15480500,1947,16
2017-06-02,121,2.4%,130,0.8%,14892,0.6%,3.7%,4152900,600400 ( 16.9% ),556,10 ( 1.8% ),19633400,2503,17
2017-06-03,241,4.4%,297,1.7%,34228,1.2%,13.3%,33070300,28917400 ( 696.3% ),4553,3997 ( 718.9% ),52703700,7056,12
2017-06-04,246,4.5%,293,1.7%,34585,1.2%,13.4%,33768800,698500 ( 2.1% ),4640,87 ( 1.9% ),86472500,11696,11
2017-06-05,189,3.7%,212,1.3%,24104,0.9%,6.6%,10400900,-23367900 ( -69.2% ),1589,-3051 ( -65.8% ),96873400,13285,13
2017-06-06,163,3.1%,193,1.1%,21671,0.7%,27.9%,42720100,32319200 ( 310.7% ),6046,4457 ( 280.5% ),139593500,19331,10
2017-06-07,66,1.4%,74,0.4%,8124,0.3%,3.5%,1791000,-40929100 ( -95.8% ),283,-5763 ( -95.3% ),141384500,19614,20
2017-06-08,11,0.2%,21,0.1%,1281,0.0%,6.8%,523000,-1268000 ( -70.8% ),87,-196 ( -69.3% ),141907500,19701,49
2017-06-09,17,0.3%,24,0.1%,2015,0.1%,6.2%,733500,210500 ( 40.2% ),124,37 ( 42.5% ),142641000,19825,39
