날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-15,1,0.0%,3,0%,1203,0.0%,100.0%,9624000,9624000 ( 100.0% ),1203,1203 ( 100.0% ),9624000,1203,14
2016-11-22,3,0.1%,3,0%,766,0.0%,100.0%,6128000,6128000 ( 100.0% ),766,766 ( 100.0% ),15752000,1969,15
2016-11-24,2,0.0%,2,0%,474,0.0%,94.7%,2940000,2940000 ( 100.0% ),449,449 ( 100.0% ),18692000,2418,30
2016-11-29,28,0.6%,28,0.2%,6042,0.2%,99.7%,48192000,48192000 ( 100.0% ),6024,6024 ( 100.0% ),66884000,8442,5
2016-11-30,15,0.3%,15,0.1%,4315,0.2%,94.1%,31844000,-16348000 ( -33.9% ),4061,-1963 ( -32.6% ),98728000,12503,8
2016-12-01,2,0.0%,2,0%,506,0.0%,100.0%,4048000,-27796000 ( -87.3% ),506,-3555 ( -87.5% ),102776000,13009,22
2016-12-02,20,0.4%,20,0.1%,4400,0.2%,99.8%,43087000,39039000 ( 964.4% ),4392,3886 ( 768.0% ),145863000,17401,7
2016-12-04,1,0.0%,1,0%,134,0.0%,100.0%,1340000,1340000 ( 100.0% ),134,134 ( 100.0% ),147203000,17535,50
2016-12-06,4,0.1%,4,0%,908,0.0%,92.2%,6652000,6652000 ( 100.0% ),837,837 ( 100.0% ),153855000,18372,17
2016-12-07,1029,21.5%,4777,30.6%,918214,35.7%,16.8%,1138891200,1132239200 ( 17021.0% ),154652,153815 ( 18376.9% ),1292746200,173024,1
2016-12-08,1074,20.6%,4741,30.1%,904435,34.9%,18.2%,1206239000,67347800 ( 5.9% ),164931,10279 ( 6.6% ),2498985200,337955,1
2016-12-09,1086,20.6%,4919,30.2%,942625,35.3%,22.3%,1694603296,488364296 ( 40.5% ),210438,45507 ( 27.6% ),4193588496,548393,1
2016-12-10,1166,21.1%,5448,31.9%,1050486,37.7%,42.6%,3734861514,2040258218 ( 120.4% ),447707,237269 ( 112.8% ),7928450010,996100,1
2016-12-11,1160,20.9%,5324,31.9%,1030036,37.8%,45.0%,3870900800,136039286 ( 3.6% ),463151,15444 ( 3.4% ),11799350810,1459251,1
2016-12-12,1085,21.6%,4956,32.1%,953707,37.5%,16.8%,1179889900,-2691010900 ( -69.5% ),160345,-302806 ( -65.4% ),12979240710,1619596,1
2016-12-13,1117,21.4%,4982,32%,953332,37.4%,17.4%,1211396000,31506100 ( 2.7% ),165775,5430 ( 3.4% ),14190636710,1785371,1
2016-12-14,1080,21.4%,4584,28.9%,885081,33.9%,18.3%,1173549200,-37846800 ( -3.1% ),162153,-3622 ( -2.2% ),15364185910,1947524,1
2016-12-15,1083,20.4%,4590,28.9%,883389,33.9%,18.1%,1160974100,-12575100 ( -1.1% ),159809,-2344 ( -1.4% ),16525160010,2107333,1
2016-12-16,1115,20.6%,4825,29.5%,927134,34.6%,22.7%,1670473585,509499485 ( 43.9% ),210230,50421 ( 31.6% ),18195633595,2317563,1
2016-12-17,1184,20.1%,5354,31%,1034763,36.8%,38.8%,3322781267,1652307682 ( 98.9% ),401518,191288 ( 91.0% ),21518414862,2719081,1
2016-12-18,1153,19.8%,5224,30.9%,1009985,36.7%,39.1%,3283355300,-39425967 ( -1.2% ),394567,-6951 ( -1.7% ),24801770162,3113648,1
2016-12-19,1096,21.7%,4857,31.1%,939054,36.5%,14.2%,985648800,-2297706500 ( -70.0% ),133106,-261461 ( -66.3% ),25787418962,3246754,1
2016-12-20,1134,21.3%,4857,31%,932339,36.3%,14.5%,979907000,-5741800 ( -0.6% ),135019,1913 ( 1.4% ),26767325962,3381773,1
2016-12-21,705,14.2%,2346,15.3%,344389,13.7%,18.0%,446356000,-533551000 ( -54.4% ),62014,-73005 ( -54.1% ),27213681962,3443787,2
2016-12-22,704,13.7%,2328,14.9%,340043,13.4%,18.5%,454805100,8449100 ( 1.9% ),62801,787 ( 1.3% ),27668487062,3506588,2
2016-12-23,701,13.4%,2330,14.3%,344265,13.0%,22.7%,623073379,168268279 ( 37.0% ),78269,15468 ( 24.6% ),28291560441,3584857,2
2016-12-24,654,11.2%,2108,11.8%,298230,10.3%,59.7%,1458537223,835463844 ( 134.1% ),177961,99692 ( 127.4% ),29750097664,3762818,3
2016-12-25,655,11.2%,2030,11.6%,284569,10.1%,60.8%,1411422700,-47114523 ( -3.2% ),173095,-4866 ( -2.7% ),31161520364,3935913,3
2016-12-26,663,13.0%,2159,13.6%,307718,11.9%,18.1%,407037500,-1004385200 ( -71.2% ),55796,-117299 ( -67.8% ),31568557864,3991709,3
2016-12-27,668,12.6%,2172,13.6%,311074,12.0%,17.8%,397729800,-9307700 ( -2.3% ),55262,-534 ( -1.0% ),31966287664,4046971,4
2016-12-28,551,10.2%,1416,8.9%,190294,7.3%,31.5%,353210500,-44519300 ( -11.2% ),59865,4603 ( 8.3% ),32319498164,4106836,5
2016-12-29,519,9.8%,1383,8.6%,181179,6.9%,25.9%,341160200,-12050300 ( -3.4% ),46957,-12908 ( -21.6% ),32660658364,4153793,5
2016-12-30,535,10.0%,1465,8.8%,191670,7.1%,34.1%,522508800,181348600 ( 53.2% ),65306,18349 ( 39.1% ),33183167164,4219099,5
2016-12-31,566,9.6%,1505,8.7%,198075,7.0%,47.8%,772231000,249722200 ( 47.8% ),94765,29459 ( 45.1% ),33955398164,4313864,5
2017-01-01,576,9.8%,1476,8.8%,195344,7.2%,45.0%,736891900,-35339100 ( -4.6% ),87966,-6799 ( -7.2% ),34692290064,4401830,4
2017-01-02,540,10.3%,1495,9.4%,197888,7.6%,19.2%,283473300,-453418600 ( -61.5% ),38072,-49894 ( -56.7% ),34975763364,4439902,5
2017-01-03,538,9.9%,1463,9.2%,192788,7.5%,14.3%,205442000,-78031300 ( -27.5% ),27605,-10467 ( -27.5% ),35181205364,4467507,5
2017-01-04,335,5.6%,685,4%,94290,3.4%,13.4%,92821100,-112620900 ( -54.8% ),12620,-14985 ( -54.3% ),35274026464,4480127,10
2017-01-05,322,5.2%,642,3.7%,90054,3.2%,12.7%,84874600,-7946500 ( -8.6% ),11481,-1139 ( -9.0% ),35358901064,4491608,10
2017-01-06,310,4.9%,598,3.4%,82216,2.9%,13.9%,94003800,9129200 ( 10.8% ),11450,-31 ( -0.3% ),35452904864,4503058,10
2017-01-07,304,4.7%,555,3%,74981,2.5%,28.9%,177307500,83303700 ( 88.6% ),21657,10207 ( 89.1% ),35630212364,4524715,9
2017-01-08,297,4.6%,539,3%,72432,2.5%,29.0%,172051100,-5256400 ( -3.0% ),20971,-686 ( -3.2% ),35802263464,4545686,9
2017-01-09,295,5.0%,539,3.2%,72437,2.6%,9.2%,49099800,-122951300 ( -71.5% ),6682,-14289 ( -68.1% ),35851363264,4552368,10
2017-01-10,294,4.9%,533,3.1%,70313,2.5%,9.8%,50113000,1013200 ( 2.1% ),6870,188 ( 2.8% ),35901476264,4559238,10
2017-01-11,107,1.9%,195,1.1%,26221,0.9%,12.3%,22329300,-27783700 ( -55.4% ),3228,-3642 ( -53.0% ),35923805564,4562466,14
2017-01-12,62,1.1%,104,0.6%,12530,0.4%,14.0%,12348200,-9981100 ( -44.7% ),1754,-1474 ( -45.7% ),35936153764,4564220,15
2017-01-13,58,1.0%,97,0.6%,12417,0.4%,17.6%,15006000,2657800 ( 21.5% ),2191,437 ( 24.9% ),35951159764,4566411,15
2017-01-14,63,1.0%,101,0.6%,13041,0.4%,29.1%,27891200,12885200 ( 85.9% ),3793,1602 ( 73.1% ),35979050964,4570204,14
2017-01-15,66,1.1%,103,0.6%,13368,0.5%,29.8%,29404100,1512900 ( 5.4% ),3988,195 ( 5.1% ),36008455064,4574192,13
2017-01-16,59,1.0%,100,0.6%,11679,0.4%,11.8%,9108200,-20295900 ( -69.0% ),1382,-2606 ( -65.3% ),36017563264,4575574,16
2017-01-17,59,1.0%,95,0.6%,10751,0.4%,14.5%,9923800,815600 ( 9.0% ),1564,182 ( 13.2% ),36027487064,4577138,17
2017-01-18,14,0.3%,20,0.1%,2153,0.1%,23.4%,3050000,-6873800 ( -69.3% ),504,-1060 ( -67.8% ),36030537064,4577642,19
2017-01-19,20,0.4%,24,0.1%,2591,0.1%,25.7%,3983000,933000 ( 30.6% ),667,163 ( 32.3% ),36034520064,4578309,18
2017-01-20,19,0.3%,23,0.1%,2415,0.1%,17.6%,2724000,-1259000 ( -31.6% ),424,-243 ( -36.4% ),36037244064,4578733,18
2017-01-21,17,0.3%,20,0.1%,2140,0.1%,17.8%,2186000,-538000 ( -19.8% ),380,-44 ( -10.4% ),36039430064,4579113,21
2017-01-22,18,0.3%,20,0.1%,2215,0.1%,21.3%,2772500,586500 ( 26.8% ),471,91 ( 23.9% ),36042202564,4579584,18
2017-01-23,14,0.3%,18,0.1%,1796,0.1%,9.8%,905000,-1867500 ( -67.4% ),176,-295 ( -62.6% ),36043107564,4579760,37
2017-01-24,16,0.3%,22,0.1%,2782,0.1%,37.8%,5689000,4784000 ( 528.6% ),1051,875 ( 497.2% ),36048796564,4580811,12
2017-01-25,7,0.1%,7,0%,1270,0.0%,71.8%,5315000,-374000 ( -6.6% ),912,-139 ( -13.2% ),36054111564,4581723,17
2017-01-26,2,0.0%,2,0%,241,0.0%,43.2%,420000,-4895000 ( -92.1% ),104,-808 ( -88.6% ),36054531564,4581827,39
2017-01-27,3,0.0%,3,0%,400,0.0%,69.8%,1199500,779500 ( 185.6% ),279,175 ( 168.3% ),36055731064,4582106,23
2017-01-28,4,0.1%,4,0%,475,0.0%,61.1%,1292000,92500 ( 7.7% ),290,11 ( 3.9% ),36057023064,4582396,22
2017-01-29,2,0.0%,2,0%,304,0.0%,78.3%,990000,-302000 ( -23.4% ),238,-52 ( -17.9% ),36058013064,4582634,27
2017-01-30,2,0.0%,2,0%,304,0.0%,78.9%,1000000,10000 ( 1.0% ),240,2 ( 0.8% ),36059013064,4582874,28
2017-01-31,1,0.0%,1,0%,151,0.0%,66.2%,400000,-600000 ( -60.0% ),100,-140 ( -58.3% ),36059413064,4582974,41
2017-02-03,1,0.0%,1,0%,224,0.0%,78.1%,1300000,1300000 ( 100.0% ),175,175 ( 100.0% ),36060713064,4583149,37
