날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-26,5,0.1%,5,0%,1894,0.1%,94.7%,17940000,17940000 ( 100.0% ),1794,1794 ( 100.0% ),17940000,1794,14
2018-01-29,3,0.0%,3,0%,342,0.0%,87.7%,2400000,2400000 ( 100.0% ),300,300 ( 100.0% ),20340000,2094,25
2018-01-30,5,0.1%,5,0%,623,0.0%,80.3%,3980000,1580000 ( 65.8% ),500,200 ( 66.7% ),24320000,2594,22
2018-01-31,4,0.1%,4,0%,584,0.0%,68.3%,3184000,-796000 ( -20.0% ),399,-101 ( -20.2% ),27504000,2993,24
2018-02-01,7,0.1%,7,0%,1033,0.0%,77.4%,6590000,3406000 ( 107.0% ),800,401 ( 100.5% ),34094000,3793,18
2018-02-02,9,0.1%,9,0%,2019,0.1%,91.2%,16198000,9608000 ( 145.8% ),1841,1041 ( 130.1% ),50292000,5634,15
2018-02-03,1,0.0%,1,0%,248,0.0%,100.0%,2232000,-13966000 ( -86.2% ),248,-1593 ( -86.5% ),52524000,5882,38
2018-02-06,11,0.2%,11,0.1%,1792,0.1%,69.4%,10069000,10069000 ( 100.0% ),1244,1244 ( 100.0% ),62593000,7126,18
2018-02-07,2,0.0%,2,0%,536,0.0%,100.0%,4288000,-5781000 ( -57.4% ),536,-708 ( -56.9% ),66881000,7662,19
2018-02-08,498,8.0%,1326,7.6%,183763,6.5%,7.4%,97195300,92907300 ( 2166.7% ),13670,13134 ( 2450.4% ),164076300,21332,6
2018-02-09,510,8.1%,1353,7.6%,187750,6.5%,7.6%,112349800,15154500 ( 15.6% ),14351,681 ( 5.0% ),276426100,35683,6
2018-02-10,625,9.3%,1543,8.1%,209727,6.9%,21.4%,349361100,237011300 ( 211.0% ),44831,30480 ( 212.4% ),625787200,80514,4
2018-02-11,629,9.5%,1528,8.3%,205761,7.0%,22.2%,361262000,11900900 ( 3.4% ),45668,837 ( 1.9% ),987049200,126182,4
2018-02-12,516,8.5%,1243,7.4%,169502,6.3%,6.8%,82234000,-279028000 ( -77.2% ),11442,-34226 ( -74.9% ),1069283200,137624,5
2018-02-13,539,8.7%,1318,7.8%,181214,6.6%,9.5%,121095800,38861800 ( 47.3% ),17214,5772 ( 50.4% ),1190379000,154838,4
2018-02-14,256,4.6%,330,1.8%,38802,1.3%,19.5%,53066000,-68029800 ( -56.2% ),7572,-9642 ( -56.0% ),1243445000,162410,8
2018-02-15,282,4.8%,377,2%,43748,1.4%,32.9%,112358700,59292700 ( 111.7% ),14382,6810 ( 89.9% ),1355803700,176792,8
2018-02-16,280,4.7%,366,1.9%,43199,1.4%,25.4%,87294900,-25063800 ( -22.3% ),10963,-3419 ( -23.8% ),1443098600,187755,8
2018-02-17,290,4.6%,391,2%,46313,1.5%,44.1%,156834900,69540000 ( 79.7% ),20418,9455 ( 86.2% ),1599933500,208173,8
2018-02-18,301,4.9%,406,2.2%,49363,1.7%,39.2%,149019600,-7815300 ( -5.0% ),19341,-1077 ( -5.3% ),1748953100,227514,7
2018-02-19,269,4.8%,358,2%,45952,1.6%,14.6%,45561400,-103458200 ( -69.4% ),6719,-12622 ( -65.3% ),1794514500,234233,8
2018-02-20,270,4.7%,362,2.1%,45669,1.6%,17.2%,52331600,6770200 ( 14.9% ),7861,1142 ( 17.0% ),1846846100,242094,7
2018-02-21,249,4.5%,351,2%,44666,1.6%,16.6%,49845200,-2486400 ( -4.8% ),7405,-456 ( -5.8% ),1896691300,249499,7
2018-02-22,184,3.2%,232,1.3%,29321,1.1%,21.6%,41992500,-7852700 ( -15.8% ),6333,-1072 ( -14.5% ),1938683800,255832,8
2018-02-23,197,3.3%,259,1.5%,32916,1.2%,21.6%,52655700,10663200 ( 25.4% ),7099,766 ( 12.1% ),1991339500,262931,8
2018-02-24,258,4.1%,364,2%,46355,1.6%,27.1%,96199700,43544000 ( 82.7% ),12545,5446 ( 76.7% ),2087539200,275476,7
2018-02-25,252,4.1%,363,2%,45692,1.6%,27.1%,96243400,43700 ( 0.0% ),12400,-145 ( -1.2% ),2183782600,287876,7
2018-02-26,204,3.6%,301,1.8%,37434,1.4%,18.0%,45566700,-50676700 ( -52.7% ),6724,-5676 ( -45.8% ),2229349300,294600,7
2018-02-27,205,3.5%,303,1.8%,38830,1.4%,21.9%,56922000,11355300 ( 24.9% ),8513,1789 ( 26.6% ),2286271300,303113,7
2018-02-28,104,1.7%,125,0.7%,16010,0.5%,31.4%,32164300,-24757700 ( -43.5% ),5029,-3484 ( -40.9% ),2318435600,308142,11
2018-03-01,148,2.4%,189,1%,24502,0.8%,48.9%,91299000,59134700 ( 183.9% ),11990,6961 ( 138.4% ),2409734600,320132,10
2018-03-02,112,1.9%,143,0.8%,18699,0.6%,7.8%,11553800,-79745200 ( -87.3% ),1467,-10523 ( -87.8% ),2421288400,321599,14
2018-03-03,148,2.4%,209,1.1%,26407,0.9%,19.9%,40425300,28871500 ( 249.9% ),5247,3780 ( 257.7% ),2461713700,326846,11
2018-03-04,150,2.4%,213,1.2%,26083,0.9%,20.8%,41986300,1561000 ( 3.9% ),5430,183 ( 3.5% ),2503700000,332276,12
2018-03-05,60,1.2%,68,0.4%,9550,0.4%,3.0%,2106900,-39879400 ( -95.0% ),289,-5141 ( -94.7% ),2505806900,332565,20
2018-03-06,64,1.2%,72,0.4%,9043,0.3%,3.3%,2065800,-41100 ( -2.0% ),294,5 ( 1.7% ),2507872700,332859,23
2018-03-07,31,0.6%,35,0.2%,4641,0.2%,3.0%,967500,-1098300 ( -53.2% ),137,-157 ( -53.4% ),2508840200,332996,32
2018-03-08,13,0.2%,16,0.1%,1613,0.1%,4.4%,507000,-460500 ( -47.6% ),71,-66 ( -48.2% ),2509347200,333067,51
2018-03-09,14,0.3%,16,0.1%,2009,0.1%,28.8%,4599600,4092600 ( 807.2% ),579,508 ( 715.5% ),2513946800,333646,20
2018-03-10,63,1.0%,86,0.4%,9130,0.3%,22.7%,15996300,11396700 ( 247.8% ),2068,1489 ( 257.2% ),2529943100,335714,19
2018-03-11,65,1.1%,83,0.4%,9379,0.3%,23.4%,17082200,1085900 ( 6.8% ),2197,129 ( 6.2% ),2547025300,337911,17
2018-03-12,13,0.3%,15,0.1%,1600,0.1%,3.9%,413900,-16668300 ( -97.6% ),62,-2135 ( -97.2% ),2547439200,337973,40
2018-03-13,16,0.3%,20,0.1%,2138,0.1%,3.8%,531600,117700 ( 28.4% ),82,20 ( 32.3% ),2547970800,338055,43
2018-03-14,4,0.1%,4,0%,274,0.0%,3.3%,62000,-469600 ( -88.3% ),9,-73 ( -89.0% ),2548032800,338064,79
2018-03-15,1,0.0%,1,0%,32,0.0%,6.3%,10000,-52000 ( -83.9% ),2,-7 ( -77.8% ),2548042800,338066,93
2018-03-17,8,0.1%,10,0.1%,1077,0.0%,20.5%,1713000,1713000 ( 100.0% ),221,221 ( 100.0% ),2549755800,338287,34
2018-03-18,10,0.2%,12,0.1%,1224,0.0%,30.1%,2909500,1196500 ( 69.8% ),368,147 ( 66.5% ),2552665300,338655,31
2018-03-19,1,0.0%,1,0%,35,0.0%,5.7%,12000,-2897500 ( -99.6% ),2,-366 ( -99.5% ),2552677300,338657,88
2018-03-20,1,0.0%,2,0%,64,0.0%,10.9%,45000,33000 ( 275.0% ),7,5 ( 250.0% ),2552722300,338664,78
2018-03-21,2,0.0%,2,0%,194,0.0%,18.0%,234000,189000 ( 420.0% ),35,28 ( 400.0% ),2552956300,338699,55
2018-03-24,2,0.0%,2,0%,215,0.0%,31.6%,549000,549000 ( 100.0% ),68,68 ( 100.0% ),2553505300,338767,57
2018-03-25,2,0.0%,2,0%,215,0.0%,25.1%,425000,-124000 ( -22.6% ),54,-14 ( -20.6% ),2553930300,338821,63
2018-03-28,1,0.0%,1,0%,154,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2553930300,338821,123
2018-03-31,1,0.0%,1,0%,151,0.0%,33.1%,415900,415900 ( 100.0% ),50,50 ( 100.0% ),2554346200,338871,53
2018-04-01,1,0.0%,1,0%,151,0.0%,18.5%,214000,-201900 ( -48.5% ),28,-22 ( -44.0% ),2554560200,338899,59
2018-04-23,1,0.0%,1,0%,113,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2554560200,338899,107
2018-04-24,1,0.0%,1,0%,113,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2554560200,338899,124
2018-07-04,2,0.0%,2,0%,223,0.0%,51.6%,920000,920000 ( 100.0% ),115,115 ( 100.0% ),2555480200,339014,36
2018-07-07,1,0.0%,1,0%,108,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2555480200,339014,111
