날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-26,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),3208000,401,23
2017-01-04,524,8.8%,2225,12.9%,386038,13.7%,22.0%,652157500,652157500 ( 100.0% ),85044,85044 ( 100.0% ),655365500,85445,3
2017-01-05,530,8.6%,2193,12.7%,382850,13.6%,17.7%,522148500,-130009000 ( -19.9% ),67929,-17115 ( -20.1% ),1177514000,153374,3
2017-01-06,567,8.9%,2243,12.7%,388209,13.5%,18.7%,623237647,101089147 ( 19.4% ),72707,4778 ( 7.0% ),1800751647,226081,3
2017-01-07,603,9.3%,2360,12.9%,398913,13.3%,37.2%,1268189171,644951524 ( 103.5% ),148502,75795 ( 104.2% ),3068940818,374583,3
2017-01-08,608,9.4%,2272,12.7%,382980,13.1%,33.9%,1107502600,-160686571 ( -12.7% ),129810,-18692 ( -12.6% ),4176443418,504393,3
2017-01-09,549,9.4%,2192,12.9%,373018,13.3%,9.9%,284265400,-823237200 ( -74.3% ),36992,-92818 ( -71.5% ),4460708818,541385,3
2017-01-10,550,9.1%,2140,12.6%,362108,12.9%,9.1%,252569600,-31695800 ( -11.2% ),33095,-3897 ( -10.5% ),4713278418,574480,3
2017-01-11,436,7.9%,1343,7.9%,205000,7.3%,8.5%,132942900,-119626700 ( -47.4% ),17473,-15622 ( -47.2% ),4846221318,591953,7
2017-01-12,397,7.0%,892,5.2%,126350,4.5%,8.8%,84264900,-48678000 ( -36.6% ),11093,-6380 ( -36.5% ),4930486218,603046,7
2017-01-13,394,6.7%,856,4.9%,118926,4.1%,10.7%,107583000,23318100 ( 27.7% ),12752,1659 ( 15.0% ),5038069218,615798,7
2017-01-14,368,6.0%,717,3.9%,96287,3.2%,22.5%,184278200,76695200 ( 71.3% ),21708,8956 ( 70.2% ),5222347418,637506,7
2017-01-15,355,5.8%,673,3.8%,89971,3.1%,19.3%,146595900,-37682300 ( -20.4% ),17377,-4331 ( -20.0% ),5368943318,654883,8
2017-01-16,345,6.1%,668,4%,90465,3.3%,6.4%,43373100,-103222800 ( -70.4% ),5778,-11599 ( -66.7% ),5412316418,660661,7
2017-01-17,333,5.7%,655,3.9%,90874,3.3%,6.2%,41818000,-1555100 ( -3.6% ),5624,-154 ( -2.7% ),5454134418,666285,8
2017-01-18,11,0.2%,15,0.1%,2514,0.1%,5.5%,1012500,-40805500 ( -97.6% ),138,-5486 ( -97.5% ),5455146918,666423,42
2017-01-19,5,0.1%,5,0%,671,0.0%,4.3%,188000,-824500 ( -81.4% ),29,-109 ( -79.0% ),5455334918,666452,63
2017-01-20,7,0.1%,8,0%,1410,0.0%,8.2%,1096000,908000 ( 483.0% ),116,87 ( 300.0% ),5456430918,666568,42
2017-01-21,7,0.1%,8,0%,1235,0.0%,41.9%,3174000,2078000 ( 189.6% ),518,402 ( 346.6% ),5459604918,667086,20
2017-01-22,4,0.1%,4,0%,635,0.0%,12.6%,569000,-2605000 ( -82.1% ),80,-438 ( -84.6% ),5460173918,667166,46
2017-01-23,7,0.1%,11,0.1%,1566,0.1%,15.5%,1674000,1105000 ( 194.2% ),242,162 ( 202.5% ),5461847918,667408,28
2017-01-24,6,0.1%,9,0.1%,1659,0.1%,6.8%,847000,-827000 ( -49.4% ),113,-129 ( -53.3% ),5462694918,667521,45
2017-02-02,2,0.0%,2,0%,427,0.0%,24.4%,570000,570000 ( 100.0% ),104,104 ( 100.0% ),5463264918,667625,50
2017-02-03,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5463834918,667729,46
2017-02-04,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5464404918,667833,45
2017-02-05,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5464974918,667937,39
2017-02-06,2,0.0%,2,0%,361,0.0%,28.8%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5465544918,668041,44
2017-02-07,2,0.0%,2,0%,361,0.0%,28.8%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5466114918,668145,45
2017-02-08,2,0.0%,2,0%,361,0.0%,28.8%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5466684918,668249,46
2017-02-09,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5467254918,668353,55
2017-02-10,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5467824918,668457,45
2017-02-11,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5468394918,668561,46
2017-02-12,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5468964918,668665,48
2017-02-13,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5469534918,668769,47
2017-02-14,2,0.0%,2,0%,427,0.0%,24.4%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5470104918,668873,53
2017-02-15,2,0.0%,2,0%,361,0.0%,28.8%,570000,0 ( 0.0% ),104,0 ( 0.0% ),5470674918,668977,50
