날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-02,1,0.0%,1,0%,293,0.0%,90.1%,2598000,2598000 ( 100.0% ),264,264 ( 100.0% ),2598000,264,39
2017-12-06,1,0.0%,1,0%,293,0.0%,41.3%,1069000,1069000 ( 100.0% ),121,121 ( 100.0% ),3667000,385,50
2017-12-07,2,0.0%,2,0%,244,0.0%,70.9%,1932000,863000 ( 80.7% ),173,52 ( 43.0% ),5599000,558,46
2017-12-12,3,0.0%,3,0%,371,0.0%,96.2%,2650000,2650000 ( 100.0% ),357,357 ( 100.0% ),8249000,915,34
2017-12-13,2,0.0%,2,0%,320,0.0%,40.0%,828000,-1822000 ( -68.8% ),128,-229 ( -64.1% ),9077000,1043,50
2017-12-16,3,0.0%,3,0%,276,0.0%,72.8%,1766000,1766000 ( 100.0% ),201,201 ( 100.0% ),10843000,1244,34
2017-12-17,2,0.0%,2,0%,219,0.0%,66.2%,1157500,-608500 ( -34.5% ),145,-56 ( -27.9% ),12000500,1389,34
2017-12-19,4,0.1%,4,0%,586,0.0%,71.8%,2652000,2652000 ( 100.0% ),421,421 ( 100.0% ),14652500,1810,24
2017-12-21,62,1.1%,102,0.6%,12616,0.5%,16.0%,14833600,14833600 ( 100.0% ),2023,2023 ( 100.0% ),29486100,3833,11
2017-12-22,59,1.0%,102,0.6%,12279,0.4%,15.2%,15468900,635300 ( 4.3% ),1868,-155 ( -7.7% ),44955000,5701,10
2017-12-23,60,1.0%,97,0.5%,12002,0.4%,22.6%,22761300,7292400 ( 47.1% ),2709,841 ( 45.0% ),67716300,8410,13
2017-12-24,58,0.9%,99,0.5%,11913,0.4%,31.5%,32243300,9482000 ( 41.7% ),3754,1045 ( 38.6% ),99959600,12164,12
2017-12-25,60,1.0%,96,0.5%,11596,0.4%,32.0%,32222500,-20800 ( -0.1% ),3708,-46 ( -1.2% ),132182100,15872,12
2017-12-26,62,1.1%,127,0.7%,15109,0.6%,13.7%,15221800,-17000700 ( -52.8% ),2069,-1639 ( -44.2% ),147403900,17941,10
2017-12-27,49,0.9%,114,0.7%,13389,0.5%,18.6%,15687000,465200 ( 3.1% ),2484,415 ( 20.1% ),163090900,20425,10
2017-12-28,42,0.8%,72,0.4%,9274,0.3%,17.0%,12237500,-3449500 ( -22.0% ),1577,-907 ( -36.5% ),175328400,22002,13
2017-12-29,43,0.8%,76,0.4%,9944,0.3%,17.5%,14669500,2432000 ( 19.9% ),1744,167 ( 10.6% ),189997900,23746,14
2017-12-30,40,0.7%,79,0.4%,10104,0.3%,26.9%,23525000,8855500 ( 60.4% ),2714,970 ( 55.6% ),213522900,26460,11
2017-12-31,39,0.7%,80,0.4%,10276,0.3%,27.4%,24313400,788400 ( 3.4% ),2817,103 ( 3.8% ),237836300,29277,11
2018-01-01,36,0.6%,74,0.4%,9341,0.3%,28.3%,23044100,-1269300 ( -5.2% ),2644,-173 ( -6.1% ),260880400,31921,11
2018-01-02,40,0.7%,78,0.5%,9835,0.4%,11.9%,8779500,-14264600 ( -61.9% ),1166,-1478 ( -55.9% ),269659900,33087,11
2018-01-03,39,0.7%,78,0.4%,9455,0.3%,12.1%,8718000,-61500 ( -0.7% ),1140,-26 ( -2.2% ),278377900,34227,15
2018-01-04,42,0.8%,59,0.3%,7545,0.3%,13.0%,7506600,-1211400 ( -13.9% ),979,-161 ( -14.1% ),285884500,35206,15
2018-01-05,40,0.7%,54,0.3%,6793,0.2%,14.6%,8788800,1282200 ( 17.1% ),990,11 ( 1.1% ),294673300,36196,14
2018-01-06,41,0.7%,61,0.3%,8062,0.3%,22.6%,15980600,7191800 ( 81.8% ),1819,829 ( 83.7% ),310653900,38015,13
2018-01-07,42,0.7%,57,0.3%,7350,0.3%,21.8%,14043600,-1937000 ( -12.1% ),1599,-220 ( -12.1% ),324697500,39614,13
2018-01-08,41,0.8%,50,0.3%,6310,0.2%,15.2%,7326500,-6717100 ( -47.8% ),960,-639 ( -40.0% ),332024000,40574,12
2018-01-09,43,0.8%,52,0.3%,6846,0.2%,14.4%,7338700,12200 ( 0.2% ),988,28 ( 2.9% ),339362700,41562,11
