날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-09,2,0.0%,2,0%,882,0.0%,100.0%,7056000,7056000 ( 100.0% ),882,882 ( 100.0% ),7056000,882,15
2017-03-10,1,0.0%,1,0%,622,0.0%,100.0%,6220000,-836000 ( -11.8% ),622,-260 ( -29.5% ),13276000,1504,21
2017-03-14,3,0.1%,3,0%,624,0.0%,100.0%,4992000,4992000 ( 100.0% ),624,624 ( 100.0% ),18268000,2128,18
2017-03-15,3,0.1%,3,0%,624,0.0%,100.0%,4992000,0 ( 0.0% ),624,0 ( 0.0% ),23260000,2752,22
2017-03-16,2,0.0%,2,0%,38,0.0%,100.0%,252000,-4740000 ( -95.0% ),38,-586 ( -93.9% ),23512000,2790,57
2017-03-21,1,0.0%,1,0%,326,0.0%,100.0%,2608000,2608000 ( 100.0% ),326,326 ( 100.0% ),26120000,3116,23
2017-03-23,5,0.1%,5,0%,1431,0.1%,84.8%,10168000,10168000 ( 100.0% ),1213,1213 ( 100.0% ),36288000,4329,14
2017-03-27,6,0.1%,6,0%,840,0.0%,98.9%,6648000,6648000 ( 100.0% ),831,831 ( 100.0% ),42936000,5160,13
2017-03-28,31,0.6%,31,0.2%,5578,0.2%,37.5%,16736000,10088000 ( 151.7% ),2092,1261 ( 151.7% ),59672000,7252,8
2017-03-30,4,0.1%,4,0%,1103,0.0%,98.4%,8680000,8680000 ( 100.0% ),1085,1085 ( 100.0% ),68352000,8337,14
2017-03-31,1,0.0%,1,0%,416,0.0%,100.0%,4160000,-4520000 ( -52.1% ),416,-669 ( -61.7% ),72512000,8753,21
2017-04-01,40,0.7%,40,0.2%,5998,0.2%,18.2%,9366500,5206500 ( 125.2% ),1090,674 ( 162.0% ),81878500,9843,19
2017-04-03,1,0.0%,1,0%,260,0.0%,100.0%,2080000,2080000 ( 100.0% ),260,260 ( 100.0% ),83958500,10103,26
2017-04-04,4,0.1%,4,0%,895,0.0%,100.0%,7160000,5080000 ( 244.2% ),895,635 ( 244.2% ),91118500,10998,14
2017-04-05,1,0.0%,1,0%,383,0.0%,100.0%,3064000,-4096000 ( -57.2% ),383,-512 ( -57.2% ),94182500,11381,19
2017-04-06,373,7.0%,1176,7.1%,178787,6.6%,5.4%,69011900,65947900 ( 2152.3% ),9580,9197 ( 2401.3% ),163194400,20961,8
2017-04-07,372,6.8%,1119,6.7%,167609,6.1%,6.3%,84964160,15952260 ( 23.1% ),10577,997 ( 10.4% ),248158560,31538,8
2017-04-08,375,6.0%,835,4.7%,113747,3.9%,12.2%,114952158,29987998 ( 35.3% ),13910,3333 ( 31.5% ),363110718,45448,9
2017-04-09,366,6.0%,801,4.6%,112043,4.0%,11.3%,105087900,-9864258 ( -8.6% ),12674,-1236 ( -8.9% ),468198618,58122,9
2017-04-10,342,6.5%,831,5.4%,124365,4.9%,4.2%,37725500,-67362400 ( -64.1% ),5263,-7411 ( -58.5% ),505924118,63385,9
2017-04-11,338,6.2%,828,5.4%,123296,4.8%,4.4%,39111000,1385500 ( 3.7% ),5368,105 ( 2.0% ),545035118,68753,9
2017-04-12,132,2.6%,183,1.2%,24720,1.0%,4.6%,8348500,-30762500 ( -78.7% ),1133,-4235 ( -78.9% ),553383618,69886,11
2017-04-13,52,1.0%,63,0.4%,9442,0.4%,13.8%,10988500,2640000 ( 31.6% ),1305,172 ( 15.2% ),564372118,71191,15
2017-04-14,46,0.8%,61,0.4%,8739,0.3%,6.2%,4354000,-6634500 ( -60.4% ),541,-764 ( -58.5% ),568726118,71732,21
