날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-16,167,2.9%,366,2%,50570,1.7%,18.3%,67408200,67408200 ( 100.0% ),9271,9271 ( 100.0% ),67408200,9271,7
2017-11-17,169,2.8%,281,1.6%,37340,1.3%,8.8%,29127900,-38280300 ( -56.8% ),3296,-5975 ( -64.4% ),96536100,12567,10
2017-11-18,172,2.8%,279,1.5%,36853,1.2%,14.6%,45420000,16292100 ( 55.9% ),5364,2068 ( 62.7% ),141956100,17931,11
2017-11-19,166,2.7%,260,1.4%,34511,1.1%,11.4%,33007100,-12412900 ( -27.3% ),3930,-1434 ( -26.7% ),174963200,21861,11
2017-11-20,151,2.7%,217,1.3%,30356,1.1%,3.8%,8848800,-24158300 ( -73.2% ),1146,-2784 ( -70.8% ),183812000,23007,13
2017-11-21,138,2.4%,210,1.3%,28937,1.1%,3.3%,7434700,-1414100 ( -16.0% ),968,-178 ( -15.5% ),191246700,23975,15
2017-11-22,106,2.0%,134,0.8%,17871,0.6%,4.4%,5851000,-1583700 ( -21.3% ),783,-185 ( -19.1% ),197097700,24758,14
2017-11-23,96,1.7%,125,0.7%,17376,0.6%,9.8%,12200300,6349300 ( 108.5% ),1705,922 ( 117.8% ),209298000,26463,15
2017-11-24,93,1.6%,115,0.7%,15790,0.6%,7.8%,10454600,-1745700 ( -14.3% ),1238,-467 ( -27.4% ),219752600,27701,17
2017-11-25,93,1.5%,114,0.6%,15402,0.5%,15.1%,19410700,8956100 ( 85.7% ),2322,1084 ( 87.6% ),239163300,30023,15
2017-11-26,91,1.5%,112,0.6%,14714,0.5%,14.0%,16957000,-2453700 ( -12.6% ),2064,-258 ( -11.1% ),256120300,32087,15
2017-11-27,90,1.7%,113,0.7%,15596,0.6%,4.6%,5385800,-11571200 ( -68.2% ),723,-1341 ( -65.0% ),261506100,32810,17
2017-11-28,83,1.5%,100,0.6%,13763,0.5%,4.6%,4696100,-689700 ( -12.8% ),637,-86 ( -11.9% ),266202200,33447,21
2017-11-29,31,0.6%,34,0.2%,4673,0.2%,7.1%,2183500,-2512600 ( -53.5% ),331,-306 ( -48.0% ),268385700,33778,27
2017-11-30,22,0.4%,26,0.1%,3605,0.1%,15.5%,4096000,1912500 ( 87.6% ),560,229 ( 69.2% ),272481700,34338,22
2017-12-01,23,0.4%,27,0.2%,3664,0.1%,15.3%,4830200,734200 ( 17.9% ),560,0 ( 0.0% ),277311900,34898,19
2017-12-02,14,0.2%,20,0.1%,2915,0.1%,28.5%,6943300,2113100 ( 43.7% ),831,271 ( 48.4% ),284255200,35729,20
2017-12-03,14,0.2%,18,0.1%,2615,0.1%,26.1%,5840600,-1102700 ( -15.9% ),683,-148 ( -17.8% ),290095800,36412,20
2017-12-04,24,0.5%,28,0.2%,3813,0.1%,8.3%,2363000,-3477600 ( -59.5% ),315,-368 ( -53.9% ),292458800,36727,24
2017-12-05,22,0.4%,25,0.1%,3577,0.1%,7.0%,1875000,-488000 ( -20.7% ),251,-64 ( -20.3% ),294333800,36978,38
2017-12-06,25,0.5%,29,0.2%,4137,0.2%,7.7%,2362500,487500 ( 26.0% ),317,66 ( 26.3% ),296696300,37295,31
2017-12-07,12,0.2%,13,0.1%,1735,0.1%,32.0%,4182000,1819500 ( 77.0% ),555,238 ( 75.1% ),300878300,37850,24
2017-12-08,9,0.1%,9,0.1%,1175,0.0%,23.4%,2319000,-1863000 ( -44.5% ),275,-280 ( -50.5% ),303197300,38125,35
2017-12-09,12,0.2%,14,0.1%,1975,0.1%,33.9%,5706600,3387600 ( 146.1% ),669,394 ( 143.3% ),308903900,38794,23
