날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-03-15,1,0.0%,1,0%,108,0.0%,70.4%,380000,380000 ( 100.0% ),76,76 ( 100.0% ),380000,76,50
2016-03-25,1,0.0%,2,0%,298,0.0%,58.4%,1043000,1043000 ( 100.0% ),174,174 ( 100.0% ),1423000,250,29
2016-03-30,282,5.6%,537,3.8%,71599,3.1%,7.7%,34463100,34463100 ( 100.0% ),5536,5536 ( 100.0% ),35886100,5786,7
2016-03-31,287,5.9%,552,3.8%,72321,3.1%,6.0%,32940400,-1522700 ( -4.4% ),4321,-1215 ( -21.9% ),68826500,10107,8
2016-04-01,312,6.1%,579,4%,76703,3.2%,8.6%,52814578,19874178 ( 60.3% ),6583,2262 ( 52.3% ),121641078,16690,5
2016-04-02,293,5.6%,593,3.8%,76984,3.0%,16.5%,102205684,49391106 ( 93.5% ),12677,6094 ( 92.6% ),223846762,29367,6
2016-04-03,296,5.7%,567,3.7%,74175,3.0%,14.5%,87274100,-14931584 ( -14.6% ),10769,-1908 ( -15.1% ),311120862,40136,6
2016-04-04,254,5.6%,498,3.8%,64874,3.0%,5.1%,25510000,-61764100 ( -70.8% ),3299,-7470 ( -69.4% ),336630862,43435,5
2016-04-05,248,5.5%,463,3.7%,60919,2.9%,3.8%,17851100,-7658900 ( -30.0% ),2328,-971 ( -29.4% ),354481962,45763,8
2016-04-06,226,4.6%,426,3.3%,56661,2.7%,4.2%,18458900,607800 ( 3.4% ),2365,37 ( 1.6% ),372940862,48128,9
2016-04-07,22,0.5%,41,0.3%,4625,0.2%,4.4%,1552000,-16906900 ( -91.6% ),203,-2162 ( -91.4% ),374492862,48331,34
2016-04-08,28,0.6%,54,0.4%,6868,0.3%,8.0%,4004500,2452500 ( 158.0% ),551,348 ( 171.4% ),378497362,48882,20
2016-04-09,27,0.5%,50,0.3%,5736,0.2%,9.7%,4218000,213500 ( 5.3% ),559,8 ( 1.5% ),382715362,49441,25
2016-04-10,25,0.5%,44,0.3%,5106,0.2%,10.8%,4108500,-109500 ( -2.6% ),549,-10 ( -1.8% ),386823862,49990,24
2016-04-11,23,0.5%,33,0.2%,3861,0.2%,4.5%,1334500,-2774000 ( -67.5% ),174,-375 ( -68.3% ),388158362,50164,32
2016-04-12,25,0.5%,42,0.3%,4862,0.2%,6.1%,2247500,913000 ( 68.4% ),296,122 ( 70.1% ),390405862,50460,27
2016-04-13,2,0.0%,4,0%,369,0.0%,16.3%,416000,-1831500 ( -81.5% ),60,-236 ( -79.7% ),390821862,50520,54
2016-04-14,1,0.0%,1,0%,42,0.0%,4.8%,18000,-398000 ( -95.7% ),2,-58 ( -96.7% ),390839862,50522,86
2016-04-15,3,0.1%,5,0%,388,0.0%,2.3%,67000,49000 ( 272.2% ),9,7 ( 350.0% ),390906862,50531,77
2016-04-16,3,0.1%,5,0%,404,0.0%,10.4%,291000,224000 ( 334.3% ),42,33 ( 366.7% ),391197862,50573,55
2016-04-17,4,0.1%,5,0%,473,0.0%,8.2%,284000,-7000 ( -2.4% ),39,-3 ( -7.1% ),391481862,50612,53
2016-04-18,2,0.0%,2,0%,151,0.0%,6.0%,79000,-205000 ( -72.2% ),9,-30 ( -76.9% ),391560862,50621,77
2016-04-19,2,0.0%,2,0%,128,0.0%,7.0%,65000,-14000 ( -17.7% ),9,0 ( 0.0% ),391625862,50630,88
2016-04-20,1,0.0%,1,0%,109,0.0%,0.9%,8000,-57000 ( -87.7% ),1,-8 ( -88.9% ),391633862,50631,108
