날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2015-12-29,1,0.0%,1,0%,450,0.0%,100.0%,3600000,3600000 ( 100.0% ),450,450 ( 100.0% ),3600000,450,26
2015-12-30,1,0.0%,1,0%,326,0.0%,100.0%,2608000,-992000 ( -27.6% ),326,-124 ( -27.6% ),6208000,776,25
2016-01-04,1,0.0%,1,0%,160,0.0%,100.0%,1280000,1280000 ( 100.0% ),160,160 ( 100.0% ),7488000,936,34
2016-01-05,1,0.0%,1,0%,622,0.0%,96.1%,4784000,3504000 ( 273.8% ),598,438 ( 273.8% ),12272000,1534,19
2016-01-07,352,6.4%,1137,7.2%,151381,5.8%,21.7%,250267000,250267000 ( 100.0% ),32809,32809 ( 100.0% ),262539000,34343,6
2016-01-08,375,6.6%,1184,7.4%,157632,6.0%,21.0%,266341222,16074222 ( 6.4% ),33138,329 ( 1.0% ),528880222,67481,6
2016-01-09,395,6.5%,1110,6.6%,146465,5.3%,42.8%,509224529,242883307 ( 91.2% ),62760,29622 ( 89.4% ),1038104751,130241,6
2016-01-10,407,6.8%,1116,6.9%,148934,5.6%,38.4%,458957000,-50267529 ( -9.9% ),57234,-5526 ( -8.8% ),1497061751,187475,6
2016-01-11,402,7.3%,1207,8%,165162,6.6%,12.1%,151339600,-307617400 ( -67.0% ),20011,-37223 ( -65.0% ),1648401351,207486,6
2016-01-12,409,7.3%,1200,7.9%,164958,6.6%,11.2%,138732900,-12606700 ( -8.3% ),18408,-1603 ( -8.0% ),1787134251,225894,6
2016-01-13,408,7.3%,1214,8.1%,166679,6.7%,10.5%,132079800,-6653100 ( -4.8% ),17422,-986 ( -5.4% ),1919214051,243316,6
2016-01-14,233,4.0%,583,3.8%,80490,3.1%,7.4%,45344400,-86735400 ( -65.7% ),5923,-11499 ( -66.0% ),1964558451,249239,10
2016-01-15,243,4.1%,602,3.8%,81341,3.1%,8.5%,55870500,10526100 ( 23.2% ),6921,998 ( 16.8% ),2020428951,256160,8
2016-01-16,229,3.7%,542,3.3%,71850,2.7%,16.3%,96040200,40169700 ( 71.9% ),11718,4797 ( 69.3% ),2116469151,267878,8
2016-01-17,229,3.8%,524,3.3%,69263,2.6%,16.7%,94764700,-1275500 ( -1.3% ),11572,-146 ( -1.2% ),2211233851,279450,8
2016-01-18,225,4.1%,489,3.3%,65395,2.7%,6.1%,30462800,-64301900 ( -67.9% ),4010,-7562 ( -65.3% ),2241696651,283460,9
2016-01-19,224,4.0%,482,3.3%,64620,2.7%,6.9%,33830800,3368000 ( 11.1% ),4449,439 ( 10.9% ),2275527451,287909,7
2016-01-20,236,4.2%,500,3.4%,66909,2.8%,6.4%,32428600,-1402200 ( -4.1% ),4265,-184 ( -4.1% ),2307956051,292174,8
2016-01-21,13,0.2%,28,0.2%,3960,0.2%,8.5%,2424000,-30004600 ( -92.5% ),335,-3930 ( -92.1% ),2310380051,292509,31
2016-01-22,14,0.3%,32,0.2%,4560,0.2%,7.5%,2711000,287000 ( 11.8% ),344,9 ( 2.7% ),2313091051,292853,29
2016-01-23,15,0.3%,30,0.2%,4083,0.2%,13.7%,4491500,1780500 ( 65.7% ),559,215 ( 62.5% ),2317582551,293412,29
2016-01-24,15,0.3%,27,0.2%,3669,0.1%,12.2%,3605500,-886000 ( -19.7% ),447,-112 ( -20.0% ),2321188051,293859,27
2016-01-25,14,0.3%,27,0.2%,3604,0.2%,6.7%,1709000,-1896500 ( -52.6% ),241,-206 ( -46.1% ),2322897051,294100,33
2016-01-26,14,0.3%,28,0.2%,3664,0.2%,8.2%,2277000,568000 ( 33.2% ),302,61 ( 25.3% ),2325174051,294402,29
2016-01-27,12,0.2%,24,0.2%,3209,0.1%,14.0%,2846000,569000 ( 25.0% ),450,148 ( 49.0% ),2328020051,294852,29
2016-01-28,2,0.0%,3,0%,320,0.0%,3.8%,87000,-2759000 ( -96.9% ),12,-438 ( -97.3% ),2328107051,294864,80
2016-01-29,2,0.0%,3,0%,320,0.0%,4.1%,104000,17000 ( 19.5% ),13,1 ( 8.3% ),2328211051,294877,73
2016-01-30,2,0.0%,4,0%,424,0.0%,11.3%,378000,274000 ( 263.5% ),48,35 ( 269.2% ),2328589051,294925,65
2016-01-31,2,0.0%,4,0%,424,0.0%,7.3%,241000,-137000 ( -36.2% ),31,-17 ( -35.4% ),2328830051,294956,69
2016-02-01,2,0.0%,3,0%,320,0.0%,1.6%,28000,-213000 ( -88.4% ),5,-26 ( -83.9% ),2328858051,294961,77
2016-02-02,2,0.0%,3,0%,320,0.0%,4.1%,81000,53000 ( 189.3% ),13,8 ( 160.0% ),2328939051,294974,76
2016-02-03,1,0.0%,1,0%,84,0.0%,0.0%,0,-81000 ( -100.0% ),0,-13 ( -100.0% ),2328939051,294974,105
2016-02-25,1,0.0%,1,0%,120,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2328939051,294974,99
2016-02-28,1,0.0%,1,0%,166,0.0%,73.5%,976000,976000 ( 100.0% ),122,122 ( 100.0% ),2329915051,295096,40
