날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-06,9,0.2%,9,0.1%,1544,0.1%,73.1%,8319000,8319000 ( 100.0% ),1129,1129 ( 100.0% ),8319000,1129,13
2017-03-07,16,0.3%,16,0.1%,2725,0.1%,82.3%,17219000,8900000 ( 107.0% ),2243,1114 ( 98.7% ),25538000,3372,13
2017-03-08,3,0.1%,3,0%,474,0.0%,100.0%,3556000,-13663000 ( -79.3% ),474,-1769 ( -78.9% ),29094000,3846,26
2017-03-14,14,0.3%,14,0.1%,3806,0.2%,99.5%,30603000,30603000 ( 100.0% ),3788,3788 ( 100.0% ),59697000,7634,8
2017-03-15,5,0.1%,5,0%,906,0.0%,100.0%,7943000,-22660000 ( -74.0% ),906,-2882 ( -76.1% ),67640000,8540,18
2017-03-16,1,0.0%,1,0%,221,0.0%,0.0%,0,-7943000 ( -100.0% ),0,-906 ( -100.0% ),67640000,8540,113
2017-03-17,42,0.8%,42,0.3%,8344,0.3%,99.6%,74826000,74826000 ( 100.0% ),8314,8314 ( 100.0% ),142466000,16854,5
2017-03-18,1,0.0%,1,0%,134,0.0%,100.0%,1206000,-73620000 ( -98.4% ),134,-8180 ( -98.4% ),143672000,16988,42
2017-03-19,12,0.2%,25,0.2%,828,0.0%,100.0%,9108000,7902000 ( 655.2% ),828,694 ( 517.9% ),152780000,17816,19
2017-03-20,17,0.3%,17,0.1%,3581,0.1%,48.3%,19302000,10194000 ( 111.9% ),1731,903 ( 109.1% ),172082000,19547,10
2017-03-21,13,0.3%,13,0.1%,3402,0.1%,104.4%,28259000,8957000 ( 46.4% ),3551,1820 ( 105.1% ),200341000,23098,6
2017-03-22,871,15.3%,2417,16.1%,417184,16.8%,20.4%,661246800,632987800 ( 2240.0% ),85056,81505 ( 2295.3% ),861587800,108154,2
2017-03-23,909,18.4%,4234,26.8%,783051,30.1%,21.5%,1257773300,596526500 ( 90.2% ),168336,83280 ( 97.9% ),2119361100,276490,1
2017-03-24,942,18.8%,4453,27.3%,823411,30.8%,23.6%,1641165534,383392234 ( 30.5% ),194224,25888 ( 15.4% ),3760526634,470714,1
2017-03-25,1047,18.9%,4889,28.3%,879442,31.2%,45.8%,3439513889,1798348355 ( 109.6% ),403084,208860 ( 107.5% ),7200040523,873798,2
2017-03-26,1036,18.8%,4772,28.3%,857768,31.2%,43.1%,3170344300,-269169589 ( -7.8% ),369870,-33214 ( -8.2% ),10370384823,1243668,2
2017-03-27,962,19.9%,4551,29.2%,829064,32.4%,15.9%,987093300,-2183251000 ( -68.9% ),131499,-238371 ( -64.4% ),11357478123,1375167,1
