날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-10,1,0.0%,1,0%,92,0.0%,100.0%,736000,736000 ( 100.0% ),92,92 ( 100.0% ),736000,92,43
2018-01-17,1,0.0%,1,0%,92,0.0%,100.0%,736000,736000 ( 100.0% ),92,92 ( 100.0% ),1472000,184,44
2018-01-27,1,0.0%,1,0%,78,0.0%,100.0%,780000,780000 ( 100.0% ),78,78 ( 100.0% ),2252000,262,50
2018-02-03,1,0.0%,1,0%,102,0.0%,100.0%,1039000,1039000 ( 100.0% ),102,102 ( 100.0% ),3291000,364,49
2018-02-08,4,0.1%,4,0%,799,0.0%,100.0%,6392000,6392000 ( 100.0% ),799,799 ( 100.0% ),9683000,1163,22
2018-02-09,1,0.0%,2,0%,828,0.0%,61.6%,4346300,-2045700 ( -32.0% ),510,-289 ( -36.2% ),14029300,1673,27
2018-02-12,1,0.0%,1,0%,172,0.0%,100.0%,1376000,1376000 ( 100.0% ),172,172 ( 100.0% ),15405300,1845,36
2018-02-13,9,0.1%,9,0.1%,1208,0.0%,100.0%,9664000,8288000 ( 602.3% ),1208,1036 ( 602.3% ),25069300,3053,20
2018-02-16,18,0.3%,18,0.1%,2055,0.1%,62.2%,11551500,11551500 ( 100.0% ),1278,1278 ( 100.0% ),36620800,4331,11
2018-02-17,2,0.0%,2,0%,401,0.0%,24.2%,865000,-10686500 ( -92.5% ),97,-1181 ( -92.4% ),37485800,4428,49
2018-02-18,3,0.0%,3,0%,368,0.0%,67.9%,2281900,1416900 ( 163.8% ),250,153 ( 157.7% ),39767700,4678,32
2018-02-19,1,0.0%,1,0%,160,0.0%,64.4%,860500,-1421400 ( -62.3% ),103,-147 ( -58.8% ),40628200,4781,41
2018-02-21,3,0.1%,3,0%,405,0.0%,35.1%,1200500,1200500 ( 100.0% ),142,142 ( 100.0% ),41828700,4923,47
2018-02-23,2,0.0%,3,0%,682,0.0%,30.1%,1648000,1648000 ( 100.0% ),205,205 ( 100.0% ),43476700,5128,34
2018-02-24,2,0.0%,2,0%,161,0.0%,67.7%,990000,-658000 ( -39.9% ),109,-96 ( -46.8% ),44466700,5237,49
2018-02-25,2,0.0%,2,0%,206,0.0%,65.0%,1204500,214500 ( 21.7% ),134,25 ( 22.9% ),45671200,5371,40
