날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-04,1,0.0%,2,0%,302,0.0%,50.0%,1208000,1208000 ( 100.0% ),151,151 ( 100.0% ),1208000,151,42
2017-07-06,1,0.0%,1,0%,231,0.0%,100.0%,1848000,1848000 ( 100.0% ),231,231 ( 100.0% ),3056000,382,26
2017-07-08,1,0.0%,1,0%,218,0.0%,69.7%,1538000,1538000 ( 100.0% ),152,152 ( 100.0% ),4594000,534,39
2017-07-09,2,0.0%,3,0%,280,0.0%,82.1%,2049200,511200 ( 33.2% ),230,78 ( 51.3% ),6643200,764,30
2017-07-11,1,0.0%,1,0%,218,0.0%,100.0%,1744000,1744000 ( 100.0% ),218,218 ( 100.0% ),8387200,982,34
2017-07-12,186,4.2%,634,4.1%,85392,3.3%,16.8%,105250200,103506200 ( 5935.0% ),14315,14097 ( 6466.5% ),113637400,15297,3
2017-07-13,205,4.2%,632,4%,84414,3.3%,19.4%,120472500,15222300 ( 14.5% ),16339,2024 ( 14.1% ),234109900,31636,4
2017-07-14,227,4.5%,733,4.5%,99208,3.7%,22.0%,180557400,60084900 ( 49.9% ),21784,5445 ( 33.3% ),414667300,53420,3
2017-07-15,249,4.6%,873,5%,122895,4.3%,33.9%,352230100,171672700 ( 95.1% ),41661,19877 ( 91.2% ),766897400,95081,4
2017-07-16,248,4.7%,864,5.1%,122425,4.4%,32.3%,334341000,-17889100 ( -5.1% ),39542,-2119 ( -5.1% ),1101238400,134623,4
2017-07-17,200,4.3%,895,5.8%,130708,5.2%,14.5%,141227500,-193113500 ( -57.8% ),18975,-20567 ( -52.0% ),1242465900,153598,3
2017-07-18,219,4.5%,923,6%,134810,5.3%,14.5%,144710700,3483200 ( 2.5% ),19596,621 ( 3.3% ),1387176600,173194,3
2017-07-19,215,4.3%,962,6%,143949,5.5%,12.6%,133653900,-11056800 ( -7.6% ),18094,-1502 ( -7.7% ),1520830500,191288,4
2017-07-20,179,3.2%,670,3.6%,92218,3.0%,14.2%,96692400,-36961500 ( -27.7% ),13054,-5040 ( -27.9% ),1617522900,204342,4
2017-07-21,194,3.4%,702,3.7%,96850,3.1%,17.9%,143176700,46484300 ( 48.1% ),17354,4300 ( 32.9% ),1760699600,221696,4
2017-07-22,211,3.4%,722,3.6%,98511,3.0%,24.4%,204210600,61033900 ( 42.6% ),24055,6701 ( 38.6% ),1964910200,245751,6
2017-07-23,209,3.4%,705,3.6%,96626,3.1%,22.9%,188593300,-15617300 ( -7.6% ),22165,-1890 ( -7.9% ),2153503500,267916,6
