날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-07,1,0.0%,1,0%,170,0.0%,100.0%,1700000,1700000 ( 100.0% ),170,170 ( 100.0% ),1700000,170,30
2018-05-08,6,0.1%,6,0%,1475,0.1%,100.0%,10325000,8625000 ( 507.4% ),1475,1305 ( 767.6% ),12025000,1645,9
2018-05-10,1,0.0%,1,0%,172,0.0%,100.0%,1548000,1548000 ( 100.0% ),172,172 ( 100.0% ),13573000,1817,26
2018-05-16,383,7.6%,495,3.1%,65894,2.6%,6.1%,28682100,28682100 ( 100.0% ),4019,4019 ( 100.0% ),42255100,5836,6
2018-05-17,338,6.5%,441,2.6%,53594,2.0%,7.9%,29679300,997200 ( 3.5% ),4253,234 ( 5.8% ),71934400,10089,6
2018-05-18,378,7.0%,488,2.8%,58927,2.1%,8.1%,36643300,6964000 ( 23.5% ),4790,537 ( 12.6% ),108577700,14879,6
2018-05-19,575,9.8%,1013,5.5%,124930,4.3%,37.6%,369860700,333217400 ( 909.4% ),46914,42124 ( 879.4% ),478438400,61793,4
2018-05-20,599,10.2%,1101,6.1%,137456,4.8%,36.9%,403996300,34135600 ( 9.2% ),50693,3779 ( 8.1% ),882434700,112486,4
2018-05-21,523,9.4%,870,4.9%,107495,3.8%,35.2%,262855200,-141141100 ( -34.9% ),37859,-12834 ( -25.3% ),1145289900,150345,4
2018-05-22,595,10.4%,1077,5.9%,129576,4.4%,61.8%,626342000,363486800 ( 138.3% ),80134,42275 ( 111.7% ),1771631900,230479,4
2018-05-23,296,5.9%,388,2.3%,46268,1.7%,6.3%,20517500,-605824500 ( -96.7% ),2907,-77227 ( -96.4% ),1792149400,233386,7
2018-05-24,212,4.1%,259,1.6%,29753,1.1%,6.2%,13333700,-7183800 ( -35.0% ),1854,-1053 ( -36.2% ),1805483100,235240,9
2018-05-25,237,4.4%,296,1.7%,35003,1.3%,7.4%,20457500,7123800 ( 53.4% ),2602,748 ( 40.3% ),1825940600,237842,8
2018-05-26,542,8.9%,1088,5.8%,140682,4.7%,24.4%,271748000,251290500 ( 1228.4% ),34278,31676 ( 1217.4% ),2097688600,272120,6
2018-05-27,540,9.0%,1102,6%,141536,4.9%,26.7%,301185100,29437100 ( 10.8% ),37804,3526 ( 10.3% ),2398873700,309924,5
2018-05-28,233,4.6%,293,1.8%,36282,1.4%,4.4%,11733600,-289451500 ( -96.1% ),1589,-36215 ( -95.8% ),2410607300,311513,8
2018-05-29,224,4.3%,282,1.7%,36277,1.4%,5.3%,13387300,1653700 ( 14.1% ),1937,348 ( 21.9% ),2423994600,313450,7
2018-05-30,187,3.2%,228,1.3%,28219,1.0%,11.4%,19605100,6217800 ( 46.4% ),3208,1271 ( 65.6% ),2443599700,316658,9
2018-05-31,164,2.9%,198,1.2%,24191,0.9%,7.5%,12037700,-7567400 ( -38.6% ),1814,-1394 ( -43.5% ),2455637400,318472,11
2018-06-01,191,3.3%,235,1.4%,28086,1.0%,7.0%,14904500,2866800 ( 23.8% ),1970,156 ( 8.6% ),2470541900,320442,10
2018-06-02,426,6.6%,770,4.1%,95236,3.2%,22.4%,168568400,153663900 ( 1031.0% ),21367,19397 ( 984.6% ),2639110300,341809,5
2018-06-03,429,6.8%,783,4.3%,97332,3.4%,23.5%,183730500,15162100 ( 9.0% ),22828,1461 ( 6.8% ),2822840800,364637,4
2018-06-04,186,3.5%,226,1.4%,27302,1.1%,5.2%,9911300,-173819200 ( -94.6% ),1410,-21418 ( -93.8% ),2832752100,366047,10
2018-06-05,204,3.6%,255,1.5%,30753,1.1%,6.2%,13063900,3152600 ( 31.8% ),1900,490 ( 34.8% ),2845816000,367947,9
2018-06-06,85,1.6%,107,0.6%,12115,0.4%,59.7%,56731000,43667100 ( 334.3% ),7234,5334 ( 280.7% ),2902547000,375181,8
2018-06-07,22,0.5%,25,0.1%,2850,0.1%,6.2%,1136000,-55595000 ( -98.0% ),176,-7058 ( -97.6% ),2903683000,375357,31
2018-06-08,29,0.6%,32,0.2%,3821,0.1%,9.2%,2254300,1118300 ( 98.4% ),350,174 ( 98.9% ),2905937300,375707,21
2018-06-09,69,1.3%,93,0.5%,11069,0.4%,24.3%,21705500,19451200 ( 862.8% ),2685,2335 ( 667.1% ),2927642800,378392,9
2018-06-10,74,1.4%,102,0.6%,12104,0.4%,26.2%,25588900,3883400 ( 17.9% ),3173,488 ( 18.2% ),2953231700,381565,9
2018-06-11,17,0.4%,21,0.1%,1990,0.1%,7.2%,937000,-24651900 ( -96.3% ),143,-3030 ( -95.5% ),2954168700,381708,31
2018-06-12,22,0.5%,27,0.2%,2803,0.1%,7.3%,1276500,339500 ( 36.2% ),206,63 ( 44.1% ),2955445200,381914,29
2018-06-13,28,0.5%,29,0.2%,3391,0.1%,52.0%,14299800,13023300 ( 1020.2% ),1762,1556 ( 755.3% ),2969745000,383676,11
2018-06-14,6,0.1%,7,0%,745,0.0%,8.5%,442500,-13857300 ( -96.9% ),63,-1699 ( -96.4% ),2970187500,383739,48
2018-06-15,7,0.2%,8,0%,760,0.0%,15.0%,783000,340500 ( 76.9% ),114,51 ( 81.0% ),2970970500,383853,33
2018-06-16,30,0.6%,37,0.2%,4012,0.1%,22.6%,7430100,6647100 ( 848.9% ),907,793 ( 695.6% ),2978400600,384760,16
2018-06-17,30,0.6%,35,0.2%,3854,0.1%,28.8%,9224500,1794400 ( 24.2% ),1109,202 ( 22.3% ),2987625100,385869,13
2018-06-18,8,0.2%,8,0%,745,0.0%,17.2%,718000,-8506500 ( -92.2% ),128,-981 ( -88.5% ),2988343100,385997,30
2018-06-19,7,0.2%,8,0%,657,0.0%,15.2%,636000,-82000 ( -11.4% ),100,-28 ( -21.9% ),2988979100,386097,36
2018-06-20,8,0.2%,9,0.1%,691,0.0%,18.2%,707000,71000 ( 11.2% ),126,26 ( 26.0% ),2989686100,386223,36
2018-06-21,3,0.1%,4,0%,455,0.0%,2.4%,70000,-637000 ( -90.1% ),11,-115 ( -91.3% ),2989756100,386234,71
2018-06-22,5,0.1%,5,0%,398,0.0%,9.5%,266000,196000 ( 280.0% ),38,27 ( 245.5% ),2990022100,386272,53
2018-06-23,18,0.3%,19,0.1%,2333,0.1%,24.9%,4773100,4507100 ( 1694.4% ),582,544 ( 1431.6% ),2994795200,386854,24
2018-06-24,17,0.3%,19,0.1%,2299,0.1%,29.9%,5675700,902600 ( 18.9% ),688,106 ( 18.2% ),3000470900,387542,20
