날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-24,6,0.1%,6,0%,1266,0.0%,40.3%,4866500,4866500 ( 100.0% ),510,510 ( 100.0% ),4866500,510,30
2016-09-25,4,0.1%,4,0%,847,0.0%,39.7%,3045000,-1821500 ( -37.4% ),336,-174 ( -34.1% ),7911500,846,36
2016-09-27,4,0.1%,4,0%,615,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),7911500,846,140
2016-09-28,143,3.0%,320,2.1%,43372,1.7%,5.6%,15091000,15091000 ( 100.0% ),2443,2443 ( 100.0% ),23002500,3289,8
2016-09-29,130,2.7%,301,1.9%,40619,1.6%,4.1%,11906500,-3184500 ( -21.1% ),1655,-788 ( -32.3% ),34909000,4944,11
2016-09-30,141,2.9%,348,2.2%,46500,1.8%,5.6%,20265500,8359000 ( 70.2% ),2591,936 ( 56.6% ),55174500,7535,9
2016-10-01,163,2.9%,431,2.5%,55063,2.0%,23.1%,104142500,83877000 ( 413.9% ),12720,10129 ( 390.9% ),159317000,20255,7
2016-10-02,163,2.8%,436,2.6%,56049,2.0%,34.9%,163326100,59183600 ( 56.8% ),19536,6816 ( 53.6% ),322643100,39791,6
2016-10-03,167,2.9%,439,2.7%,56662,2.1%,40.6%,185823500,22497400 ( 13.8% ),22986,3450 ( 17.7% ),508466600,62777,6
2016-10-04,138,2.9%,330,2.2%,43990,1.8%,11.1%,34381000,-151442500 ( -81.5% ),4897,-18089 ( -78.7% ),542847600,67674,7
2016-10-05,109,2.4%,224,1.4%,31828,1.2%,5.3%,12260000,-22121000 ( -64.3% ),1684,-3213 ( -65.6% ),555107600,69358,9
2016-10-06,89,1.8%,161,1%,23675,0.9%,3.1%,5457500,-6802500 ( -55.5% ),734,-950 ( -56.4% ),560565100,70092,14
2016-10-07,97,1.9%,180,1.1%,25461,1.0%,4.6%,9775500,4318000 ( 79.1% ),1175,441 ( 60.1% ),570340600,71267,14
2016-10-08,137,2.3%,302,1.8%,42164,1.5%,20.2%,68154500,58379000 ( 597.2% ),8498,7323 ( 623.2% ),638495100,79765,10
2016-10-09,138,2.3%,303,1.8%,42063,1.5%,20.2%,69357000,1202500 ( 1.8% ),8511,13 ( 0.2% ),707852100,88276,10
2016-10-10,80,1.7%,127,0.8%,19057,0.8%,3.0%,4157000,-65200000 ( -94.0% ),564,-7947 ( -93.4% ),712009100,88840,16
2016-10-11,82,1.7%,138,0.9%,20359,0.8%,3.4%,4777500,620500 ( 14.9% ),684,120 ( 21.3% ),716786600,89524,12
2016-10-12,83,1.7%,130,0.9%,19629,0.8%,2.7%,3029000,-1748500 ( -36.6% ),534,-150 ( -21.9% ),719815600,90058,17
2016-10-13,46,0.9%,51,0.3%,7332,0.3%,3.6%,1690000,-1339000 ( -44.2% ),262,-272 ( -50.9% ),721505600,90320,26
2016-10-14,51,1.0%,57,0.4%,8371,0.3%,8.7%,5735000,4045000 ( 239.3% ),728,466 ( 177.9% ),727240600,91048,17
2016-10-15,100,1.8%,162,0.9%,22402,0.8%,19.2%,33281500,27546500 ( 480.3% ),4306,3578 ( 491.5% ),760522100,95354,13
2016-10-16,97,1.7%,156,0.9%,21265,0.8%,23.9%,39265000,5983500 ( 18.0% ),5072,766 ( 17.8% ),799787100,100426,12
2016-10-17,52,1.1%,66,0.4%,9579,0.4%,3.3%,2261500,-37003500 ( -94.2% ),314,-4758 ( -93.8% ),802048600,100740,21
2016-10-18,44,0.9%,50,0.3%,7126,0.3%,2.8%,1341500,-920000 ( -40.7% ),196,-118 ( -37.6% ),803390100,100936,29
2016-10-19,33,0.6%,33,0.2%,4714,0.2%,6.6%,1804000,462500 ( 34.5% ),311,115 ( 58.7% ),805194100,101247,26
2016-10-20,34,0.7%,35,0.2%,5176,0.2%,2.8%,974000,-830000 ( -46.0% ),143,-168 ( -54.0% ),806168100,101390,39
2016-10-21,39,0.7%,39,0.2%,5790,0.2%,5.2%,1948500,974500 ( 100.1% ),299,156 ( 109.1% ),808116600,101689,32
2016-10-22,89,1.6%,115,0.7%,14557,0.5%,14.1%,15950000,14001500 ( 718.6% ),2053,1754 ( 586.6% ),824066600,103742,16
2016-10-23,90,1.6%,118,0.7%,15163,0.5%,20.4%,25086500,9136500 ( 57.3% ),3092,1039 ( 50.6% ),849153100,106834,13
2016-10-24,47,1.0%,47,0.3%,6659,0.3%,2.7%,1281000,-23805500 ( -94.9% ),182,-2910 ( -94.1% ),850434100,107016,41
2016-10-25,38,0.6%,39,0.2%,6009,0.2%,3.7%,1434000,153000 ( 11.9% ),225,43 ( 23.6% ),851868100,107241,35
2016-10-26,4,0.1%,4,0%,521,0.0%,17.3%,570000,-864000 ( -60.3% ),90,-135 ( -60.0% ),852438100,107331,53
2016-10-28,1,0.0%,1,0%,114,0.0%,57.0%,551000,551000 ( 100.0% ),65,65 ( 100.0% ),852989100,107396,52
2016-10-29,15,0.3%,19,0.1%,2266,0.1%,29.8%,4908500,4357500 ( 790.8% ),675,610 ( 938.5% ),857897600,108071,22
2016-10-30,13,0.3%,16,0.1%,2011,0.1%,26.9%,4313000,-595500 ( -12.1% ),541,-134 ( -19.9% ),862210600,108612,21
2016-11-02,1,0.0%,1,0%,152,0.0%,2.6%,30000,30000 ( 100.0% ),4,4 ( 100.0% ),862240600,108616,97
2016-11-09,3,0.1%,3,0%,427,0.0%,85.5%,2528000,2528000 ( 100.0% ),365,365 ( 100.0% ),864768600,108981,24
2016-11-10,1,0.0%,1,0%,147,0.0%,40.1%,295000,-2233000 ( -88.3% ),59,-306 ( -83.8% ),865063600,109040,64
2016-11-11,1,0.0%,1,0%,147,0.0%,46.9%,345000,50000 ( 16.9% ),69,10 ( 16.9% ),865408600,109109,63
2016-11-12,1,0.0%,1,0%,116,0.0%,3.4%,30000,-315000 ( -91.3% ),4,-65 ( -94.2% ),865438600,109113,123
2016-11-13,1,0.0%,1,0%,152,0.0%,5.9%,64000,34000 ( 113.3% ),9,5 ( 125.0% ),865502600,109122,100
2016-11-19,1,0.0%,1,0%,187,0.0%,8.0%,98000,98000 ( 100.0% ),15,15 ( 100.0% ),865600600,109137,111
