날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-16,3,0.1%,3,0%,715,0.0%,100.0%,5720000,5720000 ( 100.0% ),715,715 ( 100.0% ),5720000,715,19
2017-11-23,146,2.6%,152,0.9%,19564,0.7%,4.6%,5790500,5790500 ( 100.0% ),899,899 ( 100.0% ),11510500,1614,19
2017-11-24,128,2.2%,136,0.8%,16757,0.6%,7.9%,8009500,2219000 ( 38.3% ),1331,432 ( 48.1% ),19520000,2945,15
2017-11-25,250,4.0%,353,1.9%,42842,1.4%,19.2%,61611800,53602300 ( 669.2% ),8244,6913 ( 519.4% ),81131800,11189,8
2017-11-26,247,4.1%,350,1.9%,42322,1.4%,22.0%,70395700,8783900 ( 14.3% ),9298,1054 ( 12.8% ),151527500,20487,7
2017-11-27,110,2.0%,117,0.7%,14237,0.5%,5.2%,4899000,-65496700 ( -93.0% ),746,-8552 ( -92.0% ),156426500,21233,16
2017-11-28,117,2.1%,127,0.8%,16081,0.6%,4.5%,4546500,-352500 ( -7.2% ),721,-25 ( -3.4% ),160973000,21954,17
2017-11-29,58,1.1%,64,0.4%,7117,0.2%,6.7%,2793500,-1753000 ( -38.6% ),475,-246 ( -34.1% ),163766500,22429,23
2017-11-30,12,0.2%,14,0.1%,1390,0.0%,7.1%,617500,-2176000 ( -77.9% ),98,-377 ( -79.4% ),164384000,22527,60
2017-12-01,17,0.3%,19,0.1%,1889,0.1%,15.0%,1681500,1064000 ( 172.3% ),283,185 ( 188.8% ),166065500,22810,32
2017-12-02,57,1.0%,77,0.4%,8698,0.3%,25.0%,15900100,14218600 ( 845.6% ),2177,1894 ( 669.3% ),181965600,24987,13
2017-12-03,54,0.9%,74,0.4%,8326,0.3%,25.7%,16343200,443100 ( 2.8% ),2141,-36 ( -1.7% ),198308800,27128,13
2017-12-04,8,0.2%,9,0.1%,869,0.0%,15.3%,757500,-15585700 ( -95.4% ),133,-2008 ( -93.8% ),199066300,27261,43
2017-12-05,19,0.4%,20,0.1%,2171,0.1%,25.8%,2827000,2069500 ( 273.2% ),561,428 ( 321.8% ),201893300,27822,14
2017-12-06,20,0.4%,20,0.1%,2161,0.1%,36.9%,3991500,1164500 ( 41.2% ),797,236 ( 42.1% ),205884800,28619,16
2017-12-07,13,0.2%,14,0.1%,1476,0.1%,48.8%,3924000,-67500 ( -1.7% ),721,-76 ( -9.5% ),209808800,29340,20
2017-12-08,9,0.1%,10,0.1%,1006,0.0%,30.8%,1620000,-2304000 ( -58.7% ),310,-411 ( -57.0% ),211428800,29650,31
2017-12-09,4,0.1%,4,0%,182,0.0%,34.1%,459000,-1161000 ( -71.7% ),62,-248 ( -80.0% ),211887800,29712,77
2017-12-10,3,0.0%,3,0%,216,0.0%,26.4%,402500,-56500 ( -12.3% ),57,-5 ( -8.1% ),212290300,29769,75
2017-12-11,3,0.0%,4,0%,339,0.0%,53.1%,1087000,684500 ( 170.1% ),180,123 ( 215.8% ),213377300,29949,38
2017-12-12,6,0.1%,6,0%,798,0.0%,66.8%,2815000,1728000 ( 159.0% ),533,353 ( 196.1% ),216192300,30482,25
2017-12-13,8,0.1%,9,0.1%,859,0.0%,37.4%,1703000,-1112000 ( -39.5% ),321,-212 ( -39.8% ),217895300,30803,32
2017-12-14,8,0.1%,8,0%,899,0.0%,69.3%,3090000,1387000 ( 81.4% ),623,302 ( 94.1% ),220985300,31426,23
2017-12-15,9,0.1%,9,0.1%,1040,0.0%,53.5%,2688000,-402000 ( -13.0% ),556,-67 ( -10.8% ),223673300,31982,24
2017-12-18,2,0.0%,2,0%,155,0.0%,66.5%,515000,515000 ( 100.0% ),103,103 ( 100.0% ),224188300,32085,44
2017-12-19,5,0.1%,5,0%,483,0.0%,40.6%,1028000,513000 ( 99.6% ),196,93 ( 90.3% ),225216300,32281,37
2017-12-20,4,0.1%,4,0%,574,0.0%,48.6%,1395000,367000 ( 35.7% ),279,83 ( 42.3% ),226611300,32560,21
2017-12-21,9,0.2%,9,0.1%,1316,0.0%,41.3%,2694000,1299000 ( 93.1% ),543,264 ( 94.6% ),229305300,33103,21
2017-12-22,4,0.1%,4,0%,479,0.0%,44.5%,987000,-1707000 ( -63.4% ),213,-330 ( -60.8% ),230292300,33316,31
2017-12-23,19,0.3%,20,0.1%,2074,0.1%,11.0%,1629500,642500 ( 65.1% ),229,16 ( 7.5% ),231921800,33545,31
2017-12-24,20,0.3%,22,0.1%,2497,0.1%,16.5%,2949000,1319500 ( 81.0% ),413,184 ( 80.3% ),234870800,33958,23
2017-12-25,29,0.5%,33,0.2%,3597,0.1%,21.6%,5653000,2704000 ( 91.7% ),777,364 ( 88.1% ),240523800,34735,18
2017-12-26,3,0.1%,3,0%,454,0.0%,11.5%,268000,-5385000 ( -95.3% ),52,-725 ( -93.3% ),240791800,34787,55
2017-12-27,1,0.0%,1,0%,149,0.0%,75.2%,560000,292000 ( 109.0% ),112,60 ( 115.4% ),241351800,34899,34
