날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-24,1,0.0%,3,0%,852,0.0%,60.2%,4574500,4574500 ( 100.0% ),513,513 ( 100.0% ),4574500,513,23
2016-12-25,1,0.0%,3,0%,852,0.0%,40.7%,3120000,-1454500 ( -31.8% ),347,-166 ( -32.4% ),7694500,860,27
2016-12-28,103,1.9%,195,1.2%,24942,1.0%,39.9%,63831500,63831500 ( 100.0% ),9955,9955 ( 100.0% ),71526000,10815,8
2016-12-29,101,1.9%,183,1.1%,23155,0.9%,14.8%,24423000,-39408500 ( -61.7% ),3419,-6536 ( -65.7% ),95949000,14234,10
2016-12-30,102,1.9%,189,1.1%,23528,0.9%,14.8%,26563500,2140500 ( 8.8% ),3487,68 ( 2.0% ),122512500,17721,10
2016-12-31,90,1.5%,153,0.9%,18869,0.7%,16.4%,23281500,-3282000 ( -12.4% ),3093,-394 ( -11.3% ),145794000,20814,12
2017-01-01,91,1.6%,142,0.8%,17878,0.7%,10.7%,14782500,-8499000 ( -36.5% ),1919,-1174 ( -38.0% ),160576500,22733,12
2017-01-02,97,1.8%,148,0.9%,19049,0.7%,6.3%,8582500,-6200000 ( -41.9% ),1205,-714 ( -37.2% ),169159000,23938,13
2017-01-03,91,1.7%,148,0.9%,18565,0.7%,5.2%,6724000,-1858500 ( -21.7% ),962,-243 ( -20.2% ),175883000,24900,16
2017-01-04,54,0.9%,80,0.5%,9884,0.4%,6.4%,4442000,-2282000 ( -33.9% ),628,-334 ( -34.7% ),180325000,25528,20
2017-01-05,59,1.0%,91,0.5%,11621,0.4%,26.5%,21122500,16680500 ( 375.5% ),3076,2448 ( 389.8% ),201447500,28604,12
2017-01-06,58,0.9%,83,0.5%,10251,0.4%,9.0%,6751500,-14371000 ( -68.0% ),925,-2151 ( -69.9% ),208199000,29529,17
2017-01-07,55,0.8%,72,0.4%,8677,0.3%,12.4%,8092000,1340500 ( 19.9% ),1079,154 ( 16.6% ),216291000,30608,17
2017-01-08,52,0.8%,69,0.4%,8484,0.3%,9.9%,6346500,-1745500 ( -21.6% ),837,-242 ( -22.4% ),222637500,31445,19
2017-01-09,55,0.9%,78,0.5%,9890,0.4%,4.1%,2917000,-3429500 ( -54.0% ),409,-428 ( -51.1% ),225554500,31854,19
2017-01-10,55,0.9%,73,0.4%,9232,0.3%,4.2%,2667000,-250000 ( -8.6% ),384,-25 ( -6.1% ),228221500,32238,25
2017-01-11,33,0.6%,43,0.3%,5180,0.2%,4.4%,1573000,-1094000 ( -41.0% ),230,-154 ( -40.1% ),229794500,32468,29
2017-01-12,38,0.7%,57,0.3%,7158,0.3%,19.1%,9460000,7887000 ( 501.4% ),1369,1139 ( 495.2% ),239254500,33837,19
2017-01-13,36,0.6%,49,0.3%,5839,0.2%,9.5%,4121500,-5338500 ( -56.4% ),552,-817 ( -59.7% ),243376000,34389,24
2017-01-14,36,0.6%,47,0.3%,5608,0.2%,9.8%,4138000,16500 ( 0.4% ),548,-4 ( -0.7% ),247514000,34937,26
2017-01-15,36,0.6%,42,0.2%,4988,0.2%,9.8%,3725000,-413000 ( -10.0% ),489,-59 ( -10.8% ),251239000,35426,26
2017-01-16,32,0.6%,45,0.3%,5361,0.2%,4.3%,1630500,-2094500 ( -56.2% ),230,-259 ( -53.0% ),252869500,35656,33
2017-01-17,30,0.5%,43,0.3%,5125,0.2%,4.8%,1696000,65500 ( 4.0% ),246,16 ( 7.0% ),254565500,35902,37
2017-01-18,21,0.4%,21,0.1%,2590,0.1%,4.7%,860000,-836000 ( -49.3% ),122,-124 ( -50.4% ),255425500,36024,44
2017-01-19,24,0.4%,25,0.1%,3066,0.1%,15.7%,3269000,2409000 ( 280.1% ),482,360 ( 295.1% ),258694500,36506,20
2017-01-20,21,0.4%,22,0.1%,2979,0.1%,4.6%,967000,-2302000 ( -70.4% ),136,-346 ( -71.8% ),259661500,36642,40
