날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-17,1,0.0%,1,0%,624,0.0%,100.0%,8736000,8736000 ( 100.0% ),624,624 ( 100.0% ),8736000,624,17
2018-05-23,1,0.0%,1,0%,450,0.0%,100.0%,5400000,5400000 ( 100.0% ),450,450 ( 100.0% ),14136000,1074,16
2018-05-24,546,10.4%,1887,11.3%,312755,11.6%,6.1%,184755200,179355200 ( 3321.4% ),19176,18726 ( 4161.3% ),198891200,20250,3
2018-05-25,556,10.3%,1822,10.6%,300514,10.9%,6.8%,199559100,14803900 ( 8.0% ),20312,1136 ( 5.9% ),398450300,40562,4
2018-05-26,569,9.3%,1656,8.8%,258417,8.7%,17.1%,423926239,224367139 ( 112.4% ),44133,23821 ( 117.3% ),822376539,84695,4
2018-05-27,555,9.3%,1561,8.5%,247742,8.5%,16.3%,379672400,-44253839 ( -10.4% ),40328,-3805 ( -8.6% ),1202048939,125023,4
2018-05-28,503,9.9%,1465,8.9%,234629,8.8%,4.3%,90643800,-289028600 ( -76.1% ),10165,-30163 ( -74.8% ),1292692739,135188,5
2018-05-29,512,9.9%,1432,8.7%,228203,8.6%,4.3%,84684100,-5959700 ( -6.6% ),9738,-427 ( -4.2% ),1377376839,144926,5
2018-05-30,430,7.4%,857,5%,128072,4.7%,11.5%,97589700,12905600 ( 15.2% ),14721,4983 ( 51.2% ),1474966539,159647,6
2018-05-31,362,6.4%,721,4.4%,109747,4.1%,5.7%,52482000,-45107700 ( -46.2% ),6288,-8433 ( -57.3% ),1527448539,165935,6
2018-06-01,384,6.7%,705,4.1%,105184,3.8%,7.5%,69958260,17476260 ( 33.3% ),7859,1571 ( 25.0% ),1597406799,173794,5
2018-06-02,350,5.4%,642,3.5%,93439,3.2%,17.0%,148614479,78656219 ( 112.4% ),15880,8021 ( 102.1% ),1746021278,189674,6
2018-06-03,350,5.6%,623,3.5%,91961,3.2%,14.4%,123496500,-25117979 ( -16.9% ),13276,-2604 ( -16.4% ),1869517778,202950,6
2018-06-04,323,6.1%,622,3.9%,93452,3.6%,3.8%,30121300,-93375200 ( -75.6% ),3553,-9723 ( -73.2% ),1899639078,206503,5
2018-06-05,340,6.0%,654,3.9%,97460,3.6%,5.0%,41558900,11437600 ( 38.0% ),4871,1318 ( 37.1% ),1941197978,211374,5
2018-06-06,20,0.4%,25,0.1%,2699,0.1%,25.3%,6149000,-35409900 ( -85.2% ),682,-4189 ( -86.0% ),1947346978,212056,16
2018-06-07,17,0.4%,24,0.1%,3305,0.1%,7.8%,2164400,-3984600 ( -64.8% ),259,-423 ( -62.0% ),1949511378,212315,25
2018-06-08,16,0.3%,22,0.1%,2950,0.1%,8.4%,2387300,222900 ( 10.3% ),248,-11 ( -4.2% ),1951898678,212563,26
2018-06-09,16,0.3%,21,0.1%,2764,0.1%,13.7%,3457000,1069700 ( 44.8% ),379,131 ( 52.8% ),1955355678,212942,21
2018-06-10,16,0.3%,20,0.1%,2714,0.1%,13.6%,3323500,-133500 ( -3.9% ),370,-9 ( -2.4% ),1958679178,213312,24
2018-06-11,16,0.3%,22,0.1%,2734,0.1%,5.6%,1259800,-2063700 ( -62.1% ),152,-218 ( -58.9% ),1959938978,213464,30
2018-06-12,13,0.3%,19,0.1%,2534,0.1%,8.0%,1707300,447500 ( 35.5% ),202,50 ( 32.9% ),1961646278,213666,30
2018-06-13,3,0.1%,4,0%,348,0.0%,27.0%,828500,-878800 ( -51.5% ),94,-108 ( -53.5% ),1962474778,213760,40
2018-06-14,1,0.0%,1,0%,93,0.0%,15.1%,102000,-726500 ( -87.7% ),14,-80 ( -85.1% ),1962576778,213774,77
2018-06-15,3,0.1%,3,0%,276,0.0%,40.9%,890000,788000 ( 772.5% ),113,99 ( 707.1% ),1963466778,213887,35
2018-06-16,1,0.0%,2,0%,186,0.0%,18.3%,357000,-533000 ( -59.9% ),34,-79 ( -69.9% ),1963823778,213921,62
2018-06-17,1,0.0%,1,0%,93,0.0%,18.3%,136000,-221000 ( -61.9% ),17,-17 ( -50.0% ),1963959778,213938,67
2018-06-18,2,0.0%,2,0%,190,0.0%,4.2%,61500,-74500 ( -54.8% ),8,-9 ( -52.9% ),1964021278,213946,67
2018-06-19,2,0.0%,2,0%,190,0.0%,8.4%,122000,60500 ( 98.4% ),16,8 ( 100.0% ),1964143278,213962,70
2018-06-20,1,0.0%,1,0%,93,0.0%,19.4%,133500,11500 ( 9.4% ),18,2 ( 12.5% ),1964276778,213980,64
