날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-03-14,2,0.0%,4,0%,612,0.0%,100.0%,4348000,4348000 ( 100.0% ),612,612 ( 100.0% ),4348000,612,19
2016-04-04,5,0.1%,5,0%,1100,0.1%,100.0%,8800000,8800000 ( 100.0% ),1100,1100 ( 100.0% ),13148000,1712,14
2016-04-06,19,0.4%,19,0.1%,3565,0.2%,71.0%,20240000,20240000 ( 100.0% ),2530,2530 ( 100.0% ),33388000,4242,6
2016-04-07,2,0.0%,2,0%,491,0.0%,86.2%,2729000,-17511000 ( -86.5% ),423,-2107 ( -83.3% ),36117000,4665,25
2016-04-08,2,0.0%,2,0%,492,0.0%,100.0%,3936000,1207000 ( 44.2% ),492,69 ( 16.3% ),40053000,5157,21
2016-04-11,8,0.2%,8,0.1%,2160,0.1%,100.0%,17280000,17280000 ( 100.0% ),2160,2160 ( 100.0% ),57333000,7317,11
2016-04-12,2,0.0%,2,0%,524,0.0%,100.0%,4192000,-13088000 ( -75.7% ),524,-1636 ( -75.7% ),61525000,7841,22
2016-04-13,557,10.3%,2525,15.1%,442070,15.9%,16.8%,589150300,584958300 ( 13954.2% ),74087,73563 ( 14038.7% ),650675300,81928,5
2016-04-14,546,12.4%,2428,16.3%,426204,16.9%,6.6%,199472749,-389677551 ( -66.1% ),27923,-46164 ( -62.3% ),850148049,109851,3
2016-04-15,556,12.0%,2536,16.2%,441331,16.7%,6.5%,225645374,26172625 ( 13.1% ),28624,701 ( 2.5% ),1075793423,138475,4
2016-04-16,572,11.0%,2482,14.5%,408229,14.4%,12.8%,423214384,197569010 ( 87.6% ),52177,23553 ( 82.3% ),1499007807,190652,5
2016-04-17,546,10.7%,2417,14.5%,396712,14.3%,13.3%,424191800,977416 ( 0.2% ),52752,575 ( 1.1% ),1923199607,243404,5
2016-04-18,529,12.1%,2297,15.8%,377418,15.3%,5.8%,157461100,-266730700 ( -62.9% ),21705,-31047 ( -58.9% ),2080660707,265109,3
2016-04-19,543,12.1%,2269,15.7%,369595,15.2%,5.7%,152196000,-5265100 ( -3.3% ),20954,-751 ( -3.5% ),2232856707,286063,2
2016-04-20,496,10.0%,1864,12.4%,289122,11.4%,6.2%,128327900,-23868100 ( -15.7% ),17810,-3144 ( -15.0% ),2361184607,303873,3
2016-04-21,420,8.9%,1575,10%,224703,8.5%,8.3%,134709700,6381800 ( 5.0% ),18627,817 ( 4.6% ),2495894307,322500,4
2016-04-22,431,9.0%,1654,10.3%,235911,8.7%,8.4%,160763433,26053733 ( 19.3% ),19917,1290 ( 6.9% ),2656657740,342417,4
2016-04-23,439,8.4%,1652,9.5%,240241,8.3%,13.4%,266800019,106036586 ( 66.0% ),32149,12232 ( 61.4% ),2923457759,374566,5
2016-04-24,442,8.5%,1609,9.6%,232639,8.3%,12.2%,236039100,-30760919 ( -11.5% ),28413,-3736 ( -11.6% ),3159496859,402979,5
2016-04-25,412,9.1%,1531,10.4%,223046,9.0%,5.3%,86650100,-149389000 ( -63.3% ),11811,-16602 ( -58.4% ),3246146959,414790,4
2016-04-26,420,9.0%,1561,10.6%,227357,9.1%,5.7%,94003800,7353700 ( 8.5% ),12852,1041 ( 8.8% ),3340150759,427642,4
2016-04-27,229,5.0%,463,3.2%,58514,2.5%,14.6%,51802300,-42201500 ( -44.9% ),8572,-4280 ( -33.3% ),3391953059,436214,5
2016-04-28,227,5.0%,466,3.2%,58600,2.5%,9.5%,39682400,-12119900 ( -23.4% ),5572,-3000 ( -35.0% ),3431635459,441786,5
2016-04-29,225,4.9%,455,3.1%,56907,2.4%,10.8%,47005000,7322600 ( 18.5% ),6128,556 ( 10.0% ),3478640459,447914,5
2016-04-30,190,4.1%,335,2.2%,40727,1.6%,17.5%,60468000,13463000 ( 28.6% ),7147,1019 ( 16.6% ),3539108459,455061,5
2016-05-01,200,4.4%,325,2.2%,39187,1.6%,14.3%,47584400,-12883600 ( -21.3% ),5608,-1539 ( -21.5% ),3586692859,460669,6
2016-05-02,226,5.1%,430,3.1%,55015,2.4%,7.2%,28738800,-18845600 ( -39.6% ),3955,-1653 ( -29.5% ),3615431659,464624,5
2016-05-03,232,5.1%,443,3.1%,55955,2.4%,9.4%,37925800,9187000 ( 32.0% ),5278,1323 ( 33.5% ),3653357459,469902,5
2016-05-04,77,1.6%,135,0.9%,16496,0.7%,10.4%,11902500,-26023300 ( -68.6% ),1719,-3559 ( -67.4% ),3665259959,471621,12
2016-05-05,50,0.9%,75,0.5%,9621,0.4%,16.5%,14448800,2546300 ( 21.4% ),1590,-129 ( -7.5% ),3679708759,473211,14
2016-05-06,55,1.1%,87,0.5%,11607,0.4%,16.4%,16652900,2204100 ( 15.3% ),1902,312 ( 19.6% ),3696361659,475113,14
2016-05-07,54,1.0%,86,0.5%,11024,0.4%,11.7%,11276400,-5376500 ( -32.3% ),1287,-615 ( -32.3% ),3707638059,476400,13
2016-05-08,60,1.2%,90,0.6%,11595,0.5%,10.7%,10774700,-501700 ( -4.4% ),1236,-51 ( -4.0% ),3718412759,477636,13
2016-05-09,83,1.9%,137,1%,17975,0.8%,7.2%,8349400,-2425300 ( -22.5% ),1299,63 ( 5.1% ),3726762159,478935,10
2016-05-10,84,2.0%,139,1%,17525,0.8%,6.4%,7925600,-423800 ( -5.1% ),1121,-178 ( -13.7% ),3734687759,480056,12
2016-05-11,72,1.4%,111,0.8%,16439,0.8%,4.5%,4853500,-3072100 ( -38.8% ),733,-388 ( -34.6% ),3739541259,480789,17
2016-05-12,23,0.5%,28,0.2%,3819,0.2%,24.7%,4844000,-9500 ( -0.2% ),945,212 ( 28.9% ),3744385259,481734,9
2016-05-13,12,0.3%,15,0.1%,1918,0.1%,14.1%,1551000,-3293000 ( -68.0% ),271,-674 ( -71.3% ),3745936259,482005,25
2016-05-14,3,0.1%,3,0%,400,0.0%,6.3%,217500,-1333500 ( -86.0% ),25,-246 ( -90.8% ),3746153759,482030,63
2016-05-15,3,0.1%,3,0%,412,0.0%,11.2%,410000,192500 ( 88.5% ),46,21 ( 84.0% ),3746563759,482076,51
2016-05-16,9,0.2%,10,0.1%,1612,0.1%,30.6%,2134500,1724500 ( 420.6% ),493,447 ( 971.7% ),3748698259,482569,15
2016-05-17,10,0.2%,13,0.1%,1812,0.1%,6.6%,772500,-1362000 ( -63.8% ),119,-374 ( -75.9% ),3749470759,482688,45
2016-05-18,8,0.2%,11,0.1%,1526,0.1%,29.6%,3163000,2390500 ( 309.4% ),451,332 ( 279.0% ),3752633759,483139,18
2016-05-19,6,0.1%,6,0%,1057,0.0%,89.5%,5302000,2139000 ( 67.6% ),946,495 ( 109.8% ),3757935759,484085,15
2016-05-20,3,0.1%,3,0%,655,0.0%,99.2%,3230000,-2072000 ( -39.1% ),650,-296 ( -31.3% ),3761165759,484735,14
2016-05-23,1,0.0%,1,0%,208,0.0%,100.0%,1456000,1456000 ( 100.0% ),208,208 ( 100.0% ),3762621759,484943,28
2016-05-24,2,0.0%,2,0%,122,0.0%,51.6%,315000,-1141000 ( -78.4% ),63,-145 ( -69.7% ),3762936759,485006,47
2016-05-25,3,0.1%,3,0%,525,0.0%,43.4%,1556000,1241000 ( 394.0% ),228,165 ( 261.9% ),3764492759,485234,33
2016-05-26,1,0.0%,1,0%,102,0.0%,0.0%,0,-1556000 ( -100.0% ),0,-228 ( -100.0% ),3764492759,485234,92
2016-05-30,1,0.0%,1,0%,325,0.0%,100.0%,2600000,2600000 ( 100.0% ),325,325 ( 100.0% ),3767092759,485559,26
2016-06-09,1,0.0%,1,0%,156,0.0%,70.5%,900000,900000 ( 100.0% ),110,110 ( 100.0% ),3767992759,485669,39
2016-06-18,1,0.0%,1,0%,133,0.0%,19.5%,208000,208000 ( 100.0% ),26,26 ( 100.0% ),3768200759,485695,77
2016-08-19,1,0.0%,1,0%,100,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),3768200759,485695,99
