날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-24,5,0.1%,5,0%,1409,0.1%,98.4%,12433000,12433000 ( 100.0% ),1387,1387 ( 100.0% ),12433000,1387,16
2018-07-25,42,0.7%,46,0.3%,5956,0.2%,21.3%,10477900,-1955100 ( -15.7% ),1267,-120 ( -8.7% ),22910900,2654,10
2018-07-26,55,1.0%,60,0.3%,7174,0.3%,6.5%,2992700,-7485200 ( -71.4% ),465,-802 ( -63.3% ),25903600,3119,19
2018-07-27,56,1.0%,59,0.3%,7009,0.3%,4.4%,2551800,-440900 ( -14.7% ),307,-158 ( -34.0% ),28455400,3426,19
2018-07-28,58,1.0%,61,0.3%,7462,0.3%,5.9%,3384200,832400 ( 32.6% ),441,134 ( 43.6% ),31839600,3867,20
2018-07-29,63,1.1%,64,0.3%,8498,0.3%,6.7%,4262500,878300 ( 26.0% ),567,126 ( 28.6% ),36102100,4434,14
2018-07-30,54,1.0%,56,0.3%,7316,0.3%,7.7%,3662200,-600300 ( -14.1% ),561,-6 ( -1.1% ),39764300,4995,15
2018-07-31,65,1.1%,68,0.4%,9330,0.3%,5.5%,3579500,-82700 ( -2.3% ),509,-52 ( -9.3% ),43343800,5504,19
2018-08-01,3,0.1%,3,0%,368,0.0%,7.6%,189000,-3390500 ( -94.7% ),28,-481 ( -94.5% ),43532800,5532,57
2018-08-02,2,0.0%,3,0%,939,0.0%,2.1%,135000,-54000 ( -28.6% ),20,-8 ( -28.6% ),43667800,5552,61
2018-08-03,1,0.0%,1,0%,167,0.0%,13.8%,158000,23000 ( 17.0% ),23,3 ( 15.0% ),43825800,5575,58
2018-08-04,1,0.0%,2,0%,772,0.0%,1.8%,88000,-70000 ( -44.3% ),14,-9 ( -39.1% ),43913800,5589,60
2018-08-05,1,0.0%,2,0%,772,0.0%,0.9%,44000,-44000 ( -50.0% ),7,-7 ( -50.0% ),43957800,5596,64
2018-08-06,3,0.1%,3,0%,378,0.0%,31.7%,744000,700000 ( 1590.9% ),120,113 ( 1614.3% ),44701800,5716,29
2018-08-07,3,0.1%,3,0%,612,0.0%,2.3%,87000,-657000 ( -88.3% ),14,-106 ( -88.3% ),44788800,5730,63
2018-08-11,1,0.0%,1,0%,386,0.0%,0.8%,19000,19000 ( 100.0% ),3,3 ( 100.0% ),44807800,5733,77
2018-08-12,1,0.0%,1,0%,386,0.0%,2.1%,48000,29000 ( 152.6% ),8,5 ( 166.7% ),44855800,5741,70
2018-08-22,1,0.0%,1,0%,114,0.0%,43.9%,300000,300000 ( 100.0% ),50,50 ( 100.0% ),45155800,5791,52
2018-08-30,1,0.0%,1,0%,194,0.0%,38.7%,450000,450000 ( 100.0% ),75,75 ( 100.0% ),45605800,5866,50
2018-08-31,1,0.0%,1,0%,106,0.0%,47.2%,300000,-150000 ( -33.3% ),50,-25 ( -33.3% ),45905800,5916,65
