날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-08,1,0.0%,1,0%,247,0.0%,100.0%,2223000,2223000 ( 100.0% ),247,247 ( 100.0% ),2223000,247,27
2018-03-12,5,0.1%,5,0%,688,0.0%,100.0%,6340000,6340000 ( 100.0% ),688,688 ( 100.0% ),8563000,935,20
2018-03-13,4,0.1%,4,0%,475,0.0%,62.5%,1854000,-4486000 ( -70.8% ),297,-391 ( -56.8% ),10417000,1232,25
2018-03-14,462,8.9%,1774,10.3%,246202,8.9%,7.7%,144418300,142564300 ( 7689.6% ),18997,18700 ( 6296.3% ),154835300,20229,5
2018-03-15,485,8.8%,1768,10.4%,243683,8.9%,8.0%,147168300,2750000 ( 1.9% ),19532,535 ( 2.8% ),302003600,39761,3
2018-03-16,494,8.9%,1763,10%,238928,8.5%,9.9%,199204375,52036075 ( 35.4% ),23719,4187 ( 21.4% ),501207975,63480,4
2018-03-17,518,8.3%,1784,9.5%,241220,8.1%,21.0%,428200073,228995698 ( 115.0% ),50752,27033 ( 114.0% ),929408048,114232,4
2018-03-18,544,8.8%,1762,9.7%,239041,8.3%,18.8%,378843500,-49356573 ( -11.5% ),44909,-5843 ( -11.5% ),1308251548,159141,4
2018-03-19,486,9.1%,1683,10.3%,243229,9.2%,5.8%,105249600,-273593900 ( -72.2% ),14096,-30813 ( -68.6% ),1413501148,173237,4
2018-03-20,477,8.8%,1623,10.1%,235810,9.1%,4.9%,87502400,-17747200 ( -16.9% ),11652,-2444 ( -17.3% ),1501003548,184889,4
2018-03-21,360,7.1%,823,5.1%,115296,4.5%,5.0%,41993500,-45508900 ( -52.0% ),5750,-5902 ( -50.7% ),1542997048,190639,5
2018-03-22,290,5.5%,601,3.6%,83590,3.1%,4.2%,26419100,-15574400 ( -37.1% ),3534,-2216 ( -38.5% ),1569416148,194173,8
2018-03-23,286,5.2%,615,3.5%,85226,3.0%,4.3%,29605300,3186200 ( 12.1% ),3676,142 ( 4.0% ),1599021448,197849,9
2018-03-24,284,4.6%,536,2.8%,68016,2.3%,8.7%,48223100,18617800 ( 62.9% ),5929,2253 ( 61.3% ),1647244548,203778,11
2018-03-25,275,4.6%,493,2.7%,62705,2.2%,8.7%,44283800,-3939300 ( -8.2% ),5447,-482 ( -8.1% ),1691528348,209225,11
2018-03-26,255,4.9%,473,2.9%,64201,2.4%,3.0%,13639600,-30644200 ( -69.2% ),1956,-3491 ( -64.1% ),1705167948,211181,10
