날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-11,2,0.0%,2,0%,498,0.0%,100.0%,3984000,3984000 ( 100.0% ),498,498 ( 100.0% ),3984000,498,23
2016-04-13,518,9.6%,2366,14.2%,436530,15.7%,25.6%,891386900,891386900 ( 100.0% ),111569,111569 ( 100.0% ),895370900,112067,3
2016-04-14,476,10.8%,2231,15%,421763,16.7%,5.2%,165636300,-725750600 ( -81.4% ),22055,-89514 ( -80.2% ),1061007200,134122,4
2016-04-15,495,10.7%,2314,14.8%,438337,16.6%,7.2%,254872474,89236174 ( 53.9% ),31482,9427 ( 42.7% ),1315879674,165604,3
2016-04-16,557,10.7%,2543,14.9%,479017,16.9%,14.9%,589103584,334231110 ( 131.1% ),71383,39901 ( 126.7% ),1904983258,236987,4
2016-04-17,553,10.8%,2464,14.8%,461667,16.6%,14.5%,548541200,-40562384 ( -6.9% ),66980,-4403 ( -6.2% ),2453524458,303967,4
2016-04-18,471,10.8%,2065,14.2%,401406,16.3%,3.9%,119452000,-429089200 ( -78.2% ),15807,-51173 ( -76.4% ),2572976458,319774,4
2016-04-19,483,10.8%,2028,14.1%,397306,16.3%,3.8%,111530200,-7921800 ( -6.6% ),14936,-871 ( -5.5% ),2684506658,334710,4
2016-04-20,440,8.8%,1605,10.7%,318712,12.6%,3.6%,82655900,-28874300 ( -25.9% ),11317,-3619 ( -24.2% ),2767162558,346027,6
2016-04-21,372,7.9%,1323,8.4%,247387,9.4%,4.2%,76678400,-5977500 ( -7.2% ),10311,-1006 ( -8.9% ),2843840958,356338,6
2016-04-22,400,8.4%,1372,8.5%,259081,9.6%,5.9%,123622367,46943967 ( 61.2% ),15182,4871 ( 47.2% ),2967463325,371520,6
2016-04-23,405,7.8%,1435,8.3%,252389,8.7%,11.4%,235187081,111564714 ( 90.2% ),28738,13556 ( 89.3% ),3202650406,400258,6
2016-04-24,408,7.9%,1372,8.2%,242341,8.6%,10.7%,211950600,-23236481 ( -9.9% ),26045,-2693 ( -9.4% ),3414601006,426303,6
2016-04-25,374,8.3%,1189,8.1%,222894,9.0%,3.0%,50552300,-161398300 ( -76.1% ),6727,-19318 ( -74.2% ),3465153306,433030,6
2016-04-26,377,8.1%,1161,7.9%,216775,8.7%,2.9%,46529900,-4022400 ( -8.0% ),6327,-400 ( -5.9% ),3511683206,439357,6
2016-04-27,32,0.7%,42,0.3%,4490,0.2%,5.6%,1801000,-44728900 ( -96.1% ),253,-6074 ( -96.0% ),3513484206,439610,28
2016-04-28,25,0.6%,34,0.2%,3572,0.2%,4.5%,1179500,-621500 ( -34.5% ),159,-94 ( -37.2% ),3514663706,439769,35
2016-04-29,25,0.5%,39,0.3%,4193,0.2%,7.6%,2351500,1172000 ( 99.4% ),319,160 ( 100.6% ),3517015206,440088,27
2016-04-30,20,0.4%,28,0.2%,3185,0.1%,11.7%,2843000,491500 ( 20.9% ),372,53 ( 16.6% ),3519858206,440460,23
2016-05-01,18,0.4%,28,0.2%,3078,0.1%,9.1%,2062000,-781000 ( -27.5% ),279,-93 ( -25.0% ),3521920206,440739,23
2016-05-02,24,0.5%,29,0.2%,3028,0.1%,4.8%,1064000,-998000 ( -48.4% ),144,-135 ( -48.4% ),3522984206,440883,30
2016-05-03,27,0.6%,34,0.2%,3203,0.1%,6.9%,1667500,603500 ( 56.7% ),220,76 ( 52.8% ),3524651706,441103,27
2016-05-04,1,0.0%,1,0%,93,0.0%,1.1%,8000,-1659500 ( -99.5% ),1,-219 ( -99.5% ),3524659706,441104,86
2016-05-11,6,0.1%,6,0%,1037,0.0%,26.9%,1396000,1396000 ( 100.0% ),279,279 ( 100.0% ),3526055706,441383,26
2016-05-12,6,0.1%,6,0%,943,0.0%,29.3%,1381000,-15000 ( -1.1% ),276,-3 ( -1.1% ),3527436706,441659,25
2016-05-13,6,0.1%,6,0%,943,0.0%,29.7%,1416000,35000 ( 2.5% ),280,4 ( 1.4% ),3528852706,441939,22
2016-05-14,6,0.1%,6,0%,977,0.0%,29.2%,1439000,23000 ( 1.6% ),285,5 ( 1.8% ),3530291706,442224,25
2016-05-15,6,0.1%,6,0%,977,0.0%,29.5%,1464000,25000 ( 1.7% ),288,3 ( 1.1% ),3531755706,442512,25
2016-05-16,6,0.1%,6,0%,939,0.0%,29.4%,1381000,-83000 ( -5.7% ),276,-12 ( -4.2% ),3533136706,442788,18
2016-05-17,6,0.1%,6,0%,943,0.0%,29.4%,1386000,5000 ( 0.4% ),277,1 ( 0.4% ),3534522706,443065,26
2016-05-18,6,0.1%,6,0%,943,0.0%,29.8%,1420000,34000 ( 2.5% ),281,4 ( 1.4% ),3535942706,443346,27
2016-05-19,6,0.1%,6,0%,923,0.0%,30.0%,1387000,-33000 ( -2.3% ),277,-4 ( -1.4% ),3537329706,443623,24
2016-05-20,6,0.1%,6,0%,923,0.0%,30.1%,1390000,3000 ( 0.2% ),278,1 ( 0.4% ),3538719706,443901,23
2016-05-21,6,0.1%,6,0%,1038,0.0%,26.7%,1385000,-5000 ( -0.4% ),277,-1 ( -0.4% ),3540104706,444178,30
2016-05-22,6,0.1%,6,0%,1038,0.0%,26.8%,1393000,8000 ( 0.6% ),278,1 ( 0.4% ),3541497706,444456,26
2016-05-23,6,0.1%,6,0%,923,0.0%,30.1%,1390000,-3000 ( -0.2% ),278,0 ( 0.0% ),3542887706,444734,22
2016-05-24,6,0.1%,6,0%,923,0.0%,29.8%,1375000,-15000 ( -1.1% ),275,-3 ( -1.1% ),3544262706,445009,28
