날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-09-04,1,0.0%,1,0%,414,0.0%,98.1%,3654000,3654000 ( 100.0% ),406,406 ( 100.0% ),3654000,406,21
2018-09-10,17,0.3%,18,0.1%,4865,0.2%,95.5%,41606000,41606000 ( 100.0% ),4646,4646 ( 100.0% ),45260000,5052,8
2018-09-13,23,0.4%,23,0.1%,4971,0.2%,100.0%,41151000,41151000 ( 100.0% ),4971,4971 ( 100.0% ),86411000,10023,7
2018-09-14,6,0.1%,6,0%,1461,0.0%,100.0%,14422000,-26729000 ( -65.0% ),1461,-3510 ( -70.6% ),100833000,11484,11
2018-09-17,27,0.5%,27,0.2%,5547,0.2%,99.0%,46243000,46243000 ( 100.0% ),5492,5492 ( 100.0% ),147076000,16976,6
2018-09-18,50,1.0%,50,0.3%,10572,0.4%,71.9%,64281800,18038800 ( 39.0% ),7601,2109 ( 38.4% ),211357800,24577,5
2018-09-19,898,17.7%,3889,21.2%,609384,21.0%,13.3%,646188400,581906600 ( 905.2% ),81031,73430 ( 966.1% ),857546200,105608,4
2018-09-20,883,15.7%,3746,20.3%,587898,20.2%,11.5%,548431300,-97757100 ( -15.1% ),67737,-13294 ( -16.4% ),1405977500,173345,4
2018-09-21,868,15.5%,3794,19.8%,583436,19.4%,17.1%,888359079,339927779 ( 62.0% ),99740,32003 ( 47.2% ),2294336579,273085,4
2018-09-22,869,13.6%,3715,18%,552154,17.1%,31.2%,1560221980,671862901 ( 75.6% ),172357,72617 ( 72.8% ),3854558559,445442,3
2018-09-23,872,13.7%,3603,17.7%,534591,16.8%,32.4%,1592119200,31897220 ( 2.0% ),173105,748 ( 0.4% ),5446677759,618547,3
2018-09-24,896,14.5%,3557,17.8%,511373,16.4%,44.7%,2104405650,512286450 ( 32.2% ),228598,55493 ( 32.1% ),7551083409,847145,3
2018-09-25,919,14.3%,3651,17.8%,516220,16.2%,50.0%,2323130100,218724450 ( 10.4% ),257940,29342 ( 12.8% ),9874213509,1105085,3
2018-09-26,838,13.8%,3278,16.4%,453832,14.6%,45.8%,1500322700,-822807400 ( -35.4% ),207661,-50279 ( -19.5% ),11374536209,1312746,3
2018-09-27,776,14.8%,3284,17.8%,457047,15.8%,13.7%,505686500,-994636200 ( -66.3% ),62393,-145268 ( -70.0% ),11880222709,1375139,2
2018-09-28,798,15.0%,3369,18.1%,468532,16.0%,15.6%,648184615,142498115 ( 28.2% ),72975,10582 ( 17.0% ),12528407324,1448114,2
2018-09-29,904,15.6%,3711,19%,527034,17.3%,28.7%,1374032192,725847577 ( 112.0% ),151512,78537 ( 107.6% ),13902439516,1599626,2
2018-09-30,913,15.9%,3721,19.5%,528537,17.7%,27.3%,1303932600,-70099592 ( -5.1% ),144316,-7196 ( -4.7% ),15206372116,1743942,2
2018-10-01,834,17.4%,3648,21.2%,527714,19.5%,9.3%,394507200,-909425400 ( -69.7% ),49057,-95259 ( -66.0% ),15600879316,1792999,2
2018-10-02,867,17.1%,3723,21%,535491,19.2%,10.3%,447897850,53390650 ( 13.5% ),55116,6059 ( 12.4% ),16048777166,1848115,2
