날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-01,3,0.1%,3,0%,665,0.0%,100.0%,5350000,5350000 ( 100.0% ),665,665 ( 100.0% ),5350000,665,20
2016-12-07,1,0.0%,2,0%,192,0.0%,8.3%,105000,105000 ( 100.0% ),16,16 ( 100.0% ),5455000,681,91
2016-12-08,61,1.2%,91,0.6%,10164,0.4%,8.5%,5678000,5573000 ( 5307.6% ),862,846 ( 5287.5% ),11133000,1543,14
2016-12-09,61,1.2%,88,0.5%,10007,0.4%,7.9%,5412500,-265500 ( -4.7% ),793,-69 ( -8.0% ),16545500,2336,11
2016-12-10,81,1.5%,126,0.7%,14548,0.5%,22.6%,23909000,18496500 ( 341.7% ),3294,2501 ( 315.4% ),40454500,5630,9
2016-12-11,76,1.4%,120,0.7%,13583,0.5%,26.1%,25411500,1502500 ( 6.3% ),3549,255 ( 7.7% ),65866000,9179,10
2016-12-12,49,1.0%,63,0.4%,7019,0.3%,4.6%,2137500,-23274000 ( -91.6% ),322,-3227 ( -90.9% ),68003500,9501,17
2016-12-13,53,1.0%,79,0.5%,8508,0.3%,5.2%,2919000,781500 ( 36.6% ),444,122 ( 37.9% ),70922500,9945,19
2016-12-14,29,0.6%,44,0.3%,4900,0.2%,10.2%,3004000,85000 ( 2.9% ),498,54 ( 12.2% ),73926500,10443,16
2016-12-15,10,0.2%,16,0.1%,1497,0.1%,11.0%,1016000,-1988000 ( -66.2% ),165,-333 ( -66.9% ),74942500,10608,38
2016-12-16,18,0.3%,21,0.1%,2349,0.1%,16.0%,2032500,1016500 ( 100.0% ),376,211 ( 127.9% ),76975000,10984,21
2016-12-17,50,0.8%,75,0.4%,8865,0.3%,15.9%,10303000,8270500 ( 406.9% ),1408,1032 ( 274.5% ),87278000,12392,16
2016-12-18,58,1.0%,84,0.5%,10340,0.4%,15.5%,11731000,1428000 ( 13.9% ),1601,193 ( 13.7% ),99009000,13993,16
2016-12-19,8,0.2%,13,0.1%,1416,0.1%,3.2%,303000,-11428000 ( -97.4% ),45,-1556 ( -97.2% ),99312000,14038,53
2016-12-20,8,0.2%,13,0.1%,1436,0.1%,5.6%,517000,214000 ( 70.6% ),81,36 ( 80.0% ),99829000,14119,51
2016-12-21,5,0.1%,6,0%,589,0.0%,3.1%,126000,-391000 ( -75.6% ),18,-63 ( -77.8% ),99955000,14137,75
2016-12-22,4,0.1%,4,0%,381,0.0%,3.4%,71000,-55000 ( -43.7% ),13,-5 ( -27.8% ),100026000,14150,68
2016-12-23,4,0.1%,5,0%,540,0.0%,4.1%,123000,52000 ( 73.2% ),22,9 ( 69.2% ),100149000,14172,59
2016-12-24,19,0.3%,21,0.1%,2706,0.1%,20.2%,3990000,3867000 ( 3143.9% ),547,525 ( 2386.4% ),104139000,14719,22
2016-12-25,18,0.3%,20,0.1%,2405,0.1%,23.7%,4022000,32000 ( 0.8% ),571,24 ( 4.4% ),108161000,15290,22
2016-12-26,6,0.1%,7,0%,850,0.0%,10.9%,539000,-3483000 ( -86.6% ),93,-478 ( -83.7% ),108700000,15383,39
2016-12-27,7,0.1%,7,0%,752,0.0%,21.1%,996000,457000 ( 84.8% ),159,66 ( 71.0% ),109696000,15542,33
2016-12-28,1,0.0%,1,0%,113,0.0%,8.0%,59000,-937000 ( -94.1% ),9,-150 ( -94.3% ),109755000,15551,70
2016-12-29,1,0.0%,1,0%,84,0.0%,16.7%,108000,49000 ( 83.1% ),14,5 ( 55.6% ),109863000,15565,68
