날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-31,1,0.0%,3,0%,1296,0.0%,75.0%,3888000,3888000 ( 100.0% ),972,972 ( 100.0% ),3888000,972,15
2018-06-06,114,2.2%,163,0.9%,17718,0.6%,22.3%,28765500,28765500 ( 100.0% ),3952,3952 ( 100.0% ),32653500,4924,10
2018-06-07,46,0.9%,58,0.3%,5630,0.2%,3.6%,1281500,-27484000 ( -95.5% ),203,-3749 ( -94.9% ),33935000,5127,28
2018-06-08,49,1.0%,63,0.4%,6387,0.2%,5.4%,2282500,1001000 ( 78.1% ),343,140 ( 69.0% ),36217500,5470,22
2018-06-09,106,2.0%,135,0.7%,14448,0.5%,12.5%,13171000,10888500 ( 477.0% ),1799,1456 ( 424.5% ),49388500,7269,11
2018-06-10,100,1.9%,125,0.7%,13226,0.5%,14.7%,14131500,960500 ( 7.3% ),1947,148 ( 8.2% ),63520000,9216,10
2018-06-11,49,1.1%,60,0.4%,5992,0.2%,4.0%,1523000,-12608500 ( -89.2% ),239,-1708 ( -87.7% ),65043000,9455,22
2018-06-12,44,0.9%,52,0.3%,5540,0.2%,3.0%,1070000,-453000 ( -29.7% ),167,-72 ( -30.1% ),66113000,9622,32
2018-06-13,54,1.1%,68,0.4%,7376,0.3%,20.7%,10992500,9922500 ( 927.3% ),1527,1360 ( 814.4% ),77105500,11149,13
2018-06-14,7,0.2%,13,0.1%,920,0.0%,7.5%,480000,-10512500 ( -95.6% ),69,-1458 ( -95.5% ),77585500,11218,45
2018-06-15,14,0.3%,20,0.1%,1676,0.1%,8.7%,945000,465000 ( 96.9% ),145,76 ( 110.1% ),78530500,11363,30
2018-06-16,60,1.2%,71,0.4%,7982,0.3%,11.6%,6789000,5844000 ( 618.4% ),924,779 ( 537.2% ),85319500,12287,14
2018-06-17,56,1.1%,67,0.4%,7323,0.3%,13.8%,7449000,660000 ( 9.7% ),1014,90 ( 9.7% ),92768500,13301,14
2018-06-18,7,0.2%,11,0.1%,639,0.0%,5.5%,239000,-7210000 ( -96.8% ),35,-979 ( -96.5% ),93007500,13336,52
2018-06-19,14,0.3%,19,0.1%,1763,0.1%,4.4%,468000,229000 ( 95.8% ),78,43 ( 122.9% ),93475500,13414,43
2018-06-20,9,0.2%,16,0.1%,1377,0.1%,5.2%,487000,19000 ( 4.1% ),72,-6 ( -7.7% ),93962500,13486,41
2018-06-21,4,0.1%,8,0%,409,0.0%,7.6%,186000,-301000 ( -61.8% ),31,-41 ( -56.9% ),94148500,13517,54
2018-06-22,8,0.1%,11,0.1%,951,0.0%,7.7%,508000,322000 ( 173.1% ),73,42 ( 135.5% ),94656500,13590,45
2018-06-23,32,0.5%,40,0.2%,4017,0.1%,14.4%,4376000,3868000 ( 761.4% ),578,505 ( 691.8% ),99032500,14168,25
2018-06-24,32,0.5%,42,0.2%,4418,0.2%,15.2%,5023500,647500 ( 14.8% ),670,92 ( 15.9% ),104056000,14838,21
2018-06-25,8,0.2%,13,0.1%,1015,0.0%,4.6%,311000,-4712500 ( -93.8% ),47,-623 ( -93.0% ),104367000,14885,52
2018-06-26,10,0.2%,14,0.1%,1224,0.0%,12.9%,903000,592000 ( 190.4% ),158,111 ( 236.2% ),105270000,15043,36
2018-06-27,4,0.1%,8,0%,381,0.0%,19.9%,408000,-495000 ( -54.8% ),76,-82 ( -51.9% ),105678000,15119,47
2018-06-28,4,0.1%,8,0%,270,0.0%,27.8%,460000,52000 ( 12.7% ),75,-1 ( -1.3% ),106138000,15194,51
2018-06-29,3,0.1%,9,0.1%,291,0.0%,15.1%,336000,-124000 ( -27.0% ),44,-31 ( -41.3% ),106474000,15238,68
2018-06-30,16,0.3%,22,0.1%,2427,0.1%,11.0%,1909500,1573500 ( 468.3% ),267,223 ( 506.8% ),108383500,15505,33
2018-07-01,16,0.3%,21,0.1%,2286,0.1%,12.6%,2098000,188500 ( 9.9% ),287,20 ( 7.5% ),110481500,15792,32
2018-07-02,3,0.1%,5,0%,163,0.0%,14.1%,158000,-1940000 ( -92.5% ),23,-264 ( -92.0% ),110639500,15815,65
2018-07-03,3,0.1%,7,0%,230,0.0%,11.7%,179000,21000 ( 13.3% ),27,4 ( 17.4% ),110818500,15842,76
2018-07-04,3,0.1%,5,0%,162,0.0%,14.2%,151000,-28000 ( -15.6% ),23,-4 ( -14.8% ),110969500,15865,66
