날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-12,1,0.0%,1,0%,186,0.0%,100.0%,1674000,1674000 ( 100.0% ),186,186 ( 100.0% ),1674000,186,35
2018-07-17,1,0.0%,1,0%,262,0.0%,100.0%,2358000,2358000 ( 100.0% ),262,262 ( 100.0% ),4032000,448,26
2018-07-18,465,8.7%,1488,8.3%,186419,6.6%,9.1%,132917700,130559700 ( 5536.9% ),16931,16669 ( 6362.2% ),136949700,17379,6
2018-07-19,451,8.0%,1356,7.6%,171904,6.0%,6.3%,85947100,-46970600 ( -35.3% ),10844,-6087 ( -36.0% ),222896800,28223,6
2018-07-20,448,7.8%,1260,6.8%,157396,5.4%,7.3%,100780000,14832900 ( 17.3% ),11448,604 ( 5.6% ),323676800,39671,6
2018-07-21,448,7.2%,905,4.7%,108294,3.6%,12.3%,117280100,16500100 ( 16.4% ),13326,1878 ( 16.4% ),440956900,52997,6
2018-07-22,445,7.2%,863,4.6%,102704,3.5%,11.6%,106746600,-10533500 ( -9.0% ),11953,-1373 ( -10.3% ),547703500,64950,6
2018-07-23,418,7.5%,908,5.1%,111324,3.9%,5.5%,47348800,-59397800 ( -55.6% ),6113,-5840 ( -48.9% ),595052300,71063,6
2018-07-24,401,7.0%,851,4.8%,106270,3.8%,5.1%,41232800,-6116000 ( -12.9% ),5369,-744 ( -12.2% ),636285100,76432,9
2018-07-25,35,0.6%,40,0.2%,4340,0.2%,4.6%,1247000,-39985800 ( -97.0% ),200,-5169 ( -96.3% ),637532100,76632,34
2018-07-26,28,0.5%,31,0.2%,3122,0.1%,3.5%,792500,-454500 ( -36.4% ),108,-92 ( -46.0% ),638324600,76740,42
2018-07-27,30,0.5%,33,0.2%,3266,0.1%,4.0%,1012500,220000 ( 27.8% ),131,23 ( 21.3% ),639337100,76871,29
2018-07-28,25,0.4%,31,0.2%,3088,0.1%,7.1%,1694000,681500 ( 67.3% ),220,89 ( 67.9% ),641031100,77091,27
2018-07-29,25,0.4%,28,0.2%,2462,0.1%,8.7%,1669000,-25000 ( -1.5% ),213,-7 ( -3.2% ),642700100,77304,23
2018-07-30,23,0.4%,26,0.1%,2690,0.1%,5.4%,1054500,-614500 ( -36.8% ),146,-67 ( -31.5% ),643754600,77450,29
2018-07-31,28,0.5%,33,0.2%,3422,0.1%,6.2%,1478000,423500 ( 40.2% ),212,66 ( 45.2% ),645232600,77662,33
2018-08-01,4,0.1%,4,0%,556,0.0%,3.2%,113500,-1364500 ( -92.3% ),18,-194 ( -91.5% ),645346100,77680,68
2018-08-02,2,0.0%,2,0%,224,0.0%,7.6%,121000,7500 ( 6.6% ),17,-1 ( -5.6% ),645467100,77697,62
2018-08-03,4,0.1%,4,0%,626,0.0%,3.5%,172000,51000 ( 42.1% ),22,5 ( 29.4% ),645639100,77719,60
2018-08-04,2,0.0%,2,0%,244,0.0%,7.8%,120000,-52000 ( -30.2% ),19,-3 ( -13.6% ),645759100,77738,55
2018-08-05,2,0.0%,2,0%,224,0.0%,11.6%,156000,36000 ( 30.0% ),26,7 ( 36.8% ),645915100,77764,48
2018-08-06,2,0.0%,2,0%,275,0.0%,1.8%,33000,-123000 ( -78.8% ),5,-21 ( -80.8% ),645948100,77769,67
2018-08-07,2,0.0%,2,0%,275,0.0%,7.3%,135000,102000 ( 309.1% ),20,15 ( 300.0% ),646083100,77789,55
2018-08-11,1,0.0%,1,0%,77,0.0%,3.9%,26400,26400 ( 100.0% ),3,3 ( 100.0% ),646109500,77792,77
2018-08-17,1,0.0%,1,0%,77,0.0%,1.3%,8800,8800 ( 100.0% ),1,1 ( 100.0% ),646118300,77793,103
2018-08-24,1,0.0%,1,0%,77,0.0%,1.3%,8800,8800 ( 100.0% ),1,1 ( 100.0% ),646127100,77794,125
