날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-31,1,0.0%,1,0%,414,0.0%,98.1%,3248000,3248000 ( 100.0% ),406,406 ( 100.0% ),3248000,406,19
2017-08-04,2,0.0%,2,0%,324,0.0%,87.3%,2840000,2840000 ( 100.0% ),283,283 ( 100.0% ),6088000,689,22
2017-08-07,17,0.3%,17,0.1%,3442,0.1%,65.4%,25312100,25312100 ( 100.0% ),2250,2250 ( 100.0% ),31400100,2939,12
2017-08-08,5,0.1%,5,0%,942,0.0%,92.7%,7372000,-17940100 ( -70.9% ),873,-1377 ( -61.2% ),38772100,3812,17
2017-08-09,4,0.1%,4,0%,1327,0.0%,97.1%,11508000,4136000 ( 56.1% ),1289,416 ( 47.7% ),50280100,5101,13
2017-08-10,1,0.0%,1,0%,206,0.0%,93.2%,1536000,-9972000 ( -86.7% ),192,-1097 ( -85.1% ),51816100,5293,31
2017-08-11,1,0.0%,1,0%,624,0.0%,100.0%,9984000,8448000 ( 550.0% ),624,432 ( 225.0% ),61800100,5917,18
2017-08-14,2,0.0%,2,0%,506,0.0%,100.0%,4554000,4554000 ( 100.0% ),506,506 ( 100.0% ),66354100,6423,18
2017-08-15,1017,17.8%,4683,24.9%,865589,28.5%,65.7%,4728549700,4723995700 ( 103732.9% ),568300,567794 ( 112212.3% ),4794903800,574723,2
2017-08-16,949,17.6%,4512,25%,853376,29.3%,18.7%,1221553900,-3506995800 ( -74.2% ),159615,-408685 ( -71.9% ),6016457700,734338,3
2017-08-17,884,15.7%,4058,21.9%,781853,26.2%,15.7%,946566900,-274987000 ( -22.5% ),123106,-36509 ( -22.9% ),6963024600,857444,3
2017-08-18,896,15.6%,3942,21.1%,760111,25.3%,18.4%,1191903253,245336353 ( 25.9% ),139589,16483 ( 13.4% ),8154927853,997033,3
2017-08-19,835,13.9%,3597,18.7%,656080,21.1%,43.2%,2421038450,1229135197 ( 103.1% ),283205,143616 ( 102.9% ),10575966303,1280238,3
2017-08-20,833,14.0%,3463,18.3%,629779,20.7%,41.4%,2212571700,-208466750 ( -8.6% ),260675,-22530 ( -8.0% ),12788538003,1540913,3
2017-08-21,755,14.2%,3282,18.5%,598436,20.8%,11.9%,552618000,-1659953700 ( -75.0% ),71141,-189534 ( -72.7% ),13341156003,1612054,4
2017-08-22,764,13.8%,3209,18.1%,584725,20.4%,10.4%,470706200,-81911800 ( -14.8% ),61048,-10093 ( -14.2% ),13811862203,1673102,4
2017-08-23,553,9.5%,1707,10%,277888,10.0%,13.2%,280362800,-190343400 ( -40.4% ),36577,-24471 ( -40.1% ),14092225003,1709679,5
2017-08-24,526,8.4%,1609,8.9%,264235,9.1%,13.1%,264016900,-16345900 ( -5.8% ),34575,-2002 ( -5.5% ),14356241903,1744254,5
2017-08-25,518,8.2%,1576,8.6%,254944,8.6%,15.8%,338149326,74132426 ( 28.1% ),40216,5641 ( 16.3% ),14694391229,1784470,5
2017-08-26,525,7.8%,1480,7.7%,218571,7.1%,39.3%,718172949,380023623 ( 112.4% ),85862,45646 ( 113.5% ),15412564178,1870332,5
2017-08-27,507,7.6%,1436,7.7%,214498,7.1%,35.6%,640826200,-77346749 ( -10.8% ),76457,-9405 ( -11.0% ),16053390378,1946789,5
2017-08-28,487,8.3%,1430,8.2%,231165,8.2%,9.2%,163737200,-477089000 ( -74.4% ),21369,-55088 ( -72.1% ),16217127578,1968158,5
2017-08-29,489,8.2%,1423,8.2%,231867,8.3%,8.6%,153309500,-10427700 ( -6.4% ),20027,-1342 ( -6.3% ),16370437078,1988185,5
2017-08-30,242,4.2%,413,2.4%,60685,2.2%,17.9%,65962500,-87347000 ( -57.0% ),10861,-9166 ( -45.8% ),16436399578,1999046,9
2017-08-31,204,3.6%,372,2.2%,54601,2.0%,10.3%,40112000,-25850500 ( -39.2% ),5613,-5248 ( -48.3% ),16476511578,2004659,10
2017-09-01,202,3.5%,369,2.1%,55235,1.9%,11.8%,54176900,14064900 ( 35.1% ),6537,924 ( 16.5% ),16530688478,2011196,9
2017-09-02,210,3.3%,360,1.9%,51935,1.7%,26.2%,113718000,59541100 ( 109.9% ),13597,7060 ( 108.0% ),16644406478,2024793,9
2017-09-03,212,3.3%,351,1.9%,50312,1.7%,24.2%,102194900,-11523100 ( -10.1% ),12154,-1443 ( -10.6% ),16746601378,2036947,9
2017-09-04,189,3.5%,339,2.1%,52962,2.0%,6.0%,23751500,-78443400 ( -76.8% ),3185,-8969 ( -73.8% ),16770352878,2040132,10
