날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-19,1,0.0%,1,0%,238,0.0%,100.0%,1666000,1666000 ( 100.0% ),238,238 ( 100.0% ),1666000,238,32
2016-10-24,3,0.1%,3,0%,651,0.0%,86.6%,4512000,4512000 ( 100.0% ),564,564 ( 100.0% ),6178000,802,23
2016-10-25,3,0.0%,3,0%,648,0.0%,100.0%,5184000,672000 ( 14.9% ),648,84 ( 14.9% ),11362000,1450,21
2016-10-26,421,9.3%,943,5.8%,118636,4.4%,27.7%,205311000,200127000 ( 3860.5% ),32837,32189 ( 4967.4% ),216673000,34287,3
2016-10-27,440,9.8%,1023,6.3%,129314,4.8%,17.9%,176754700,-28556300 ( -13.9% ),23136,-9701 ( -29.5% ),393427700,57423,3
2016-10-28,456,10.0%,1106,6.5%,139541,5.0%,21.4%,246452700,69698000 ( 39.4% ),29867,6731 ( 29.1% ),639880400,87290,3
2016-10-29,490,10.4%,1259,7%,158079,5.4%,33.3%,428638900,182186200 ( 73.9% ),52669,22802 ( 76.3% ),1068519300,139959,3
2016-10-30,498,10.7%,1265,7.3%,159624,5.6%,26.7%,352158200,-76480700 ( -17.8% ),42689,-9980 ( -18.9% ),1420677500,182648,3
2016-10-31,438,10.3%,1165,7.2%,149722,5.6%,9.1%,104435400,-247722800 ( -70.3% ),13552,-29137 ( -68.3% ),1525112900,196200,3
2016-11-01,431,9.9%,1131,7.1%,145319,5.5%,7.7%,86308100,-18127300 ( -17.4% ),11197,-2355 ( -17.4% ),1611421000,207397,3
2016-11-02,412,9.7%,1042,6.6%,133712,5.1%,7.5%,77446800,-8861300 ( -10.3% ),10038,-1159 ( -10.4% ),1688867800,217435,3
2016-11-03,299,6.5%,771,4.8%,99076,3.7%,7.4%,56454100,-20992700 ( -27.1% ),7318,-2720 ( -27.1% ),1745321900,224753,4
2016-11-04,311,6.5%,815,4.9%,103892,3.8%,9.6%,82877313,26423213 ( 46.8% ),9967,2649 ( 36.2% ),1828199213,234720,4
2016-11-05,348,6.6%,909,5.1%,115726,3.9%,18.4%,173672108,90794795 ( 109.6% ),21319,11352 ( 113.9% ),2001871321,256039,3
2016-11-06,354,6.8%,857,4.9%,107279,3.8%,15.8%,140362600,-33309508 ( -19.2% ),16989,-4330 ( -20.3% ),2142233921,273028,4
