날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-10,9,0.2%,9,0.1%,2895,0.1%,100.0%,22902000,22902000 ( 100.0% ),2895,2895 ( 100.0% ),22902000,2895,5
2017-10-12,781,15.3%,3808,22.6%,649943,23.6%,7.6%,359864000,359864000 ( 100.0% ),49100,49100 ( 100.0% ),382766000,51995,2
2017-10-13,770,14.6%,3575,21.1%,600134,21.7%,9.0%,424223571,64359571 ( 17.9% ),53819,4719 ( 9.6% ),806989571,105814,2
2017-10-14,676,11.7%,3070,17%,486608,16.7%,15.2%,609984164,185760593 ( 43.8% ),74141,20322 ( 37.8% ),1416973735,179955,3
2017-10-15,638,11.2%,2818,16%,437300,15.4%,14.1%,509717900,-100266264 ( -16.4% ),61674,-12467 ( -16.8% ),1926691635,241629,3
2017-10-16,613,12.5%,2533,15.9%,369647,14.3%,5.2%,142504600,-367213300 ( -72.0% ),19362,-42312 ( -68.6% ),2069196235,260991,4
2017-10-17,630,12.4%,2456,15.5%,360525,13.9%,6.0%,158104200,15599600 ( 10.9% ),21692,2330 ( 12.0% ),2227300435,282683,3
2017-10-18,606,11.8%,2352,14.8%,340034,13.1%,5.3%,129406600,-28697600 ( -18.2% ),18054,-3638 ( -16.8% ),2356707035,300737,3
2017-10-19,349,6.0%,537,3.2%,66344,2.4%,5.3%,23655100,-105751500 ( -81.7% ),3515,-14539 ( -80.5% ),2380362135,304252,12
2017-10-20,372,6.1%,574,3.3%,70290,2.5%,8.0%,38359500,14704400 ( 62.2% ),5624,2109 ( 60.0% ),2418721635,309876,11
2017-10-21,307,4.8%,463,2.5%,56265,1.9%,7.2%,31015200,-7344300 ( -19.1% ),4071,-1553 ( -27.6% ),2449736835,313947,13
2017-10-22,298,4.7%,446,2.5%,55027,1.9%,6.9%,29634100,-1381100 ( -4.5% ),3798,-273 ( -6.7% ),2479370935,317745,14
2017-10-23,272,4.9%,387,2.4%,48001,1.8%,2.9%,9870400,-19763700 ( -66.7% ),1396,-2402 ( -63.2% ),2489241335,319141,15
2017-10-24,273,4.8%,385,2.3%,48287,1.8%,4.0%,12631500,2761100 ( 28.0% ),1944,548 ( 39.3% ),2501872835,321085,13
2017-10-25,30,0.6%,34,0.2%,3879,0.1%,7.1%,1726000,-10905500 ( -86.3% ),275,-1669 ( -85.9% ),2503598835,321360,26
2017-10-26,18,0.3%,20,0.1%,2044,0.1%,17.3%,1660000,-66000 ( -3.8% ),353,78 ( 28.4% ),2505258835,321713,33
2017-10-27,19,0.4%,20,0.1%,1988,0.1%,13.3%,1581000,-79000 ( -4.8% ),265,-88 ( -24.9% ),2506839835,321978,36
2017-10-28,13,0.2%,13,0.1%,1101,0.0%,8.2%,532500,-1048500 ( -66.3% ),90,-175 ( -66.0% ),2507372335,322068,70
2017-10-29,16,0.3%,17,0.1%,2179,0.1%,6.4%,840500,308000 ( 57.8% ),139,49 ( 54.4% ),2508212835,322207,43
2017-10-30,10,0.2%,14,0.1%,1641,0.1%,9.4%,804000,-36500 ( -4.3% ),155,16 ( 11.5% ),2509016835,322362,38
2017-10-31,12,0.2%,14,0.1%,1210,0.0%,6.7%,453000,-351000 ( -43.7% ),81,-74 ( -47.7% ),2509469835,322443,62
2017-11-01,11,0.2%,14,0.1%,1554,0.1%,8.6%,750000,297000 ( 65.6% ),133,52 ( 64.2% ),2510219835,322576,40
2017-11-02,6,0.1%,6,0%,1125,0.0%,13.5%,760000,10000 ( 1.3% ),152,19 ( 14.3% ),2510979835,322728,49
2017-11-03,5,0.1%,5,0%,861,0.0%,17.4%,750000,-10000 ( -1.3% ),150,-2 ( -1.3% ),2511729835,322878,43
2017-11-04,5,0.1%,5,0%,942,0.0%,15.9%,750000,0 ( 0.0% ),150,0 ( 0.0% ),2512479835,323028,52
2017-11-05,5,0.1%,5,0%,942,0.0%,15.9%,750000,0 ( 0.0% ),150,0 ( 0.0% ),2513229835,323178,50
2017-11-06,5,0.1%,5,0%,1004,0.0%,14.9%,750000,0 ( 0.0% ),150,0 ( 0.0% ),2513979835,323328,38
2017-11-07,5,0.1%,5,0%,1055,0.0%,14.2%,750000,0 ( 0.0% ),150,0 ( 0.0% ),2514729835,323478,45
2017-11-08,5,0.1%,5,0%,1033,0.0%,14.5%,750000,0 ( 0.0% ),150,0 ( 0.0% ),2515479835,323628,47
2017-12-20,1,0.0%,1,0%,106,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2515479835,323628,123
