날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-12,1,0.0%,1,0%,218,0.0%,100.0%,1744000,1744000 ( 100.0% ),218,218 ( 100.0% ),1744000,218,32
2017-07-13,3,0.1%,3,0%,1165,0.0%,98.5%,9176000,7432000 ( 426.1% ),1147,929 ( 426.1% ),10920000,1365,14
2017-07-14,3,0.1%,3,0%,824,0.0%,82.6%,6360000,-2816000 ( -30.7% ),681,-466 ( -40.6% ),17280000,2046,19
2017-07-17,5,0.1%,5,0%,1011,0.0%,100.0%,8896000,8896000 ( 100.0% ),1011,1011 ( 100.0% ),26176000,3057,13
2017-07-18,2,0.0%,2,0%,625,0.0%,68.8%,3010000,-5886000 ( -66.2% ),430,-581 ( -57.5% ),29186000,3487,22
2017-07-19,542,10.7%,1914,11.8%,270804,10.3%,26.6%,535406300,532396300 ( 17687.6% ),72116,71686 ( 16671.2% ),564592300,75603,2
2017-07-20,605,10.7%,1894,10.3%,252814,8.4%,24.8%,470758900,-64647400 ( -12.1% ),62644,-9472 ( -13.1% ),1035351200,138247,3
2017-07-21,701,12.2%,2299,12.2%,313318,10.1%,24.7%,633263832,162504932 ( 34.5% ),77370,14726 ( 23.5% ),1668615032,215617,3
2017-07-22,733,11.9%,2699,13.6%,388842,12.0%,30.0%,979835825,346571993 ( 54.7% ),116795,39425 ( 51.0% ),2648450857,332412,3
2017-07-23,711,11.6%,2617,13.5%,375336,11.9%,28.7%,908432100,-71403725 ( -7.3% ),107567,-9228 ( -7.9% ),3556882957,439979,3
2017-07-24,622,11.2%,2597,14.1%,373010,12.4%,11.7%,333140000,-575292100 ( -63.3% ),43729,-63838 ( -59.3% ),3890022957,483708,3
2017-07-25,633,11.1%,2581,14%,370261,12.3%,10.7%,299187400,-33952600 ( -10.2% ),39636,-4093 ( -9.4% ),4189210357,523344,3
2017-07-26,364,6.6%,622,3.4%,76659,2.6%,17.4%,81798800,-217388600 ( -72.7% ),13314,-26322 ( -66.4% ),4271009157,536658,5
2017-07-27,355,6.7%,592,3.2%,71834,2.4%,11.3%,59752300,-22046500 ( -27.0% ),8153,-5161 ( -38.8% ),4330761457,544811,6
2017-07-28,339,6.4%,545,2.9%,65084,2.1%,13.6%,72326100,12573800 ( 21.0% ),8849,696 ( 8.5% ),4403087557,553660,6
2017-07-29,308,5.6%,428,2.2%,53953,1.7%,18.2%,79789600,7463500 ( 10.3% ),9800,951 ( 10.7% ),4482877157,563460,6
2017-07-30,318,5.8%,432,2.3%,53755,1.7%,17.6%,76690100,-3099500 ( -3.9% ),9441,-359 ( -3.7% ),4559567257,572901,6
2017-07-31,318,6.0%,471,2.5%,59349,2.0%,13.1%,57587400,-19102700 ( -24.9% ),7760,-1681 ( -17.8% ),4617154657,580661,6
2017-08-01,323,5.9%,473,2.5%,60039,2.0%,12.3%,54030100,-3557300 ( -6.2% ),7384,-376 ( -4.8% ),4671184757,588045,7
2017-08-02,29,0.6%,35,0.2%,5438,0.2%,6.1%,2371000,-51659100 ( -95.6% ),331,-7053 ( -95.5% ),4673555757,588376,21
2017-08-03,18,0.3%,23,0.1%,3376,0.1%,7.0%,1673000,-698000 ( -29.4% ),235,-96 ( -29.0% ),4675228757,588611,28
2017-08-04,30,0.5%,32,0.2%,5011,0.2%,5.3%,2097400,424400 ( 25.4% ),268,33 ( 14.0% ),4677326157,588879,23
2017-08-05,32,0.6%,35,0.2%,5674,0.2%,5.9%,2738500,641100 ( 30.6% ),333,65 ( 24.3% ),4680064657,589212,25
2017-08-06,28,0.5%,33,0.2%,5776,0.2%,4.1%,1769500,-969000 ( -35.4% ),239,-94 ( -28.2% ),4681834157,589451,26
2017-08-07,23,0.4%,26,0.1%,4661,0.2%,3.5%,1161500,-608000 ( -34.4% ),161,-78 ( -32.6% ),4682995657,589612,32
2017-08-08,17,0.3%,22,0.1%,3292,0.1%,4.7%,1135000,-26500 ( -2.3% ),154,-7 ( -4.3% ),4684130657,589766,34
2017-08-09,5,0.1%,6,0%,511,0.0%,8.2%,324000,-811000 ( -71.5% ),42,-112 ( -72.7% ),4684454657,589808,50
2017-08-10,4,0.1%,5,0%,393,0.0%,7.4%,230000,-94000 ( -29.0% ),29,-13 ( -31.0% ),4684684657,589837,56
2017-08-11,2,0.0%,3,0%,174,0.0%,10.9%,157000,-73000 ( -31.7% ),19,-10 ( -34.5% ),4684841657,589856,65
2017-08-12,2,0.0%,3,0%,138,0.0%,13.8%,161000,4000 ( 2.5% ),19,0 ( 0.0% ),4685002657,589875,77
2017-08-13,2,0.0%,2,0%,103,0.0%,31.1%,298000,137000 ( 85.1% ),32,13 ( 68.4% ),4685300657,589907,54
2017-08-14,2,0.0%,2,0%,268,0.0%,7.1%,170000,-128000 ( -43.0% ),19,-13 ( -40.6% ),4685470657,589926,61
2017-08-15,1,0.0%,1,0%,297,0.0%,1.7%,30000,-140000 ( -82.4% ),5,-14 ( -73.7% ),4685500657,589931,81
2017-08-17,18,0.3%,18,0.1%,2302,0.1%,3.3%,428000,428000 ( 100.0% ),75,75 ( 100.0% ),4685928657,590006,50
2017-08-18,1,0.0%,1,0%,283,0.0%,0.4%,2000,-426000 ( -99.5% ),1,-74 ( -98.7% ),4685930657,590007,89
2017-08-25,5,0.1%,5,0%,513,0.0%,1.0%,14000,14000 ( 100.0% ),5,5 ( 100.0% ),4685944657,590012,97
2017-08-26,5,0.1%,5,0%,607,0.0%,0.8%,14000,0 ( 0.0% ),5,0 ( 0.0% ),4685958657,590017,107
2017-08-27,4,0.1%,4,0%,407,0.0%,1.0%,12000,-2000 ( -14.3% ),4,-1 ( -20.0% ),4685970657,590021,89
2017-08-28,5,0.1%,5,0%,651,0.0%,0.8%,18000,6000 ( 50.0% ),5,1 ( 25.0% ),4685988657,590026,73
2017-08-29,5,0.1%,5,0%,604,0.0%,0.8%,15000,-3000 ( -16.7% ),5,0 ( 0.0% ),4686003657,590031,82
2017-08-30,5,0.1%,5,0%,648,0.0%,0.8%,19000,4000 ( 26.7% ),5,0 ( 0.0% ),4686022657,590036,87
2017-11-18,1,0.0%,1,0%,164,0.0%,2.4%,24000,24000 ( 100.0% ),4,4 ( 100.0% ),4686046657,590040,141
2017-11-19,1,0.0%,1,0%,188,0.0%,0.5%,6000,-18000 ( -75.0% ),1,-3 ( -75.0% ),4686052657,590041,151
2017-11-21,1,0.0%,1,0%,188,0.0%,2.1%,27000,27000 ( 100.0% ),4,4 ( 100.0% ),4686079657,590045,133
