날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2015-11-18,1,0.0%,1,0%,313,0.0%,100.0%,1878000,1878000 ( 100.0% ),313,313 ( 100.0% ),1878000,313,26
2015-12-08,2,0.0%,2,0%,499,0.0%,100.0%,2495000,2495000 ( 100.0% ),499,499 ( 100.0% ),4373000,812,23
2015-12-15,4,0.1%,4,0%,1293,0.1%,100.0%,6465000,6465000 ( 100.0% ),1293,1293 ( 100.0% ),10838000,2105,21
2015-12-20,9,0.2%,9,0.1%,1974,0.1%,98.7%,14452000,14452000 ( 100.0% ),1949,1949 ( 100.0% ),25290000,4054,10
2015-12-21,12,0.3%,12,0.1%,1528,0.1%,0.0%,0,-14452000 ( -100.0% ),0,-1949 ( -100.0% ),25290000,4054,82
2015-12-22,5,0.1%,5,0%,1162,0.0%,87.5%,5085000,5085000 ( 100.0% ),1017,1017 ( 100.0% ),30375000,5071,11
2015-12-28,2,0.0%,2,0%,434,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),30375000,5071,76
2015-12-29,2,0.0%,2,0%,749,0.0%,100.0%,3745000,3745000 ( 100.0% ),749,749 ( 100.0% ),34120000,5820,16
2015-12-30,9,0.2%,9,0.1%,2015,0.1%,97.2%,16818000,13073000 ( 349.1% ),1958,1209 ( 161.4% ),50938000,7778,15
2016-01-07,5,0.1%,5,0%,877,0.0%,100.0%,4385000,4385000 ( 100.0% ),877,877 ( 100.0% ),55323000,8655,19
2016-01-08,3,0.1%,3,0%,437,0.0%,100.0%,3672000,-713000 ( -16.3% ),437,-440 ( -50.2% ),58995000,9092,22
2016-01-09,1,0.0%,1,0%,92,0.0%,100.0%,552000,-3120000 ( -85.0% ),92,-345 ( -78.9% ),59547000,9184,46
2016-01-13,19,0.3%,19,0.1%,3553,0.1%,69.9%,19880000,19880000 ( 100.0% ),2485,2485 ( 100.0% ),79427000,11669,15
2016-01-14,447,7.7%,1561,10.1%,235897,9.2%,11.3%,193532900,173652900 ( 873.5% ),26744,24259 ( 976.2% ),272959900,38413,6
2016-01-15,472,8.0%,1563,9.8%,233363,8.9%,12.0%,213060207,19527307 ( 10.1% ),28116,1372 ( 5.1% ),486020107,66529,6
2016-01-16,515,8.3%,1511,9.2%,217429,8.1%,26.3%,438131805,225071598 ( 105.6% ),57092,28976 ( 103.1% ),924151912,123621,6
2016-01-17,512,8.4%,1461,9.2%,208716,8.0%,28.2%,452802400,14670595 ( 3.3% ),58956,1864 ( 3.3% ),1376954312,182577,5
2016-01-18,451,8.1%,1378,9.4%,200442,8.3%,8.9%,129838300,-322964100 ( -71.3% ),17836,-41120 ( -69.7% ),1506792612,200413,6
2016-01-19,461,8.2%,1356,9.3%,196087,8.2%,9.4%,132956500,3118200 ( 2.4% ),18506,670 ( 3.8% ),1639749112,218919,6
2016-01-20,458,8.1%,1367,9.3%,198880,8.2%,9.2%,132021200,-935300 ( -0.7% ),18277,-229 ( -1.2% ),1771770312,237196,6
2016-01-21,231,4.4%,430,2.8%,57387,2.3%,14.7%,59983000,-72038200 ( -54.6% ),8435,-9842 ( -53.8% ),1831753312,245631,9
2016-01-22,232,4.4%,434,2.8%,57673,2.3%,14.1%,61405600,1422600 ( 2.4% ),8122,-313 ( -3.7% ),1893158912,253753,9
2016-01-23,244,4.2%,454,2.8%,58827,2.2%,29.5%,131713600,70308000 ( 114.5% ),17348,9226 ( 113.6% ),2024872512,271101,9
2016-01-24,233,4.1%,431,2.8%,57354,2.2%,25.8%,114495900,-17217700 ( -13.1% ),14802,-2546 ( -14.7% ),2139368412,285903,9
2016-01-25,228,4.5%,425,3%,56571,2.4%,8.8%,36023400,-78472500 ( -68.5% ),5003,-9799 ( -66.2% ),2175391812,290906,8
2016-01-26,230,4.5%,430,3%,57685,2.4%,9.8%,40148900,4125500 ( 11.5% ),5636,633 ( 12.7% ),2215540712,296542,8
2016-01-27,188,3.7%,358,2.4%,47750,2.0%,10.7%,31233500,-8915400 ( -22.2% ),5113,-523 ( -9.3% ),2246774212,301655,9
