날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-10,1,0.0%,1,0%,414,0.0%,100.0%,2890000,2890000 ( 100.0% ),414,414 ( 100.0% ),2890000,414,18
2017-07-17,1,0.0%,2,0%,608,0.0%,87.5%,4248000,4248000 ( 100.0% ),532,532 ( 100.0% ),7138000,946,18
2017-07-19,9,0.2%,10,0.1%,3097,0.1%,92.4%,22896000,22896000 ( 100.0% ),2862,2862 ( 100.0% ),30034000,3808,15
2017-07-20,19,0.3%,21,0.1%,3942,0.1%,99.8%,24369000,1473000 ( 6.4% ),3934,1072 ( 37.5% ),54403000,7742,14
2017-07-21,3,0.1%,3,0%,554,0.0%,100.0%,5493000,-18876000 ( -77.5% ),554,-3380 ( -85.9% ),59896000,8296,21
2017-07-24,26,0.5%,26,0.1%,6154,0.2%,87.9%,56120800,56120800 ( 100.0% ),5412,5412 ( 100.0% ),116016800,13708,12
2017-07-25,34,0.6%,35,0.2%,8028,0.3%,98.7%,69290000,13169200 ( 23.5% ),7921,2509 ( 46.4% ),185306800,21629,8
2017-07-26,2027,37.0%,10182,55.2%,1838526,61.7%,52.9%,6109565800,6040275800 ( 8717.4% ),972161,964240 ( 12173.2% ),6294872600,993790,1
2017-07-27,1962,36.8%,10219,55.1%,1846388,61.6%,30.3%,4121166500,-1988399300 ( -32.5% ),559467,-412694 ( -42.5% ),10416039100,1553257,1
2017-07-28,1989,37.5%,10514,55.8%,1902787,62.5%,30.6%,4811934126,690767626 ( 16.8% ),582364,22897 ( 4.1% ),15227973226,2135621,1
2017-07-29,2020,36.8%,10815,55.8%,1944048,62.1%,52.3%,8437357914,3625423788 ( 75.3% ),1016790,434426 ( 74.6% ),23665331140,3152411,1
2017-07-30,1986,36.2%,10361,54.2%,1869318,60.8%,49.1%,7612135400,-825222514 ( -9.8% ),917669,-99121 ( -9.7% ),31277466540,4070080,1
2017-07-31,1841,34.7%,9730,52%,1765102,58.3%,26.5%,3478438000,-4133697400 ( -54.3% ),468140,-449529 ( -49.0% ),34755904540,4538220,1
2017-08-01,1848,33.6%,9518,50.5%,1726636,56.7%,23.3%,2967903300,-510534700 ( -14.7% ),402094,-66046 ( -14.1% ),37723807840,4940314,1
2017-08-02,1109,21.1%,4924,26.7%,783811,26.3%,31.7%,1826982300,-1140921000 ( -38.4% ),248200,-153894 ( -38.3% ),39550790140,5188514,2
2017-08-03,1075,19.4%,4628,25%,734379,24.6%,27.1%,1462878500,-364103800 ( -19.9% ),199203,-48997 ( -19.7% ),41013668640,5387717,2
