날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-14,3,0.1%,3,0%,654,0.0%,89.0%,4566000,4566000 ( 100.0% ),582,582 ( 100.0% ),4566000,582,27
2017-09-15,1,0.0%,1,0%,116,0.0%,77.6%,630000,-3936000 ( -86.2% ),90,-492 ( -84.5% ),5196000,672,59
2017-09-17,1,0.0%,1,0%,622,0.0%,96.1%,6578000,6578000 ( 100.0% ),598,598 ( 100.0% ),11774000,1270,29
2017-09-18,1,0.0%,1,0%,97,0.0%,92.8%,630000,-5948000 ( -90.4% ),90,-508 ( -84.9% ),12404000,1360,45
2017-09-19,3,0.1%,3,0%,558,0.0%,48.4%,1890000,1260000 ( 200.0% ),270,180 ( 200.0% ),14294000,1630,37
2017-09-20,3,0.1%,3,0%,499,0.0%,85.6%,3236000,1346000 ( 71.2% ),427,157 ( 58.1% ),17530000,2057,30
2017-09-21,2,0.0%,2,0%,270,0.0%,89.3%,1838000,-1398000 ( -43.2% ),241,-186 ( -43.6% ),19368000,2298,36
2017-09-23,4,0.1%,5,0%,639,0.0%,17.8%,791500,791500 ( 100.0% ),114,114 ( 100.0% ),20159500,2412,65
2017-09-24,4,0.1%,5,0%,697,0.0%,47.2%,2110000,1318500 ( 166.6% ),329,215 ( 188.6% ),22269500,2741,38
2017-09-27,1,0.0%,1,0%,102,0.0%,88.2%,630000,630000 ( 100.0% ),90,90 ( 100.0% ),22899500,2831,58
2017-09-29,2,0.0%,2,0%,304,0.0%,100.0%,2432000,2432000 ( 100.0% ),304,304 ( 100.0% ),25331500,3135,26
2017-10-03,422,7.2%,654,3.5%,84536,2.9%,29.4%,193615100,193615100 ( 100.0% ),24826,24826 ( 100.0% ),218946600,27961,6
2017-10-04,411,7.0%,640,3.5%,81547,2.8%,22.7%,149447700,-44167400 ( -22.8% ),18543,-6283 ( -25.3% ),368394300,46504,6
2017-10-05,441,7.3%,698,3.7%,89722,3.0%,36.1%,254461300,105013600 ( 70.3% ),32431,13888 ( 74.9% ),622855600,78935,6
2017-10-06,433,6.8%,663,3.5%,85290,2.9%,47.1%,309482300,55021000 ( 21.6% ),40189,7758 ( 23.9% ),932337900,119124,6
2017-10-07,420,6.5%,625,3.3%,79637,2.7%,35.8%,219139600,-90342700 ( -29.2% ),28494,-11695 ( -29.1% ),1151477500,147618,6
2017-10-08,414,6.4%,593,3.2%,75739,2.5%,30.0%,177598900,-41540700 ( -19.0% ),22745,-5749 ( -20.2% ),1329076400,170363,6
2017-10-09,416,6.8%,602,3.3%,74810,2.6%,40.5%,230761800,53162900 ( 29.9% ),30334,7589 ( 33.4% ),1559838200,200697,6
2017-10-10,167,3.6%,181,1.1%,23987,0.9%,4.9%,7088500,-223673300 ( -96.9% ),1169,-29165 ( -96.1% ),1566926700,201866,8
2017-10-11,166,3.6%,186,1.2%,26399,1.0%,4.8%,8687500,1599000 ( 22.6% ),1279,110 ( 9.4% ),1575614200,203145,7
2017-10-12,77,1.5%,80,0.5%,10399,0.4%,5.4%,3869500,-4818000 ( -55.5% ),562,-717 ( -56.1% ),1579483700,203707,14
2017-10-13,78,1.5%,83,0.5%,11144,0.4%,10.4%,7442000,3572500 ( 92.3% ),1155,593 ( 105.5% ),1586925700,204862,11
2017-10-14,202,3.5%,268,1.5%,34460,1.2%,18.5%,48586600,41144600 ( 552.9% ),6380,5225 ( 452.4% ),1635512300,211242,9
2017-10-15,202,3.5%,269,1.5%,33965,1.2%,21.2%,56001000,7414400 ( 15.3% ),7187,807 ( 12.6% ),1691513300,218429,9
2017-10-16,62,1.3%,67,0.4%,9012,0.3%,4.1%,2301500,-53699500 ( -95.9% ),372,-6815 ( -94.8% ),1693814800,218801,16
2017-10-17,63,1.2%,68,0.4%,9296,0.4%,5.4%,3155000,853500 ( 37.1% ),501,129 ( 34.7% ),1696969800,219302,16
2017-10-18,74,1.4%,77,0.5%,10668,0.4%,7.0%,4737500,1582500 ( 50.2% ),746,245 ( 48.9% ),1701707300,220048,16
2017-10-19,17,0.3%,18,0.1%,2008,0.1%,16.0%,1986500,-2751000 ( -58.1% ),321,-425 ( -57.0% ),1703693800,220369,24
2017-10-20,22,0.4%,23,0.1%,2786,0.1%,24.5%,3273000,1286500 ( 64.8% ),683,362 ( 112.8% ),1706966800,221052,17
2017-10-21,85,1.3%,95,0.5%,11607,0.4%,16.0%,14001300,10728300 ( 327.8% ),1858,1175 ( 172.0% ),1720968100,222910,18
2017-10-22,95,1.5%,116,0.6%,13961,0.5%,28.0%,31779900,17778600 ( 127.0% ),3908,2050 ( 110.3% ),1752748000,226818,13
2017-10-23,15,0.3%,15,0.1%,1798,0.1%,4.6%,539000,-31240900 ( -98.3% ),83,-3825 ( -97.9% ),1753287000,226901,47
2017-10-24,21,0.4%,22,0.1%,2424,0.1%,9.2%,1221500,682500 ( 126.6% ),224,141 ( 169.9% ),1754508500,227125,30
2017-10-25,9,0.2%,10,0.1%,1126,0.0%,12.3%,745000,-476500 ( -39.0% ),139,-85 ( -37.9% ),1755253500,227264,42
2017-10-26,8,0.2%,9,0.1%,750,0.0%,35.9%,1437000,692000 ( 92.9% ),269,130 ( 93.5% ),1756690500,227533,35
2017-10-27,5,0.1%,6,0%,647,0.0%,3.4%,161000,-1276000 ( -88.8% ),22,-247 ( -91.8% ),1756851500,227555,90
2017-10-28,28,0.5%,28,0.2%,3346,0.1%,14.1%,3545000,3384000 ( 2101.9% ),471,449 ( 2040.9% ),1760396500,228026,31
2017-10-29,27,0.5%,27,0.2%,3400,0.1%,18.8%,4943000,1398000 ( 39.4% ),640,169 ( 35.9% ),1765339500,228666,26
2017-10-30,2,0.0%,2,0%,123,0.0%,9.8%,76000,-4867000 ( -98.5% ),12,-628 ( -98.1% ),1765415500,228678,72
2017-10-31,4,0.1%,4,0%,383,0.0%,25.1%,569500,493500 ( 649.3% ),96,84 ( 700.0% ),1765985000,228774,58
2017-11-01,3,0.1%,3,0%,187,0.0%,23.0%,245500,-324000 ( -56.9% ),43,-53 ( -55.2% ),1766230500,228817,63
2017-11-02,2,0.0%,2,0%,165,0.0%,34.5%,397000,151500 ( 61.7% ),57,14 ( 32.6% ),1766627500,228874,77
2017-11-03,2,0.0%,2,0%,298,0.0%,1.0%,16000,-381000 ( -96.0% ),3,-54 ( -94.7% ),1766643500,228877,139
2017-11-04,7,0.1%,7,0%,756,0.0%,22.8%,1100500,1084500 ( 6778.1% ),172,169 ( 5633.3% ),1767744000,229049,48
2017-11-05,6,0.1%,6,0%,609,0.0%,25.3%,1199000,98500 ( 9.0% ),154,-18 ( -10.5% ),1768943000,229203,47
2017-11-06,1,0.0%,1,0%,95,0.0%,1.1%,5000,-1194000 ( -99.6% ),1,-153 ( -99.4% ),1768948000,229204,110
2017-11-07,2,0.0%,2,0%,215,0.0%,23.7%,255000,250000 ( 5000.0% ),51,50 ( 5000.0% ),1769203000,229255,72
2017-11-08,3,0.1%,3,0%,283,0.0%,21.6%,312000,57000 ( 22.4% ),61,10 ( 19.6% ),1769515000,229316,66
2017-11-09,2,0.0%,2,0%,158,0.0%,13.9%,110000,-202000 ( -64.7% ),22,-39 ( -63.9% ),1769625000,229338,85
2017-11-10,1,0.0%,1,0%,95,0.0%,1.1%,5000,-105000 ( -95.5% ),1,-21 ( -95.5% ),1769630000,229339,112
2017-11-16,2,0.0%,3,0%,478,0.0%,8.8%,200000,200000 ( 100.0% ),42,42 ( 100.0% ),1769830000,229381,93
2017-11-17,2,0.0%,3,0%,515,0.0%,23.3%,709000,509000 ( 254.5% ),120,78 ( 185.7% ),1770539000,229501,51
2017-11-18,2,0.0%,6,0%,1013,0.0%,13.0%,521000,-188000 ( -26.5% ),132,12 ( 10.0% ),1771060000,229633,60
2017-11-19,1,0.0%,5,0%,895,0.0%,7.8%,210000,-311000 ( -59.7% ),70,-62 ( -47.0% ),1771270000,229703,71
2017-11-21,1,0.0%,2,0%,358,0.0%,1.7%,16000,16000 ( 100.0% ),6,6 ( 100.0% ),1771286000,229709,125
2017-11-22,1,0.0%,3,0%,537,0.0%,0.7%,10000,-6000 ( -37.5% ),4,-2 ( -33.3% ),1771296000,229713,130
2017-11-23,1,0.0%,2,0%,358,0.0%,1.1%,12000,2000 ( 20.0% ),4,0 ( 0.0% ),1771308000,229717,129
2017-11-24,1,0.0%,4,0%,716,0.0%,16.3%,267000,255000 ( 2125.0% ),117,113 ( 2825.0% ),1771575000,229834,49
2017-11-25,1,0.0%,5,0%,895,0.0%,3.7%,99000,-168000 ( -62.9% ),33,-84 ( -71.8% ),1771674000,229867,102
2017-11-26,1,0.0%,4,0%,716,0.0%,6.6%,140000,41000 ( 41.4% ),47,14 ( 42.4% ),1771814000,229914,81
2017-11-28,1,0.0%,2,0%,358,0.0%,2.5%,27000,27000 ( 100.0% ),9,9 ( 100.0% ),1771841000,229923,117
2017-11-29,1,0.0%,3,0%,537,0.0%,1.3%,20000,-7000 ( -25.9% ),7,-2 ( -22.2% ),1771861000,229930,111
2017-11-30,1,0.0%,1,0%,179,0.0%,1.1%,6000,-14000 ( -70.0% ),2,-5 ( -71.4% ),1771867000,229932,118
2017-12-01,1,0.0%,2,0%,358,0.0%,3.9%,42000,36000 ( 600.0% ),14,12 ( 600.0% ),1771909000,229946,113
2017-12-02,1,0.0%,5,0%,895,0.0%,5.7%,153000,111000 ( 264.3% ),51,37 ( 264.3% ),1772062000,229997,83
2017-12-03,1,0.0%,5,0%,895,0.0%,7.5%,199000,46000 ( 30.1% ),67,16 ( 31.4% ),1772261000,230064,72
2017-12-05,1,0.0%,3,0%,537,0.0%,0.7%,11000,11000 ( 100.0% ),4,4 ( 100.0% ),1772272000,230068,135
2018-05-01,1,0.0%,1,0%,112,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),1772272000,230068,104
2018-05-16,1,0.0%,1,0%,162,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),1772272000,230068,114
2018-07-06,1,0.0%,1,0%,108,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),1772272000,230068,103
