날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-14,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),1008000,126,36
2018-02-19,1,0.0%,1,0%,174,0.0%,56.9%,979000,979000 ( 100.0% ),99,99 ( 100.0% ),1987000,225,45
2018-02-20,19,0.3%,19,0.1%,3034,0.1%,80.7%,17183800,16204800 ( 1655.2% ),2449,2350 ( 2373.7% ),19170800,2674,10
2018-02-22,245,4.2%,1099,6.4%,173878,6.3%,15.3%,210779900,210779900 ( 100.0% ),26575,26575 ( 100.0% ),229950700,29249,4
2018-02-23,267,4.5%,1157,6.6%,181990,6.5%,24.4%,386180300,175400400 ( 83.2% ),44364,17789 ( 66.9% ),616131000,73613,2
2018-02-24,309,4.9%,1273,6.9%,200291,6.8%,45.6%,790327400,404147100 ( 104.7% ),91326,46962 ( 105.9% ),1406458400,164939,2
2018-02-25,355,5.7%,1379,7.7%,217329,7.6%,47.4%,895594600,105267200 ( 13.3% ),102956,11630 ( 12.7% ),2302053000,267895,2
2018-02-26,339,6.0%,1438,8.5%,232801,8.6%,26.7%,497535200,-398059400 ( -44.4% ),62049,-40907 ( -39.7% ),2799588200,329944,2
2018-02-27,353,6.0%,1484,8.8%,242251,9.0%,24.1%,466918200,-30617000 ( -6.2% ),58433,-3616 ( -5.8% ),3266506400,388377,2
2018-02-28,321,5.3%,1177,6.3%,191754,6.4%,42.4%,505660100,38741900 ( 8.3% ),81308,22875 ( 39.1% ),3772166500,469685,4
2018-03-01,381,6.1%,1444,7.6%,250144,8.2%,42.0%,901871900,396211800 ( 78.4% ),105146,23838 ( 29.3% ),4674038400,574831,4
2018-03-02,353,5.9%,1450,7.8%,259038,8.7%,16.1%,367166300,-534705600 ( -59.3% ),41821,-63325 ( -60.2% ),5041204700,616652,4
2018-03-03,371,6.0%,1521,7.9%,277668,9.0%,29.0%,706128200,338961900 ( 92.3% ),80484,38663 ( 92.4% ),5747332900,697136,4
2018-03-04,351,5.7%,1453,7.9%,268441,9.0%,24.4%,577713100,-128415100 ( -18.2% ),65563,-14921 ( -18.5% ),6325046000,762699,4
2018-03-05,304,5.9%,1308,7.8%,243671,8.9%,8.2%,160809300,-416903800 ( -72.2% ),19965,-45598 ( -69.5% ),6485855300,782664,4
2018-03-06,306,5.8%,1234,7.4%,230540,8.5%,7.0%,129036400,-31772900 ( -19.8% ),16109,-3856 ( -19.3% ),6614891700,798773,4
2018-03-07,220,4.4%,947,5.5%,170320,6.1%,6.8%,93448800,-35587600 ( -27.6% ),11643,-4466 ( -27.7% ),6708340500,810416,5
2018-03-08,182,3.5%,715,4.1%,124999,4.5%,7.0%,69498700,-23950100 ( -25.6% ),8725,-2918 ( -25.1% ),6777839200,819141,7
2018-03-09,183,3.4%,720,4.1%,123039,4.3%,8.7%,92517200,23018500 ( 33.1% ),10652,1927 ( 22.1% ),6870356400,829793,7
2018-03-10,195,3.2%,709,3.7%,110908,3.6%,21.0%,200460400,107943200 ( 116.7% ),23249,12597 ( 118.3% ),7070816800,853042,7
2018-03-11,186,3.1%,672,3.6%,104280,3.5%,18.4%,165135200,-35325200 ( -17.6% ),19139,-4110 ( -17.7% ),7235952000,872181,7
2018-03-12,175,3.4%,609,3.7%,97847,3.6%,5.3%,41504900,-123630300 ( -74.9% ),5164,-13975 ( -73.0% ),7277456900,877345,7
2018-03-13,181,3.4%,606,3.7%,96389,3.6%,4.8%,36781100,-4723800 ( -11.4% ),4656,-508 ( -9.8% ),7314238000,882001,7
2018-03-14,112,2.1%,248,1.4%,34997,1.3%,6.8%,19117600,-17663500 ( -48.0% ),2387,-2269 ( -48.7% ),7333355600,884388,11
2018-03-15,112,2.0%,229,1.3%,32389,1.2%,6.6%,16816200,-2301400 ( -12.0% ),2133,-254 ( -10.6% ),7350171800,886521,12
2018-03-16,116,2.1%,235,1.3%,32625,1.2%,8.1%,23212500,6396300 ( 38.0% ),2643,510 ( 23.9% ),7373384300,889164,13
2018-03-17,123,2.0%,226,1.2%,31160,1.0%,16.0%,43157800,19945300 ( 85.9% ),4975,2332 ( 88.2% ),7416542100,894139,12
2018-03-18,117,1.9%,206,1.1%,27691,1.0%,15.3%,36457200,-6700600 ( -15.5% ),4249,-726 ( -14.6% ),7452999300,898388,12
2018-03-19,106,2.0%,211,1.3%,30011,1.1%,5.7%,12977800,-23479400 ( -64.4% ),1707,-2542 ( -59.8% ),7465977100,900095,11
2018-03-20,110,2.0%,205,1.3%,29037,1.1%,4.4%,9812500,-3165300 ( -24.4% ),1277,-430 ( -25.2% ),7475789600,901372,15
2018-03-21,42,0.8%,67,0.4%,9336,0.4%,3.9%,2727800,-7084700 ( -72.2% ),362,-915 ( -71.7% ),7478517400,901734,24
2018-03-22,25,0.5%,30,0.2%,4301,0.2%,3.3%,1100100,-1627700 ( -59.7% ),144,-218 ( -60.2% ),7479617500,901878,38
