날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-20,7,0.1%,10,0.1%,2857,0.1%,85.1%,24310000,24310000 ( 100.0% ),2431,2431 ( 100.0% ),24310000,2431,12
2018-07-23,17,0.3%,17,0.1%,4271,0.2%,88.8%,34397300,34397300 ( 100.0% ),3791,3791 ( 100.0% ),58707300,6222,9
2018-07-24,69,1.2%,69,0.4%,15003,0.5%,89.6%,135093600,100696300 ( 292.7% ),13444,9653 ( 254.6% ),193800900,19666,5
2018-07-25,1085,19.3%,4503,25.9%,701203,25.7%,39.1%,1692595700,1557502100 ( 1152.9% ),274510,261066 ( 1941.9% ),1886396600,294176,2
2018-07-26,1029,18.4%,4270,24.2%,659099,23.9%,15.4%,795441000,-897154700 ( -53.0% ),101715,-172795 ( -62.9% ),2681837600,395891,2
2018-07-27,977,17.3%,3838,21.4%,587800,21.0%,15.1%,778547050,-16893950 ( -2.1% ),88857,-12858 ( -12.6% ),3460384650,484748,3
2018-07-28,829,14.3%,3141,16.8%,475556,16.3%,30.5%,1290564256,512017206 ( 65.8% ),145053,56196 ( 63.2% ),4750948906,629801,3
2018-07-29,805,13.8%,2755,15%,411341,14.3%,31.5%,1149367100,-141197156 ( -10.9% ),129514,-15539 ( -10.7% ),5900316006,759315,3
2018-07-30,712,12.9%,2501,14%,346601,12.4%,15.5%,424181000,-725186100 ( -63.1% ),53845,-75669 ( -58.4% ),6324497006,813160,4
2018-07-31,694,12.1%,2393,13.3%,327377,11.6%,15.3%,387591400,-36589600 ( -8.6% ),49925,-3920 ( -7.3% ),6712088406,863085,4
2018-08-01,274,5.0%,393,2.1%,45733,1.6%,13.3%,47501700,-340089700 ( -87.7% ),6072,-43853 ( -87.8% ),6759590106,869157,7
2018-08-02,232,4.2%,332,1.8%,39571,1.4%,12.5%,38337600,-9164100 ( -19.3% ),4966,-1106 ( -18.2% ),6797927706,874123,7
2018-08-03,207,3.8%,288,1.5%,33183,1.1%,12.9%,34799373,-3538227 ( -9.2% ),4267,-699 ( -14.1% ),6832727079,878390,7
2018-08-04,152,2.7%,198,1%,23953,0.8%,26.0%,56441494,21642121 ( 62.2% ),6217,1950 ( 45.7% ),6889168573,884607,8
2018-08-05,151,2.7%,192,1%,25482,0.9%,26.3%,63640000,7198506 ( 12.8% ),6701,484 ( 7.8% ),6952808573,891308,8
2018-08-06,147,2.9%,204,1.1%,23437,0.8%,7.9%,13919500,-49720500 ( -78.1% ),1857,-4844 ( -72.3% ),6966728073,893165,9
2018-08-07,153,2.9%,206,1.2%,21578,0.8%,8.3%,13057100,-862400 ( -6.2% ),1800,-57 ( -3.1% ),6979785173,894965,11
2018-08-08,8,0.1%,10,0.1%,915,0.0%,20.5%,1312000,-11745100 ( -90.0% ),188,-1612 ( -89.6% ),6981097173,895153,25
2018-08-09,4,0.1%,6,0%,569,0.0%,12.5%,541000,-771000 ( -58.8% ),71,-117 ( -62.2% ),6981638173,895224,38
2018-08-10,7,0.1%,8,0%,942,0.0%,13.7%,1151600,610600 ( 112.9% ),129,58 ( 81.7% ),6982789773,895353,26
2018-08-11,4,0.1%,5,0%,485,0.0%,14.8%,657000,-494600 ( -42.9% ),72,-57 ( -44.2% ),6983446773,895425,39
2018-08-12,4,0.1%,5,0%,510,0.0%,24.9%,907000,250000 ( 38.1% ),127,55 ( 76.4% ),6984353773,895552,25
2018-08-13,6,0.1%,8,0%,956,0.0%,9.3%,701400,-205600 ( -22.7% ),89,-38 ( -29.9% ),6985055173,895641,32
2018-08-14,23,0.4%,25,0.1%,3580,0.1%,20.5%,3794500,3093100 ( 441.0% ),735,646 ( 725.8% ),6988849673,896376,17
2018-08-15,5,0.1%,5,0%,684,0.0%,6.4%,293000,-3501500 ( -92.3% ),44,-691 ( -94.0% ),6989142673,896420,51
2018-08-16,19,0.3%,19,0.1%,2405,0.1%,28.3%,3238000,2945000 ( 1005.1% ),680,636 ( 1445.5% ),6992380673,897100,18
2018-08-17,2,0.0%,2,0%,144,0.0%,24.3%,225000,-3013000 ( -93.1% ),35,-645 ( -94.9% ),6992605673,897135,59
2018-08-18,5,0.1%,5,0%,615,0.0%,16.1%,619500,394500 ( 175.3% ),99,64 ( 182.9% ),6993225173,897234,44
2018-08-19,1,0.0%,1,0%,92,0.0%,22.8%,164000,-455500 ( -73.5% ),21,-78 ( -78.8% ),6993389173,897255,67
2018-08-20,2,0.0%,3,0%,516,0.0%,12.4%,219000,55000 ( 33.5% ),64,43 ( 204.8% ),6993608173,897319,46
2018-08-21,2,0.0%,2,0%,123,0.0%,22.0%,196000,-23000 ( -10.5% ),27,-37 ( -57.8% ),6993804173,897346,68
2018-08-22,4,0.1%,4,0%,441,0.0%,31.1%,647000,451000 ( 230.1% ),137,110 ( 407.4% ),6994451173,897483,38
2018-08-27,1,0.0%,1,0%,212,0.0%,6.6%,42000,42000 ( 100.0% ),14,14 ( 100.0% ),6994493173,897497,66
2018-08-30,1,0.0%,1,0%,87,0.0%,58.6%,255000,255000 ( 100.0% ),51,51 ( 100.0% ),6994748173,897548,58
2018-10-30,1,0.0%,1,0%,416,0.0%,100.0%,3536000,3536000 ( 100.0% ),416,416 ( 100.0% ),6998284173,897964,24
2018-10-31,2,0.0%,2,0%,548,0.0%,85.0%,3961000,425000 ( 12.0% ),466,50 ( 12.0% ),7002245173,898430,25
2018-11-01,2,0.0%,2,0%,548,0.0%,94.0%,4377500,416500 ( 10.5% ),515,49 ( 10.5% ),7006622673,898945,22
2018-11-14,1,0.0%,1,0%,85,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),7006622673,898945,123
2018-11-18,1,0.0%,1,0%,85,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),7006622673,898945,127
2019-08-24,1,0.0%,1,0%,84,0.0%,100.0%,672000,672000 ( 100.0% ),84,84 ( 100.0% ),7007294673,899029,62
